,Keyword,Top Ranked URL,Rank,Rank Change,Search Volume,Ranking Difficulty,Broad Cost Per Click,Phrase Cost Per Click,Exact Cost Per Click,SEO Clicks,SEO Clicks Change,Total Monthly Clicks,Mobile Search Percent,Desktop Search Percent,Searches Not Clicked Percent,Paid Clicks Percent,Organic Clicks Percent,Broad Monthly Cost,Phrase Monthly Cost,Exact Monthly Cost,Ads,Number of Ranking Homepages
5,rent to own homes near me,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,12,0.0,81900.0,12,1.14,1.15,1.15,1200,0.0,65600.0,0.753572465845315,0.246427534154685,0.199034981905911,0.307228915546977,0.6927710840765171,11231.1,9754.8,9771.6,21,3
167652,house rental properties,https://www.homelight.com/blog/buyer-how-to-find-rental-homes/,31,-11.0,100.0,75,0.62,0.66,0.62,1,0.0,70.0,,,,,,9780.6,15.6,10.5,6,36
122344,house rental properties,https://www.homelight.com/blog/buyer-how-to-find-rental-homes/,31,-11.0,100.0,75,0.62,0.66,0.62,1,0.0,70.0,,,,,,9780.6,15.6,10.5,6,36
890,rent my house,https://www.homelight.com/blog/buyer-how-to-rent-your-house/,4,3.0,750.0,53,2.74,4.44,4.42,32,12.0,400.0,0.42396664713090704,0.5760333528690931,0.48175182481751794,0.4507042190041661,0.549295766911327,9212.7,3276.3,462.3,15,6
16162,houses for rent to own,https://www.homelight.com/blog/buyer-rent-to-own-homes-programs/,12,1.0,360.0,95,0.85,1.16,1.22,5,0.0,240.0,0.68586865456511,0.31413134543489,0.315436241610738,0.39215685890042296,0.607843131295656,8735.7,340.2,210.0,23,11
17032,rent to buy houses,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,6,7.0,180.0,49,0.82,1.1,1.12,5,3.0,105.0,0.5457487216946679,0.4542512783053321,0.40540540540540504,,,8730.3,87.9,72.3,16,8
29772,rent to own property,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,12,-2.0,180.0,63,1.05,1.19,1.17,3,0.0,110.0,0.675946180555556,0.32405381944444395,0.3958333333333329,0.241379302021403,0.7586206634958391,7858.2,323.1,93.3,9,12
61903,properties for rent,https://www.homelight.com/blog/should-i-sell-my-house-or-rent-it-out/,96,-57.0,900.0,67,1.12,1.07,1.07,2,-2.0,600.0,0.5794290657439449,0.42057093425605496,0.33529411764705896,0.13274336165713801,0.8672566294933041,7785.29,279.28,80.78,12,31
230009,real estate rental properties,https://www.homelight.com/blog/buyer-how-to-invest-in-rental-property/,99,-73.0,110.0,98,1.16,1.38,1.22,0,-1.0,80.0,,,,,,7756.8,18.3,3.9,4,30
122684,my house for rent,https://www.homelight.com/blog/buyer-how-to-rent-your-house/,5,8.0,28.0,69,2.18,4.33,3.93,1,1.0,12.0,,,,,,7648.5,11.7,25.8,5,11
298777,house rental listings,https://www.homelight.com/blog/buyer-how-to-find-rental-homes/,49,-24.0,90.0,60,0.74,1.09,1.2,0,-1.0,60.0,,,,,,7399.8,49.2,33.0,6,27
356160,post house for rent,https://www.homelight.com/blog/buyer-how-to-find-rental-homes/,44,0.0,90.0,52,1.87,3.15,4.06,0,0.0,75.0,0.203837429111531,0.7961625708884691,0.17391304347826098,,,7215.9,183.6,42.3,9,16
3536,rent to buy,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,12,3.0,1100.0,64,0.94,0.92,1.01,16,4.0,660.0,0.554041688345474,0.445958311654526,0.403225806451613,0.317567565421841,0.682432427821403,5982.0,1510.2,289.8,7,8
51559,rent to own homes in,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,6,9.0,70.0,42,1.04,1.06,1.3,2,1.0,55.0,,,,,,5536.2,5956.2,18.3,17,6
57813,free rent to own listings,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,9,1.0,90.0,28,1.26,1.71,1.72,2,0.0,80.0,0.610890625,0.389109375,0.125,0.49285713933673503,0.507142853520408,5520.0,539.7,472.8,9,22
6209,rent my home,https://www.homelight.com/blog/buyer-how-to-rent-your-house/,3,1.0,180.0,57,2.19,5.07,6.03,10,2.0,110.0,0.329156663588797,0.670843336411204,0.368421052631579,0.277777770061729,0.722222202160494,5433.9,1583.1,255.9,17,12
11116,renttoown,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,27,-3.0,1100.0,65,1.13,1.12,1.7,7,-1.0,780.0,0.701438590135086,0.29856140986491403,0.305755395683453,0.47668393535396897,0.523316059464684,5412.3,3898.2,3.6,16,14
420034,list rental property,https://www.homelight.com/blog/buyer-how-to-rent-your-house/,83,-20.0,135.0,54,1.24,3.69,3.87,0,0.0,100.0,0.24529585798816603,0.7547041420118341,0.269230769230769,,,5321.1,124.2,35.1,7,23
142184,rent own homes,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,11,-4.0,44.0,41,1.04,1.31,1.32,1,0.0,30.0,0.845114784205693,0.154885215794307,0.31818181818181795,0.222222217283951,0.7777777604938281,4964.7,2120.7,1730.7,15,7
40,rent to own near me,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,18,-3.0,24000.0,59,1.47,,1.47,240,-40.0,16300.0,0.7947156516466759,0.205284348353324,0.323330106485963,0.3490700996436761,0.650929898925708,4576.92,,4576.92,11,12
2701,houses for rent by owner,https://www.homelight.com/blog/buyer-how-to-rent-your-house/,29,28.0,2800.0,35,0.42,0.43,0.43,18,9.0,2100.0,0.609460596582004,0.39053940341799603,0.273818454613653,0.288223140198117,0.711776858768826,4462.8,1175.4,528.3,10,11
47131,furniture for rent,https://www.homelight.com/blog/furniture-rental-for-staging/,40,1.0,540.0,98,1.79,2.32,2.55,2,0.0,440.0,0.40034130610051094,0.599658693899489,0.163934426229508,0.47058823068050804,0.5294117595155711,3810.0,543.6,166.5,10,45
54976,furniture for rent,https://www.homelight.com/blog/furniture-rental-for-staging/,40,1.0,540.0,98,1.79,2.32,2.55,2,0.0,440.0,0.40034130610051094,0.599658693899489,0.163934426229508,0.47058823068050804,0.5294117595155711,3810.0,543.6,166.5,10,45
4817,rent your house,https://www.homelight.com/blog/buyer-how-to-rent-your-house/,2,0.0,135.0,49,3.74,3.92,4.75,12,0.0,55.0,0.43287913082842894,0.567120869171571,0.5957446808510639,,,3779.1,1718.1,212.7,19,3
10932,rental property for sale,https://www.homelight.com/blog/selling-a-rental-property/,32,8.0,1200.0,97,1.64,2.21,2.18,7,2.0,900.0,0.5940116157544271,0.405988384245573,0.284153005464481,0.217557251078026,0.78244274510518,3313.8,978.3,412.8,6,18
129599,rent to own mobile homes,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,53,-24.0,320.0,77,0.66,0.68,0.69,1,-1.0,185.0,0.7522166864961329,0.247783313503867,0.40853658536585397,0.27835051402912103,0.72164948081624,3062.7,278.4,155.1,6,10
78958,rent to own mobile homes,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,53,-24.0,320.0,77,0.66,0.68,0.69,1,-1.0,185.0,0.7522166864961329,0.247783313503867,0.40853658536585397,0.27835051402912103,0.72164948081624,3062.7,278.4,155.1,6,10
406349,rental homes in,https://www.homelight.com/blog/buyer-how-to-find-rental-homes/,45,41.0,44.0,64,1.0,1.06,1.13,0,0.0,12.0,,,,,,3031.2,161.7,0.6,2,15
34224,rent to own housing,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,15,-2.0,220.0,59,1.07,1.09,1.32,3,0.0,180.0,0.5608289241622579,0.439171075837742,0.19047619047619,0.196078427527874,0.803921552864283,2852.1,2317.5,176.1,5,8
2223,rent to own homes listings,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,6,3.0,660.0,37,1.28,1.35,1.3,20,8.0,440.0,,,,,,2731.2,123.9,65.4,9,11
121315,house for rent to own,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,11,3.0,90.0,42,0.93,1.13,1.1,1,0.0,55.0,0.8255555555555559,0.17444444444444399,0.37037037037037,0.333333326797386,0.666666653594772,2631.6,353.1,9.9,21,9
166607,house for rent to own,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,11,3.0,90.0,42,0.93,1.13,1.1,1,0.0,55.0,0.8255555555555559,0.17444444444444399,0.37037037037037,0.333333326797386,0.666666653594772,2631.6,353.1,9.9,21,9
147900,rent to own homes with bad credit,https://www.homelight.com/blog/buyer-does-rent-to-own-homes-build-credit/,24,24.0,90.0,35,1.67,2.07,1.94,1,1.0,50.0,0.8255555555555559,0.17444444444444399,0.4166666666666671,,,2492.4,148.8,159.6,17,13
134653,rent to own homes with bad credit,https://www.homelight.com/blog/buyer-does-rent-to-own-homes-build-credit/,24,24.0,90.0,35,1.67,2.07,1.94,1,1.0,50.0,0.8255555555555559,0.17444444444444399,0.4166666666666671,,,2492.4,148.8,159.6,17,13
2857,houses rent to own near me,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,14,11.0,1300.0,54,0.87,0.88,0.87,16,7.0,1000.0,0.81853515625,0.18146484375,0.2375,0.418032783458748,0.581967208344531,2314.5,390.0,370.8,12,7
301065,rental agreement templates,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,91,-17.0,44.0,32,2.56,2.55,2.58,0,0.0,38.0,0.0700000000000001,0.93,0.14893617021276598,0.14999999625,0.849999978750001,2202.3,5799.9,5591.4,14,3
1208,rent your home,https://www.homelight.com/blog/buyer-how-to-rent-your-house/,2,-1.0,320.0,52,2.47,2.92,2.92,28,-22.0,170.0,0.630382231404959,0.36961776859504103,0.45454545454545403,0.333333319444445,0.66666663888889,2100.6,864.6,213.6,11,7
115131,rent to own by owner,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,20,-11.0,90.0,39,0.98,1.02,1.12,1,-1.0,70.0,0.711836244191636,0.288163755808364,0.24050632911392397,0.299999995,0.699999988333334,2035.2,253.2,88.2,14,9
17575,homes rent to own,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,15,-2.0,400.0,35,0.83,1.16,1.29,5,0.0,290.0,0.731878770468256,0.268121229531744,0.26553672316384197,0.338461535857988,0.661538456449704,1919.7,777.0,335.7,22,7
28529,best house rental sites,https://www.homelight.com/blog/buyer-how-to-find-rental-homes/,58,-6.0,900.0,66,3.48,,3.48,3,0.0,660.0,0.480770083102493,0.519229916897507,0.242105263157895,0.08333333217592599,0.916666653935186,1839.57,,1839.57,0,25
312038,rent to own lease,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,18,-1.0,44.0,44,1.45,1.78,1.89,0,0.0,32.0,0.25192,0.74808,0.28,,,1755.6,54.3,29.4,7,2
66051,rental moving companies,https://www.homelight.com/blog/best-way-to-move/,102,,300.0,97,2.85,7.3,7.89,1,,250.0,,,,,,1696.2,9.3,7.5,18,17
19672,investing in rental properties,https://www.homelight.com/blog/buyer-how-to-invest-in-rental-property/,14,-2.0,320.0,94,6.91,8.83,9.54,4,-1.0,250.0,0.45184731845792303,0.548152681542077,0.198895027624309,0.041379310059453,0.9586206830439951,1679.7,1352.1,887.7,15,2
144295,best home rental sites,https://www.homelight.com/blog/buyer-how-to-find-rental-homes/,68,-29.0,440.0,54,3.17,,3.17,1,-1.0,440.0,,,,,,1596.75,,1596.75,5,20
155204,best home rental sites,https://www.homelight.com/blog/buyer-how-to-find-rental-homes/,68,-29.0,440.0,54,3.17,,3.17,1,-1.0,440.0,,,,,,1596.75,,1596.75,5,20
399367,furniture to rent,https://www.homelight.com/blog/furniture-rental-for-staging/,43,50.0,44.0,97,2.15,2.77,2.77,0,0.0,38.0,,,,,,1543.5,368.4,320.1,12,45
237949,furniture to rent,https://www.homelight.com/blog/furniture-rental-for-staging/,43,50.0,44.0,97,2.15,2.77,2.77,0,0.0,38.0,,,,,,1543.5,368.4,320.1,12,45
479315,home for rent in,https://www.homelight.com/blog/buyer-how-to-find-rental-homes/,35,-7.0,12.0,48,0.76,0.68,0.45,0,0.0,0.0,,,,,,1532.1,25.8,1.8,6,23
1696,renting a house,https://www.homelight.com/blog/buyer-how-to-rent-your-house/,18,4.0,2400.0,95,0.92,0.89,0.84,24,4.0,1400.0,0.5945701165406121,0.40542988345938796,0.444241316270567,0.203947367750173,0.796052628960353,1524.6,484.5,382.8,5,10
8588,rent out house,https://www.homelight.com/blog/buyer-how-to-rent-your-house/,3,0.0,135.0,46,1.74,1.82,2.05,8,0.0,75.0,,,,,,1486.2,149.4,44.1,13,2
58939,homes for sale rent to own,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,12,2.0,150.0,53,0.78,0.95,1.01,2,0.0,125.0,,,,,,1442.7,21.3,16.2,10,11
130423,rent to own homes in nj,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,30,16.0,220.0,41,1.04,1.13,1.14,1,0.0,175.0,0.6651924260355029,0.334807573964497,0.21538461538461498,0.39607842981929997,0.603921566259131,1427.4,879.0,927.9,2,9
114835,rent to own now,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,13,5.0,44.0,54,2.54,,2.54,1,1.0,14.0,,,,,,1355.78,,1355.78,0,15
5740,find houses for rent,https://www.homelight.com/blog/buyer-how-to-find-rental-homes/,22,-4.0,1300.0,41,0.29,0.19,0.06,12,0.0,1000.0,0.5003345404998389,0.49966545950016106,0.233532934131737,0.148437498840332,0.8515624933471679,1329.3,30.0,8.1,3,20
16626,rent a container for moving,https://www.homelight.com/blog/best-way-to-move/,20,-6.0,570.0,41,9.47,10.88,10.82,5,-2.0,600.0,,,,,,1278.9,708.6,690.6,6,25
20885,rent to own contract,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,19,9.0,400.0,86,1.29,1.29,1.25,4,1.0,300.0,0.35964588469303205,0.6403541153069681,0.25612472160356303,0.290419160807128,0.7095808361988599,1277.4,840.3,336.6,13,2
398260,rent to own in,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,13,3.0,28.0,89,1.35,1.18,1.1,0,0.0,0.0,,,,,,1265.4,507.6,1.8,16,11
366949,rent to own in,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,13,3.0,28.0,89,1.35,1.18,1.1,0,0.0,0.0,,,,,,1265.4,507.6,1.8,16,11
26758,renting houses,https://www.homelight.com/blog/pros-and-cons-of-renting-your-home/,78,-38.0,1100.0,98,0.86,0.79,0.76,3,-1.0,690.0,0.402764155453862,0.597235844546138,0.35537190082644604,0.256410253122945,0.7435897340565419,1253.1,189.9,170.1,5,18
13510,houses to rent to own,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,14,-5.0,440.0,24,0.97,1.13,1.27,6,-3.0,380.0,0.748515625,0.251484375,0.125,0.32142855994898,0.6785714043367359,1242.3,262.8,146.1,20,5
17027,investing in rental property,https://www.homelight.com/blog/buyer-how-to-invest-in-rental-property/,15,-5.0,380.0,52,4.5,7.26,6.98,5,-2.0,300.0,0.23339285714285699,0.7666071428571429,0.214285714285714,,,1238.4,13.5,0.0,12,4
147805,invest in rental properties,https://www.homelight.com/blog/buyer-how-to-invest-in-rental-property/,15,-4.0,100.0,51,4.74,8.87,10.1,1,-1.0,100.0,,,,,,1230.9,5.4,9.9,16,7
323930,find a house for rent to own,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,4,-3.0,7.0,76,0.39,,,0,-1.0,,,,,,,1210.2,,,18,20
406775,find a house for rent to own,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,4,-3.0,7.0,76,0.39,,,0,-1.0,,,,,,,1210.2,,,18,20
507,rent estimate,https://www.homelight.com/blog/buyer-how-much-will-my-home-rent-for/,13,12.0,3200.0,90,3.02,,3.02,44,20.0,2800.0,0.31205892590241807,0.6879410740975821,0.12217194570135699,0.0738831613850805,0.9261168368967059,1141.19,,1141.19,3,3
370,rent to buy homes near me,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,10,2.0,3100.0,53,1.78,,1.78,55,9.0,3100.0,,,,,,1133.55,,1133.55,14,19
383887,home rental properties,https://www.homelight.com/blog/buyer-how-to-find-rental-homes/,47,-25.0,70.0,69,0.87,1.03,1.03,0,-1.0,44.0,,,,,,1086.6,5.4,1.2,3,40
19348,house renting,https://www.homelight.com/blog/should-i-sell-my-house-or-rent-it-out/,41,20.0,1000.0,98,0.47,0.43,0.46,4,1.0,690.0,0.35938339378492296,0.640616606215077,0.30693069306930704,,,1080.6,906.9,177.9,5,11
68958,free rent to own home listings,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,12,2.0,44.0,45,1.16,1.22,1.34,1,0.0,28.0,0.674183884297521,0.325816115702479,0.22727272727272702,0.382352929930796,0.61764704065744,1065.9,24.6,13.2,22,16
111273,list property for rent,https://www.homelight.com/blog/buyer-how-to-rent-your-house/,23,-2.0,180.0,98,6.61,,6.61,1,-1.0,125.0,,,,,,987.78,,987.78,19,28
140819,list property for rent,https://www.homelight.com/blog/buyer-how-to-rent-your-house/,23,-2.0,180.0,98,6.61,,6.61,1,-1.0,125.0,,,,,,987.78,,987.78,19,28
5201,places to rent to own near me,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,12,7.0,900.0,41,1.27,,1.27,12,4.0,440.0,,,,,,949.03,,949.03,0,17
424,for rent by owner near me,https://www.homelight.com/blog/buyer-how-to-find-rental-homes/,41,-4.0,11600.0,21,0.42,0.42,0.42,50,-5.0,9100.0,0.598,0.402,0.211965811965812,0.197396962695451,0.8026030351353509,929.7,322.5,139.8,7,6
984,how much can i rent my house for,https://www.homelight.com/blog/buyer-how-much-will-my-home-rent-for/,6,0.0,1100.0,29,3.35,4.92,5.11,32,0.0,840.0,0.540395059307911,0.45960494069208896,0.25412541254125404,0.132743362244498,0.867256633330723,897.0,507.9,425.7,1,1
237798,rent to own with bad credit,https://www.homelight.com/blog/buyer-does-rent-to-own-homes-build-credit/,42,-15.0,44.0,49,1.84,2.2,2.15,0,0.0,26.0,0.799142857142857,0.200857142857143,0.42857142857142894,,,889.5,267.6,188.1,20,19
398405,rent to own with bad credit,https://www.homelight.com/blog/buyer-does-rent-to-own-homes-build-credit/,42,-15.0,44.0,49,1.84,2.2,2.15,0,0.0,26.0,0.799142857142857,0.200857142857143,0.42857142857142894,,,889.5,267.6,188.1,20,19
4470,renting out your home,https://www.homelight.com/blog/buyer-how-to-rent-your-house/,2,0.0,135.0,35,3.98,4.62,4.26,12,0.0,100.0,,,,,,882.6,51.6,40.8,2,0
105864,rent to own condos,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,23,-4.0,180.0,28,0.77,0.79,0.85,1,-1.0,120.0,0.6886272564967271,0.31137274350327304,0.33802816901408395,0.31914892937981,0.6808510493435949,865.8,238.8,105.6,5,8
323594,rent to own homes in ct,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,38,24.0,90.0,27,0.97,1.11,1.11,0,0.0,75.0,0.587787031528852,0.41221296847114797,0.17073170731707302,0.274509801230296,0.7254901889657819,853.5,343.5,292.2,3,10
108182,rent to own foreclosed homes,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,9,6.0,40.0,52,1.03,1.12,1.06,1,1.0,40.0,,,,,,839.1,15.9,9.9,9,5
16684,rental property investment,https://www.homelight.com/blog/buyer-how-to-invest-in-rental-property/,22,-13.0,630.0,95,6.11,9.08,9.37,5,-7.0,420.0,0.517306238185255,0.482693761814745,0.326086956521739,0.0967741925078044,0.9032257967395079,828.3,451.5,283.2,11,3
34039,rent own house,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,9,1.0,150.0,45,1.0,1.36,1.4,3,0.0,135.0,,,,,,827.7,249.3,183.6,11,15
149534,how to rent to own a house,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,12,4.0,90.0,46,1.04,1.06,1.06,1,0.0,60.0,0.592506925207756,0.407493074792244,0.31578947368421,0.19230768491124303,0.8076922766272199,826.8,68.7,60.0,5,7
22676,rent to buy house,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,6,5.0,135.0,54,1.05,1.19,1.11,4,2.0,75.0,0.562555555555556,0.43744444444444397,0.4333333333333329,,,780.6,32.1,5.7,9,4
61345,rent to own a home,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,10,0.0,90.0,65,1.17,1.33,1.33,2,0.0,60.0,0.49211720226843103,0.507882797731569,0.304347826086957,,,771.3,429.9,484.2,3,16
57709,rent to own a home,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,10,0.0,90.0,65,1.17,1.33,1.33,2,0.0,60.0,0.49211720226843103,0.507882797731569,0.304347826086957,,,771.3,429.9,484.2,3,16
43747,rent to home,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,11,4.0,135.0,77,0.74,0.69,0.72,2,0.0,70.0,,,,,,770.7,24.3,22.2,17,31
55477,rent to home,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,11,4.0,135.0,77,0.74,0.69,0.72,2,0.0,70.0,,,,,,770.7,24.3,22.2,17,31
5952,rent to own listings near me,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,8,-2.0,440.0,41,1.06,,1.06,10,-2.0,320.0,,,,,,769.88,,,0,16
238,rent to own houses near me,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,16,-4.0,6700.0,27,1.06,1.06,1.06,75,-25.0,5100.0,0.780689401631596,0.219310598368404,0.23668639053254395,0.34108526999579397,0.6589147261282379,764.7,747.6,734.1,18,13
150947,rent buy house,https://www.homelight.com/blog/buyer-whats-the-catch-with-rent-to-own-homes/,11,-1.0,44.0,71,0.95,1.12,0.93,1,0.0,0.0,,,,,,763.5,11.7,2.7,3,19
49868,rent my apartment,https://www.homelight.com/blog/should-i-sell-my-apartment-or-rent-it-out/,40,-6.0,360.0,79,2.28,3.06,3.21,2,0.0,260.0,0.23913580246913602,0.760864197530864,0.296296296296296,,,762.9,249.3,32.7,11,14
61402,rent my apartment,https://www.homelight.com/blog/should-i-sell-my-apartment-or-rent-it-out/,40,-6.0,360.0,79,2.28,3.06,3.21,2,0.0,260.0,0.23913580246913602,0.760864197530864,0.296296296296296,,,762.9,249.3,32.7,11,14
113047,free list of rent to own homes,https://www.homelight.com/blog/buyer-how-to-find-rent-to-own-homes/,11,0.0,44.0,36,1.34,1.42,1.47,1,0.0,32.0,0.8609349112426039,0.139065088757396,0.29230769230769205,0.43478259924385704,0.5652173790170141,753.3,132.3,113.7,17,6
