Keyword,homelight.com,zillow.com,realtor.com,Search Volume,Keyword Difficulty,CPC,Competition,Results,Keyword Intents,homelight.com (pages),zillow.com (pages),realtor.com (pages)
freedom mortgage,0,39,0,450000,79,1.44,0.08,73100000,navigational,,https://www.zillow.com/lender-profile/FreedomMortgage/,
house,0,22,0,450000,100,0.77,0.55,12380000000,informational,,https://www.zillow.com/,
houses for sale,0,4,1,450000,100,0.67,0.43,72,transactional,,https://www.zillow.com/homes/for_sale/,https://www.realtor.com/
indian wells,0,0,54,450000,94,0.63,0.04,155000000,navigational,,,https://www.realtor.com/realestateandhomes-search/Indian-Wells_CA
john wayne gacy,0,0,59,450000,84,0.00,0,3370000,"informational, transactional",,,https://www.realtor.com/news/trends/what-happened-to-john-wayne-gacy-home/
kirklands,0,59,46,450000,94,0.02,0.1,127000000,navigational,,https://www.zillow.com/kirkland-wa/,https://www.realtor.com/realestateandhomes-search/Kirkland_WA
melissa mccarthy,0,0,85,450000,77,6.76,0,29400000,"informational, transactional",,,https://www.realtor.com/advice/home-improvement/melissa-mccarthy-great-giveback-game-changer/
miami,0,0,68,450000,100,0.54,0.01,1870000000,informational,,,https://www.realtor.com/realestateandhomes-search/Miami_FL
myrtle beach,0,0,42,450000,94,0.70,0.11,139000000,"informational, navigational",,,https://www.realtor.com/realestateandhomes-search/Myrtle-Beach_SC
pennymac,0,36,0,450000,82,1.32,0.14,839000,navigational,,https://www.zillow.com/lender-profile/PennyMacLoanServices/,
raymour and flanigan,0,0,71,450000,81,5.75,0.4,99,navigational,,,https://www.realtor.com/advice/home-improvement/furniture-stores-money-saving-tricks/
washington dc,0,85,76,450000,100,0.51,0.01,1830000000,informational,,https://www.zillow.com/washington-dc/,https://www.realtor.com/realestateandhomes-search/Washington_DC
alexander skarsgård,0,0,67,368000,61,0.00,0,6810000,"informational, transactional",,,https://www.realtor.com/news/celebrity-real-estate/alexander-skarsgard-selling-nyc-apartment/
bel air,0,14,11,368000,100,1.17,0.02,289000000,"informational, transactional",,https://www.zillow.com/bel-air-los-angeles-ca/,https://www.realtor.com/realestateandhomes-search/Bel-Air_Los-Angeles_CA
cavenders,0,0,72,368000,59,0.72,0.89,1960000,navigational,,,https://www.realtor.com/realestateandhomes-detail/10519-Cavenders-Way_Knoxville_TN_37932_M80782-51747
emmy rossum,0,0,78,368000,78,0.00,0,11800000,"informational, transactional",,,https://www.realtor.com/news/celebrity-real-estate/emmy-rossum-selling-beautiful-beverly-hills-home/
hershey park,0,66,0,368000,94,0.21,0.04,26900000,navigational,,https://www.zillow.com/hershey-pa/,
houses for rent,0,3,5,368000,92,0.50,0.38,43,informational,,https://www.zillow.com/homes/for_rent/,https://www.realtor.com/rentals
jon gruden,0,0,43,368000,74,0.00,0.01,2400000,"informational, transactional",,,https://www.realtor.com/news/celebrity-real-estate/ex-raiders-coach-jon-gruden-quickly-finds-buyer-for-las-vegas-mansion/
phoenix,0,98,93,368000,100,6.35,0.02,1410000000,"informational, transactional",,https://www.zillow.com/phoenix-az/,https://www.realtor.com/realestateandhomes-search/Phoenix_AZ
sofia vergara,0,0,71,368000,79,0.63,0,34100000,informational,,,https://www.realtor.com/news/celebrity-real-estate/sofia-vergara-and-joe-manganiello-selling-beverly-hills-home/
stream east,0,0,31,368000,27,2.09,0,925000000,navigational,,,https://www.realtor.com/realestateandhomes-detail/41-Maple-Stream-Rd_East-Windsor_NJ_08520_M53313-59350
zillow.com,0,1,29,368000,94,0.27,0.19,55,navigational,,https://www.zillow.com/,https://www.realtor.com/
albuquerque,0,8,36,301000,100,0.94,0.01,275000000,informational,,https://www.zillow.com/albuquerque-nm/,https://www.realtor.com/realestateandhomes-search/Albuquerque_NM
craigslist maine,0,36,0,301000,28,0.55,0,66,navigational,,https://www.zillow.com/me/apartments/,
craigslist nj,0,44,0,301000,69,0.59,0,75,"navigational, transactional",,https://www.zillow.com/the-heights-jersey-city-nj/apartments/,
craigslist tampa,0,33,0,301000,54,0.99,0,70,navigational,,https://www.zillow.com/tampa-fl/rent-houses/,
craigslist tucson,0,27,0,301000,45,1.32,0,65,navigational,,https://www.zillow.com/tucson-az/fsbo/,
denver,0,0,96,301000,100,0.75,0,1050000000,informational,,,https://www.realtor.com/realestateandhomes-search/Denver_CO
fort lauderdale,0,17,27,301000,87,0.77,0.02,212000000,informational,,https://www.zillow.com/fort-lauderdale-fl/,https://www.realtor.com/realestateandhomes-search/Fort-Lauderdale_FL
homes for sale,0,2,1,301000,100,0.66,0.37,72,transactional,,https://www.zillow.com/homes/for_sale/,https://www.realtor.com/realestateforsale
indianapolis,0,0,85,301000,100,1.31,0,534000000,informational,,,https://www.realtor.com/realestateandhomes-search/Indianapolis_IN
kate upton,0,0,91,301000,89,1.52,0,38400000,informational,,,https://www.realtor.com/news/celebrity-real-estate/kate-upton-and-justin-verlander-buy-jupiter-florida-home/
mortgage rates today,0,12,0,301000,100,2.28,0.36,98,informational,,https://www.zillow.com/mortgage-rates/,
once upon a time in hollywood,0,0,89,301000,88,2.13,0,163000000,"informational, transactional",,,https://www.realtor.com/news/trends/once-upon-a-time-in-hollywood-real-life-real-estate/
orlando,0,0,90,301000,100,0.69,0.01,1110000000,informational,,,https://www.realtor.com/realestateandhomes-search/Orlando_FL
puerto vallarta,0,0,90,301000,75,0.59,0.04,51500000,"informational, transactional",,,https://www.realtor.com/international/mx/puerto-vallarta-jalisco/
real estate,0,1,7,301000,100,1.15,0.15,2170000000,commercial,,https://www.zillow.com/,https://www.realtor.com/
remax,0,0,47,301000,100,0.86,0,72,navigational,,,https://www.realtor.com/rentals
amortization calculator,0,12,0,246000,88,0.72,0.19,1520000000,"informational, transactional",,https://www.zillow.com/mortgage-calculator/amortization-schedule-calculator/,
asheville nc,0,17,25,246000,100,0.40,0.06,95700000,"informational, navigational",,https://www.zillow.com/asheville-nc/,https://www.realtor.com/realestateandhomes-search/Asheville_NC
barndominium,0,50,19,246000,65,0.36,1,5310000,informational,,https://www.zillow.com/tx/barndominium_att/,https://www.realtor.com/advice/buy/how-much-does-it-cost-to-build-a-barndominium/
bidet,0,0,37,246000,84,1.81,0.5,77600000,transactional,,,https://www.realtor.com/advice/home-improvement/what-is-a-bidet/
christina haack,0,0,68,246000,80,0.00,0,91,"informational, transactional",,,https://www.realtor.com/news/celebrity-real-estate/christina-haack-scores-a-10-3m-beach-view-home-in-orange-county/
colorado springs,0,15,71,246000,99,0.68,0.03,403000000,informational,,https://www.zillow.com/colorado-springs-co/,https://www.realtor.com/realestateandhomes-search/Colorado-Springs_CO
craigslist albuquerque,0,48,0,246000,44,0.82,0,79,navigational,,https://www.zillow.com/homes/for_sale/,
craigslist nh,0,31,0,246000,28,1.10,0,77,navigational,,https://www.zillow.com/nh/fsbo/,
david spade,0,0,94,246000,73,0.49,0.01,19200000,"informational, transactional",,,https://www.realtor.com/news/celebrity-real-estate/david-spade-lists-beautiful-beverly-hills-home/
dcu,0,0,55,246000,79,1.84,0.06,23800000,navigational,,,https://www.realtor.com/realestateagency/5673804c89a6890100698daf
destin florida,0,66,23,246000,82,0.70,0.1,28100000,informational,,https://www.zillow.com/destin-fl/,https://www.realtor.com/realestateandhomes-search/Destin_FL
hannaford,0,69,0,246000,84,1.09,0.02,6850000,navigational,,https://www.zillow.com/homedetails/4539-Hannaford-St-Dayton-OH-45439/35004290_zpid/,
housing market,0,13,43,246000,75,1.23,0.04,1240000000,"informational, transactional",,https://www.zillow.com/,https://www.realtor.com/news/trends/column-weekly-housing-update-20-august-buzzword/
juno email,0,0,89,246000,92,1.37,0,110000000,"navigational, transactional",,,https://www.realtor.com/realestateandhomes-detail/1605-E-Hemingway-Dr_North-Palm-Beach_FL_33408_M69563-76997
jupiter,0,0,94,246000,92,1.79,0,0,"informational, transactional",,,https://www.realtor.com/realestateandhomes-search/Jupiter_FL
kate mara,0,0,62,246000,73,3.54,0,40800000,informational,,,https://www.realtor.com/news/celebrity-real-estate/kate-mara-jamie-bell-selling-los-feliz-home/
la quinta,0,31,25,246000,80,0.84,0.12,95,navigational,,https://www.zillow.com/la-quinta-ca/,https://www.realtor.com/realestateandhomes-search/La-Quinta_CA
land for sale near me,0,6,12,246000,74,0.36,0.45,62,transactional,,https://www.zillow.com/fayetteville-nc/land/,https://www.realtor.com/realestateandhomes-search/Houston_TX/type-land
manhattan,0,77,38,246000,93,0.71,0.01,721000000,informational,,https://www.zillow.com/manhattan-new-york-ny/,https://www.realtor.com/realestateandhomes-search/Manhattan_NY
marlon wayans,0,0,92,246000,71,0.43,0,4910000,"informational, transactional",,,https://www.realtor.com/news/celebrity-real-estate/marlon-wayans-buys-encino-modern-farmhouse/
minneapolis,0,76,77,246000,100,0.96,0,503000000,"informational, transactional",,https://www.zillow.com/minneapolis-mn/,https://www.realtor.com/realestateandhomes-search/Minneapolis_MN
myatt,0,86,50,246000,68,2.08,0.14,3550000,"informational, transactional",,https://www.zillow.com/homedetails/2514-Myatt-Ln-El-Campo-TX-77437/87595329_zpid/,https://www.realtor.com/realestateagents/56b072f789a68901006c3fa5
palm springs,0,0,96,246000,96,0.70,0.05,289000000,informational,,,https://www.realtor.com/realestateandhomes-search/Palm-Springs_CA
roadrunner email,0,0,74,246000,99,3.21,0,1200000000,navigational,,,https://www.realtor.com/realestateandhomes-detail/4825-E-Roadrunner-Rd_Paradise-Valley_AZ_85253_M26124-17822
sacramento,0,59,0,246000,100,0.91,0,656000000,informational,,https://www.zillow.com/sacramento-ca/,
salt lake city,0,60,67,246000,95,0.66,0.01,557000000,informational,,https://www.zillow.com/salt-lake-city-ut/,https://www.realtor.com/realestateandhomes-search/Salt-Lake-City_UT
search,0,89,0,246000,100,0.51,0.03,25270000000,"informational, transactional",,https://www.zillow.com/,
see,0,84,0,246000,92,2.75,0.1,25270000000,"informational, transactional",,https://www.zillow.com/how-much-is-my-home-worth/,
shemar moore,0,0,90,246000,69,0.72,0,4400000,"informational, transactional",,,https://www.realtor.com/news/celebrity-real-estate/shemar-moore-selling-posh-encino-home/
tucson weather,0,0,54,246000,76,0.69,0,87,informational,,,https://www.realtor.com/realestateandhomes-search/Tucson_AZ
valerie bertinelli,0,0,29,246000,74,0.00,0,7150000,informational,,,https://www.realtor.com/news/celebrity-real-estate/valerie-bertinelli-selling-los-angeles-home/
virginia beach,0,91,32,246000,93,0.81,0.07,571000000,"informational, navigational",,https://www.zillow.com/virginia-beach-va/,https://www.realtor.com/realestateandhomes-search/Virginia-Beach_VA
xxxn,0,38,0,246000,30,0.00,0,87,informational,,https://www.zillow.com/homedetails/Xxxn-Edgewater-Rd-NE-Pine-City-MN-55063/2074887849_zpid/,
yahoo search,0,88,0,246000,100,1.49,0,2820000000,navigational,,https://www.zillow.com/,
711,0,0,42,201000,98,0.81,0.01,1240000000,navigational,,,https://www.realtor.com/realestateandhomes-detail/711-1st-St-202_Hoboken_NJ_07030_M90857-90597
aaron paul,0,0,69,201000,70,0.93,0,285000000,informational,,,https://www.realtor.com/news/celebrity-real-estate/aaron-paul-selling-fabulous-midcentury-modern-home-in-idaho/
apartments.com,0,39,48,201000,83,0.59,0.31,72,navigational,,https://www.zillow.com/,https://www.realtor.com/rentals
autumn falls,0,85,0,201000,51,0.00,0,178000000,informational,,https://www.zillow.com/homedetails/2713-Autumn-Falls-Dr-Pearland-TX-77584/89626841_zpid/,
bealls,0,55,0,201000,91,1.17,0.21,2960000,navigational,,https://www.zillow.com/homedetails/9160-Bealls-Farm-Rd-Frederick-MD-21704/97473941_zpid/,
big sur,0,82,0,201000,88,0.44,0.01,2240000000,"informational, transactional",,https://www.zillow.com/big-sur-ca/,
caculator,0,98,0,201000,95,0.00,0.02,4080000000,transactional,,https://www.zillow.com/mortgage-calculator/,
charleston sc,0,28,52,201000,87,0.39,0.1,223000000,informational,,https://www.zillow.com/charleston-sc/,https://www.realtor.com/realestateandhomes-search/Charleston_SC
chris watts,0,0,46,201000,59,0.00,0,54300000,informational,,,https://www.realtor.com/news/trends/chris-watts-murder-house-hits-the-market-but-whos-going-to-want-it/
cindy crawford,0,0,77,201000,89,0.00,0,30000000,informational,,,https://www.realtor.com/realestateagents/56ccc15d7e54f7010023c20d
citicards,0,0,18,201000,93,6.90,0.13,343000,navigational,,,https://www.realtor.com/realestateandhomes-detail/13504-Citicards-Way_Jacksonville_FL_32258_M95677-10422
clemson,0,0,67,201000,100,0.79,0.01,95600000,navigational,,,https://www.realtor.com/realestateandhomes-search/Clemson_SC
coldwell banker,0,0,63,201000,100,0.46,0.19,22400000,navigational,,,https://www.realtor.com/realestateagency/coldwell-banker-plourde-real-estate_waterville_me_10658_073004335
cooper's hawk,0,0,85,201000,82,0.33,0.01,5330000,navigational,,,https://www.realtor.com/realestateandhomes-detail/6647-Coopers-Hawk-Ct_Lakewood-Rch_FL_34202_M62884-98949
coopers hawk,0,93,94,201000,83,0.33,0.01,1490000,navigational,,https://www.zillow.com/homedetails/16549-Coopers-Hawk-Ave-Clermont-FL-34714/45340570_zpid/,https://www.realtor.com/realestateandhomes-detail/7720-Coopers-Hawk-Trl_Machesney-Park_IL_61115_M81307-42614
craigslist milwaukee,0,24,0,201000,41,0.64,0,87,navigational,,https://www.zillow.com/milwaukee-wi/rent-houses/,
craigslist san francisco,0,57,0,201000,52,0.52,0,85,navigational,,"https://www.zillow.com/homes/for_rent/condo,apartment_duplex_type/",
current mortgage rates,0,12,76,201000,100,2.20,0.4,603000000,informational,,https://www.zillow.com/mortgage-rates/,https://www.realtor.com/mortgage/rates/
danny masterson,0,0,60,201000,63,0.00,0,4380000,informational,,,https://www.realtor.com/news/celebrity-real-estate/danny-masterson-selling-hollywood-hills-home/
dylan arnold,0,0,62,201000,62,0.00,0,11900000,"informational, transactional",,,https://www.realtor.com/realestateagents/625840144e1e976ca31b1e6a
eduardo franco,0,0,29,201000,55,0.67,0,39900000,"informational, transactional",,,https://www.realtor.com/realestateagents/5682d1490fa417010073b9cf
estate sales near me,0,63,60,201000,80,0.52,0.09,93,"navigational, transactional",,https://www.zillow.com/,https://www.realtor.com/soldhomes
ethan allen,0,86,0,201000,80,1.59,0.07,25800000,navigational,,https://www.zillow.com/homedetails/3566-Ethan-Allen-Ave-San-Diego-CA-92117/16925699_zpid/,
free credit report,0,84,0,201000,100,6.63,0.69,1820000000,commercial,,https://www.zillow.com/mortgage-learning/free-credit-reports/,
google calculator,0,78,0,201000,99,0.00,0,2480000000,"navigational, transactional",,https://www.zillow.com/mortgage-calculator/,
homes for rent near me,0,1,4,201000,96,0.49,0.38,53,"informational, transactional",,https://www.zillow.com/homes/for_rent/,https://www.realtor.com/rentals
honolulu,0,37,95,201000,94,0.68,0.03,251000000,informational,,https://www.zillow.com/honolulu-hi/,https://www.realtor.com/realestateandhomes-search/Honolulu_HI
house for sale near me,0,6,8,201000,97,0.74,0.41,49,"informational, transactional",,https://www.zillow.com/homes/for_sale/,https://www.realtor.com/realestateforsale
hvac,0,0,44,201000,96,9.91,0.41,201000000,"commercial, informational",,,https://www.realtor.com/advice/home-improvement/what-is-an-hvac-system/
interest rates,0,43,0,201000,100,0.00,0,1500000000,informational,,https://www.zillow.com/mortgage-rates/,
jennifer holland,0,0,88,201000,51,10.33,0,52600000,informational,,,https://www.realtor.com/realestateagents/56b31f757e54f70100210fb9
kristen wiig,0,0,99,201000,76,0.00,0,7920000,"informational, transactional",,,https://www.realtor.com/news/celebrity-real-estate/kristen-wiig-and-lilly-collins-in-a-case-study-house-deal/
kyle richards,0,0,65,201000,87,0.57,0,29800000,informational,,,https://www.realtor.com/news/celebrity-real-estate/real-housewives-star-kyle-richards-sells-bel-air-mansion/
lauren graham,0,0,45,201000,83,0.00,0,49000000,informational,,,https://www.realtor.com/news/celebrity-real-estate/lauren-graham-switches-los-angeles-houses/
mackinac island,0,0,95,201000,96,0.36,0.13,7600000,"informational, navigational",,,https://www.realtor.com/realestateandhomes-search/Mackinac-Island_MI
manheim,0,70,0,201000,80,0.54,0.01,19900000,navigational,,https://www.zillow.com/manheim-pa/,
mission lane,0,59,0,201000,76,2.84,0.08,273000000,navigational,,https://www.zillow.com/homedetails/4-Mission-Ln-Hudson-NH-03051/92859647_zpid/,
mobile homes for sale,0,8,11,201000,85,0.54,0.38,92,transactional,,https://www.zillow.com/il/mobile/,https://www.realtor.com/realestateandhomes-search/San-Jose_CA/type-mfd-mobile-home
mortgage payment calculator,0,8,15,201000,100,1.59,0.2,447000000,informational,,https://www.zillow.com/mortgage-calculator/,https://www.realtor.com/mortgage/tools/mortgage-calculator/
my girl,0,0,75,201000,77,0.00,0,10990000000,"informational, transactional",,,https://www.realtor.com/news/unique-homes/movie-house-my-girl-for-sale-florida/
my yahoo,0,65,0,201000,100,1.37,0,80,"informational, navigational",,https://www.zillow.com/,
nene leakes,0,0,77,201000,82,0.07,0,3750000,"informational, transactional",,,https://www.realtor.com/news/celebrity-real-estate/nene-leakes-slices-price-of-georgia-mansion-again/
new york city,0,84,82,201000,100,0.66,0.01,7570000000,informational,,https://www.zillow.com/new-york-ny/,https://www.realtor.com/realestateandhomes-search/New-York_NY
nfm,0,69,0,201000,74,0.59,0.17,7510000,navigational,,https://www.zillow.com/lender-profile/NFMLending/,
nonchalant,0,96,88,201000,64,0.00,0,22800000,commercial,,https://www.zillow.com/homedetails/1355-Nonchalant-Dr-Simi-Valley-CA-93065/16449381_zpid/,https://www.realtor.com/realestateandhomes-detail/1177-Nonchalant-Dr_Simi-Valley_CA_93065_M25577-35112
panama city beach,0,0,24,201000,81,0.82,0.13,175000000,informational,,,https://www.realtor.com/realestateandhomes-search/Panama-City-Beach_FL
pigeon forge,0,88,70,201000,87,0.69,0.11,14300000,informational,,https://www.zillow.com/pigeon-forge-tn/,https://www.realtor.com/realestateandhomes-search/Pigeon-Forge_TN
pink lily,0,25,0,201000,69,1.11,1,371000000,"informational, transactional",,https://www.zillow.com/homedetails/8013-Pink-Lily-Ct-Pasadena-MD-21122/36072830_zpid/,
rent,0,14,19,201000,100,0.79,0.21,3190000000,"informational, transactional",,https://www.zillow.com/homes/for_rent/,https://www.realtor.com/rentals
san jose,0,0,78,201000,100,1.57,0,947000000,informational,,,https://www.realtor.com/realestateandhomes-search/San-Jose_CA
silverfish,0,0,84,201000,75,2.89,0.01,12300000,informational,,,https://www.realtor.com/advice/home-improvement/how-to-get-rid-of-silverfish/
streeteasy,0,58,63,201000,76,0.28,0.05,89,navigational,,https://www.zillow.com/new-york-ny/apartments/,https://www.realtor.com/apartments/White-Plains_NY
tampa,0,93,0,201000,100,0.61,0.01,850000000,informational,,https://www.zillow.com/tampa-fl/,
tarek el moussa,0,31,63,201000,76,22.81,0,4050000,informational,,https://www.zillow.com/profile/TarekElMoussa,https://www.realtor.com/news/trends/surprising-facts-about-tarek-el-moussa/
true value,0,67,0,201000,71,0.27,0.05,91,navigational,,https://www.zillow.com/how-much-is-my-home-worth/,
wisconsin dells,0,0,86,201000,92,0.73,0.24,8050000,"informational, navigational",,,https://www.realtor.com/realestateandhomes-search/Wisconsin-Dells_WI
zach galifianakis,0,0,57,201000,52,0.00,0,5550000,"informational, transactional",,,https://www.realtor.com/news/celebrity-real-estate/zach-galifianakis-childhood-home-is-no-laughing-matter/
zillow homes for sale,0,1,36,201000,91,0.37,0.24,86,"navigational, transactional",,https://www.zillow.com/homes/for_sale/,https://www.realtor.com/
amazon a to z,0,90,0,165000,76,0.93,0,1980000000,navigational,,https://www.zillow.com/,
apartment,0,12,28,165000,100,0.69,0.09,1900000000,navigational,,https://www.zillow.com/,https://www.realtor.com/rentals
austin texas,0,7,11,165000,100,0.58,0.01,849000000,"informational, navigational",,https://www.zillow.com/austin-tx/,https://www.realtor.com/realestateandhomes-search/Austin_TX
bridgecrest,0,30,17,165000,85,4.04,0,95,navigational,,https://www.zillow.com/b/bridgecrest-estates-condominiums-bridgeton-mo-9JJp9c/,https://www.realtor.com/realestateandhomes-detail/1924-Bridgecrest-Ln_Keller_TX_76262_M70692-77943
caliber home loans,0,17,0,165000,87,3.16,0.04,3310000,navigational,,https://www.zillow.com/lender-profile/CaliberHomeLoans/,
celebrity,0,0,85,165000,100,4.26,0.07,4530000000,navigational,,,https://www.realtor.com/news/celebrity-real-estate/
christian slater,0,0,88,165000,64,0.00,0,15800000,"informational, transactional",,,https://www.realtor.com/news/celebrity-real-estate/christian-slater-selling-coconut-grove-home/
craigslist baltimore,0,86,0,165000,38,0.77,0,98,navigational,,https://www.zillow.com/reservoir-hill-baltimore-md/rentals/,
craigslist buffalo,0,19,0,165000,44,0.00,0,83,navigational,,https://www.zillow.com/buffalo-ny/fsbo/,
craigslist kansas city,0,48,0,165000,38,2.01,0,0,"navigational, transactional",,https://www.zillow.com/kansas-city-mo/fsbo/,
craigslist nyc,0,40,0,165000,66,0.72,0,99,navigational,,https://www.zillow.com/bronx-new-york-ny/apartments/,
craigslist reno,0,65,0,165000,32,0.85,0,70,navigational,,https://www.zillow.com/b/750-plumas-st.-reno-nv-5XqXj3/,
craigslist ri,0,21,71,165000,35,0.51,0,81,navigational,,https://www.zillow.com/ri/apartments/,https://www.realtor.com/realestateandhomes-search/East-Providence_RI/type-multi-family-home
craigslist vt,0,13,0,165000,43,6.42,0,72,navigational,,https://www.zillow.com/vt/fsbo/,
credit score,0,46,23,165000,97,5.31,0.22,1100000000,informational,,https://www.zillow.com/mortgage-learning/mortgage-credit-scores/,https://www.realtor.com/advice/finance/what-is-a-good-credit-score/
daytona beach,0,89,66,165000,87,0.70,0.06,79600000,"informational, navigational",,https://www.zillow.com/daytona-beach-fl/,https://www.realtor.com/realestateandhomes-search/Daytona-Beach_FL
emma cannon,0,38,21,165000,53,0.00,0,10700000,informational,,https://www.zillow.com/homedetails/6052-Emma-Cannon-Rd-Ayden-NC-28513/80911126_zpid/,https://www.realtor.com/realestateandhomes-detail/3740-Emma-Cannon-Rd_Ayden_NC_28513_M59082-82884
fha loan,0,12,0,165000,100,4.83,0.5,28100000,commercial,,https://www.zillow.com/mortgage-learning/fha-loan/,
gatlinburg,0,86,88,165000,89,0.63,0.08,18200000,"informational, navigational",,https://www.zillow.com/gatlinburg-tn/,https://www.realtor.com/realestateandhomes-search/Gatlinburg_TN
golo,0,71,0,165000,81,0.81,0.39,28200000,navigational,,https://www.zillow.com/golo-kirksey-ky/,
homes for rent,0,3,5,165000,100,0.50,0.38,56,informational,,https://www.zillow.com/homes/for_rent/,https://www.realtor.com/rentals
hotpads,0,27,0,165000,66,0.76,0.03,53,navigational,,https://www.zillow.com/rental-manager/price-my-rental/,
house for sale,0,2,1,165000,100,0.67,0.43,68,transactional,,https://www.zillow.com/,https://www.realtor.com/
huntington beach,0,90,9,165000,76,0.75,0.02,99900000,informational,,https://www.zillow.com/huntington-beach-ca/,https://www.realtor.com/realestateandhomes-search/Huntington-Beach_CA
jennifer esposito,0,0,70,165000,53,0.00,0,9500000,informational,,,https://www.realtor.com/realestateagents/5686c640bb954c010069f354
joc pederson,0,0,69,165000,72,0.00,0,1160000,informational,,,https://www.realtor.com/news/celebrity-real-estate/joc-pederson-sells-studio-city-home/
