Keyword,homelight.com,redfin.com,trulia.com,remax.com,compass.com,Search Volume,Keyword Difficulty,CPC,Competition,Results,Keyword Intents,homelight.com (pages),redfin.com (pages),trulia.com (pages),remax.com (pages),compass.com (pages)
realtor near me,0,18,8,4,26,40500,100,10.54,0.9,62,"navigational, transactional",,https://www.redfin.com/real-estate-agents,https://www.trulia.com/,https://www.remax.com/,https://www.compass.com/
brightmls,0,85,95,83,96,33100,64,1.83,0,7680000,navigational,,https://www.redfin.com/MD/Brooklyn-Park/111-Bethlehem-Pl-21225/unit-C/home/181468601,https://www.trulia.com/p/wv/inwood/1258-harold-dr-inwood-wv-25428--2518793286,https://www.remax.com/homes-for-sale/pa/philadelphia/city/4260000,https://www.compass.com/listing/7-choptank-avenue-cambridge-md-21613/1127816108521171657/
encino,0,15,13,89,11,33100,69,0.22,0,30000000,"informational, transactional",,https://www.redfin.com/neighborhood/899/CA/Los-Angeles/Encino,https://www.trulia.com/n/ca/los-angeles/encino/88114/,https://www.remax.com/homes-for-sale/ca/encino/city/9025229,https://www.compass.com/neighborhood-guides/la/encino/
alys beach,0,75,37,23,77,27100,52,7.68,0.06,2180000,"informational, navigational",,https://www.redfin.com/neighborhood/573981/FL/Laguna-Beach/Alys-Beach,https://www.trulia.com/FL/Alys_Beach/,https://www.remax.com/homes-for-sale/fl/inlet-beach/alys-beach/neighborhood/1168527,https://www.compass.com/homes-for-sale/alys-beach-inlet-beach-fl/
bellevue washington,0,17,95,81,83,27100,77,3.29,0,71100000,informational,,https://www.redfin.com/city/1387/WA/Bellevue,https://www.trulia.com/WA/Bellevue/,https://www.remax.com/homes-for-sale/wa/bellevue/city/5305210,https://www.compass.com/neighborhood-guides/seattle/bellevue/
miamibeachfl,0,48,49,71,65,27100,84,0.88,0,20600000,"informational, navigational",,https://www.redfin.com/city/11467/FL/Miami-Beach,https://www.trulia.com/FL/Miami_Beach/,https://www.remax.com/homes-for-sale/fl/miami-beach/city/1245025,https://www.compass.com/homes-for-sale/miami-beach-fl/
palm harbor homes,0,14,29,37,69,27100,65,0.74,0.13,93500000,navigational,,https://www.redfin.com/city/24801/FL/Palm-Harbor,https://www.trulia.com/FL/Palm_Harbor/,https://www.remax.com/homes-for-sale/fl/palm-harbor/zip/34685,https://www.compass.com/for-rent/safety-harbor-fl/beds=4-4/
realtor .com,0,12,19,13,38,27100,100,0.72,0.08,73,navigational,,https://www.redfin.com/,https://www.trulia.com/,https://www.remax.com/,https://www.compass.com/
townhomes for sale,0,9,1,10,58,27100,64,0.66,0.47,72,transactional,,https://www.redfin.com/city/29470/IL/Chicago/townhouses,"https://www.trulia.com/for_sale/Saint_Louis,MO/TOWNHOUSE_type/",https://www.remax.com/homes-for-sale,https://www.compass.com/homes-for-sale/townhomes-of-oriole-pompano-beach-fl/has-waterfront/
townhomes for sale near me,0,7,1,6,32,27100,67,0.70,0.44,52,"informational, transactional",,https://www.redfin.com/city/29470/IL/Chicago/townhouses,https://www.trulia.com/townhomes-for-sale-near-me/,https://www.remax.com/homes-for-sale,https://www.compass.com/
bay ridge,0,69,83,78,3,22200,52,1.10,0,254000000,"informational, transactional",,https://www.redfin.com/neighborhood/224177/NY/New-York/Bay-Ridge,https://www.trulia.com/n/ny/new-york/bay-ridge/225926/,https://www.remax.com/homes-for-sale/ny/new-york/bay-ridge/neighborhood/7572,https://www.compass.com/neighborhood-guides/nyc/bay-ridge/
brickell miami,0,51,9,69,59,22200,63,0.97,0.06,12000000,informational,,https://www.redfin.com/neighborhood/91805/FL/Miami/Brickell,https://www.trulia.com/for_rent/126953_nh/,https://www.remax.com/homes-for-sale/fl/miami/brickell/neighborhood/829768,https://www.compass.com/neighborhood-guides/miami/Brickell/
condos for rent near me,0,33,1,6,39,22200,60,0.57,0.32,59,"informational, transactional",,https://www.redfin.com/rentals,"https://www.trulia.com/for_rent/Alexandria,VA/CONDO_type/",https://www.remax.com/condos-for-rent,https://www.compass.com/
condos near me,0,3,1,5,55,22200,78,0.66,0.19,75,transactional,,https://www.redfin.com/condos-near-me,https://www.trulia.com/condos-for-sale-near-me/,https://www.remax.com/condos-for-sale,https://www.compass.com/
duplex for rent,0,34,2,24,46,22200,77,0.48,0.29,66,informational,,https://www.redfin.com/rentals,"https://www.trulia.com/for_rent/Milwaukee,WI/duplex/",https://www.remax.com/multi-family-homes-for-rent,https://www.compass.com/
duplex for rent near me,0,32,1,8,40,22200,81,0.55,0.25,50,"informational, transactional",,https://www.redfin.com/houses-near-me,"https://www.trulia.com/for_rent/Waco,TX/duplex/",https://www.remax.com/homes-for-rent,https://www.compass.com/
hayward ca,0,77,34,95,85,22200,59,0.57,0,59600000,informational,,https://www.redfin.com/city/8439/CA/Hayward,https://www.trulia.com/CA/Hayward/,https://www.remax.com/homes-for-sale/ca/hayward/city/0633000,https://www.compass.com/homes-for-sale/hayward-ca/
highland park chicago,0,55,65,86,91,22200,56,0.12,0,60200000,informational,,https://www.redfin.com/city/8851/IL/Highland-Park,https://www.trulia.com/IL/Highland_Park/,https://www.remax.com/homes-for-sale/il/highland-park/city/1734722,https://www.compass.com/homes-for-sale/highland-park-il/
lots for sale near me,0,5,2,6,32,22200,59,0.48,0.45,68,transactional,,https://www.redfin.com/land-near-me,https://www.trulia.com/land-for-sale-near-me/,https://www.remax.com/land-for-sale,https://www.compass.com/
pleasanton ca,0,32,27,85,42,22200,68,0.40,0,24600000,informational,,https://www.redfin.com/city/14986/CA/Pleasanton,https://www.trulia.com/CA/Pleasanton/,https://www.remax.com/homes-for-sale/ca/pleasanton/city/0657792,https://www.compass.com/homes-for-sale/pleasanton-ca/
realtor nj,0,28,53,16,46,22200,100,1.94,0.34,86,"navigational, transactional",,https://www.redfin.com/state/New-Jersey,https://www.trulia.com/,https://www.remax.com/,https://www.compass.com/
zillow houston,0,38,36,88,96,22200,53,0.33,0.3,94,"navigational, transactional",,https://www.redfin.com/,"https://www.trulia.com/TX/Houston,183906,Afton_Oaks_River_Oaks_Area/",https://www.remax.com/homes-for-sale/tx/houston/zip/77075,https://www.compass.com/for-rent/hollywood-gardens-houston-tx/beds=4-4/
zillow san antonio,0,32,31,34,52,22200,49,0.33,0.27,81,"navigational, transactional",,https://www.redfin.com/city/16657/TX/San-Antonio,https://www.trulia.com/TX/San_Antonio/,https://www.remax.com/homes-for-sale/tx/san-antonio/city/4865000,https://www.compass.com/
camarillo ca,0,14,9,61,60,18100,62,0.31,0.01,12000000,informational,,https://www.redfin.com/city/2579/CA/Camarillo,https://www.trulia.com/CA/Camarillo/,https://www.remax.com/homes-for-sale/ca/camarillo/city/0610046,https://www.compass.com/homes-for-sale/camarillo-ca/
cle elum,0,87,34,14,74,18100,57,1.17,0.01,3160000,informational,,https://www.redfin.com/city/3369/WA/Cle-Elum,https://www.trulia.com/WA/Cle_Elum/,https://www.remax.com/homes-for-sale/wa/cle-elum/city/5312945,https://www.compass.com/homes-for-sale/cle-elum-wa/
duplex for sale near me,0,7,5,4,28,18100,57,0.59,0.47,60,transactional,,https://www.redfin.com/houses-near-me,"https://www.trulia.com/for_sale/Cleveland,OH/MULTI-FAMILY_type/",https://www.remax.com/multi-family-homes-for-sale,https://www.compass.com/
ellenwood ga,0,85,14,26,88,18100,60,0.31,0,4100000,informational,,https://www.redfin.com/zipcode/30294,https://www.trulia.com/GA/Ellenwood/,https://www.remax.com/homes-for-sale/ga/ellenwood/city/9008241,https://www.compass.com/homes-for-sale/ellenwood-ga/
for sale near me,0,2,3,4,28,18100,98,0.43,0.29,48,"informational, transactional",,https://www.redfin.com/houses-near-me,https://www.trulia.com/houses-for-sale-near-me/,https://www.remax.com/homes-for-sale,https://www.compass.com/homes-for-sale/school/andover-elementary-school-andover-me-04216/
healdsburg ca,0,12,22,76,91,18100,64,0.90,0.03,5600000,"informational, transactional",,https://www.redfin.com/city/8449/CA/Healdsburg,https://www.trulia.com/CA/Healdsburg/,https://www.remax.com/homes-for-sale/ca/healdsburg/city/0633056,https://www.compass.com/homes-for-sale/healdsburg-ca/
hidden hills,0,37,16,84,23,18100,61,0.20,0,205000000,informational,,https://www.redfin.com/city/8583/CA/Hidden-Hills,https://www.trulia.com/CA/Hidden_Hills/,https://www.remax.com/homes-for-sale/ca/hidden-hills/city/0633518,https://www.compass.com/homes-for-sale/hidden-hills-ca/
hollywood fl,0,46,85,51,75,18100,78,0.69,0.02,168000000,informational,,https://www.redfin.com/city/8176/FL/Hollywood,https://www.trulia.com/n/fl/hollywood/hollywood-hills/82070/,https://www.remax.com/homes-for-sale/fl/hollywood/city/1232000,https://www.compass.com/homes-for-sale/hollywood-fl/
homes for sale in florida,0,3,4,12,26,18100,77,0.58,0.35,228000000,"informational, transactional",,https://www.redfin.com/state/Florida,https://www.trulia.com/FL/Orlando/,https://www.remax.com/homes-for-sale/fl,https://www.compass.com/sitemap/fl/
houses for sale in florida,0,3,4,15,31,18100,86,0.60,0.38,160000000,"informational, transactional",,https://www.redfin.com/state/Florida,https://www.trulia.com/FL/Orlando/,https://www.remax.com/homes-for-sale/fl,https://www.compass.com/homes-for-sale/florida/
houses for sale in texas,0,4,3,8,26,18100,77,0.59,0.38,533000000,"informational, transactional",,https://www.redfin.com/state/Texas,https://www.trulia.com/TX/,https://www.remax.com/homes-for-sale/tx/dallas/city/4819000,https://www.compass.com/homes-for-sale/texas/
houses to rent near me,0,35,1,9,30,18100,91,0.43,0.35,79,"informational, transactional",,https://www.redfin.com/rentals,https://www.trulia.com/for_rent/63146_zip/SINGLE-FAMILY_HOME_type/,https://www.remax.com/homes-for-rent,https://www.compass.com/
kensington philadelphia,0,26,19,80,15,18100,47,2.39,0,8550000,informational,,https://www.redfin.com/neighborhood/156651/PA/Philadelphia/Kensington,https://www.trulia.com/n/pa/philadelphia/east-kensington/137372/,https://www.remax.com/homes-for-sale/pa/philadelphia/kensington/neighborhood/803009/page-14,https://www.compass.com/homes-for-sale/kensington-philadelphia-pa/
melbourne beach,0,97,77,9,88,18100,67,0.61,0.04,291000000,"informational, transactional",,https://www.redfin.com/city/11204/FL/Melbourne-Beach,https://www.trulia.com/FL/Melbourne_Beach/,https://www.remax.com/homes-for-sale/fl/melbourne-beach/city/1244000,https://www.compass.com/homes-for-sale/melbourne-beach-fl/
pacoima,0,25,23,50,77,18100,56,0.00,0,5980000,informational,,https://www.redfin.com/neighborhood/2079/CA/Los-Angeles/Pacoima,https://www.trulia.com/n/ca/los-angeles/pacoima/88119/,https://www.remax.com/homes-for-sale/ca/pacoima/city/9025234,https://www.compass.com/homes-for-sale/pacoima-ca/
rental house near me,0,34,1,7,36,18100,100,0.43,0.35,65,transactional,,https://www.redfin.com/rentals,https://www.trulia.com/rent/,https://www.remax.com/homes-for-rent,https://www.compass.com/
rockport ma,0,67,10,87,73,18100,50,0.54,0.05,6950000,informational,,https://www.redfin.com/city/36156/MA/Rockport,https://www.trulia.com/MA/Rockport/,https://www.remax.com/homes-for-sale/ma/rockport/city/2557845,https://www.compass.com/homes-for-sale/rockport-ma/
rosemary beach fl,0,48,36,78,59,18100,61,0.80,0.09,10800000,"informational, navigational",,https://www.redfin.com/neighborhood/572505/FL/Laguna-Beach/Rosemary-Beach,https://www.trulia.com/FL/Rosemary_Beach/,https://www.remax.com/homes-for-sale/fl/inlet-beach/rosemary-beach/neighborhood/1150494,https://www.compass.com/homes-for-sale/rosemary-beach-inlet-beach-fl/
surfside beach texas,0,7,74,17,90,18100,57,0.68,0.1,4900000,"informational, transactional",,https://www.redfin.com/city/18233/TX/Surfside-Beach,https://www.trulia.com/TX/Surfside_Beach/,https://www.remax.com/homes-for-sale/tx/surfside-beach/city/4871384,https://www.compass.com/homes-for-sale/surfside-beach-tx/
truckee ca,0,49,35,97,85,18100,56,1.21,0.02,8170000,informational,,https://www.redfin.com/city/20216/CA/Truckee,https://www.trulia.com/CA/Truckee/,https://www.remax.com/homes-for-sale/ca/truckee/city/0680588,https://www.compass.com/homes-for-sale/truckee-ca/
weehawken,0,15,5,21,35,18100,50,0.33,0,7500000,"informational, navigational",,https://www.redfin.com/minorcivildivision/568/NJ/Weehawken-Township,https://www.trulia.com/NJ/Weehawken/,https://www.remax.com/homes-for-sale/nj/weehawken/city/3401777930,https://www.compass.com/homes-for-sale/weehawken-nj/
yonkers ny,0,83,34,73,84,18100,66,0.26,0.01,29300000,informational,,https://www.redfin.com/city/20735/NY/Yonkers,https://www.trulia.com/NY/Yonkers/,https://www.remax.com/homes-for-sale/ny/yonkers/city/3684000,https://www.compass.com/homes-for-sale/yonkers-ny/
2330 w armitage ave unit f,0,1,15,16,12,14800,14,0.00,0,83,informational,,https://www.redfin.com/IL/Chicago/2330-W-Armitage-Ave-60647/unit-F/home/13356732,https://www.trulia.com/p/il/chicago/2308-w-north-ave-2w-chicago-il-60647--2104552461,https://www.remax.com/il/chicago/home-details/1833-n-california-ave-chicago-il-60647/2341095968024301704,"https://www.compass.com/homes-for-sale/school/st-john-berchmans-school-chicago-il-60647/listing-type=coming-soon,exclusive,mls,new-construction/start=120/"
38 bergen ridge road north bergen nj,0,7,3,28,10,14800,17,0.00,0,89,informational,,https://www.redfin.com/NJ/North-Bergen/38-Bergen-Ridge-Rd-07047/home/56314409,https://www.trulia.com/p/nj/north-bergen/38-bergen-ridge-rd-1-north-bergen-nj-07047--2447885884,https://www.remax.com/nj/north-bergen/home-details/1109-7th-st-north-bergen-nj-07047/7369410934355078274,https://www.compass.com/listing/38-bergen-ridge-road-unit-1-north-bergen-nj-07047/457175527172753993/
altadena,0,20,82,69,74,14800,57,0.30,0.02,6850000,informational,,https://www.redfin.com/city/21169/CA/Altadena,https://www.trulia.com/CA/Altadena/,https://www.remax.com/homes-for-sale/ca/altadena/city/0601290,https://www.compass.com/homes-for-sale/altadena-ca/
apartment complex for sale,0,10,32,43,62,14800,49,1.14,0.54,94,transactional,,https://www.redfin.com/city/11203/CA/Los-Angeles/amenity/apartment+building,https://www.trulia.com/,https://www.remax.com/homes-for-sale,https://www.compass.com/
bensonhurst,0,77,5,15,28,14800,55,0.00,0,4140000,"informational, transactional",,https://www.redfin.com/neighborhood/224207/NY/New-York/Bensonhurst,https://www.trulia.com/n/ny/new-york/bensonhurst/85158/,https://www.remax.com/homes-for-sale/ny/new-york/bensonhurst/neighborhood/7574,https://www.compass.com/homes-for-sale/bensonhurst-brooklyn-ny/
bronxville,0,88,21,96,5,14800,64,0.42,0,6130000,informational,,https://www.redfin.com/neighborhood/43068/NY/Bronxville/Village-of-Bronxville,https://www.trulia.com/NY/Bronxville/,https://www.remax.com/homes-for-sale/ny/bronxville/city/3608532,https://www.compass.com/homes-for-sale/bronxville-ny/
cambridge md,0,56,43,92,97,14800,56,0.54,0.03,302000000,informational,,https://www.redfin.com/city/3214/MD/Cambridge,https://www.trulia.com/MD/Cambridge/,https://www.remax.com/homes-for-sale/md/cambridge/city/2412400,https://www.compass.com/homes-for-sale/cambridge-md/
columbia heights,0,61,23,89,7,14800,69,0.94,0,132000000,"informational, navigational",,https://www.redfin.com/neighborhood/18585/DC/Washington-DC/Columbia-Heights,https://www.trulia.com/n/dc/washington/columbia-heights/198504/,https://www.remax.com/homes-for-sale/mn/columbia-heights/city/2712700,https://www.compass.com/neighborhood-guides/dc/columbia-heights/
dyker heights,0,85,7,37,9,14800,65,0.53,0.01,2630000,"informational, transactional",,https://www.redfin.com/neighborhood/224198/NY/New-York/Dyker-Heights,"https://www.trulia.com/NY/New_York,5085,Dyker_Heights/",https://www.remax.com/homes-for-sale/ny/new-york/dyker-heights/neighborhood/7591,https://www.compass.com/homes-for-sale/dyker-heights-brooklyn-ny/
elmont ny,0,21,13,25,75,14800,55,0.33,0,4850000,informational,,https://www.redfin.com/city/22661/NY/Elmont,https://www.trulia.com/NY/Elmont/,https://www.remax.com/homes-for-sale/ny/elmont/city/3624273,https://www.compass.com/homes-for-sale/elmont-ny/
estate sale finder,0,59,57,66,73,14800,62,1.11,0.02,97300000,navigational,,https://www.redfin.com/,https://www.trulia.com/,https://www.remax.com/homes-for-sale,https://www.compass.com/
florida homes for sale,0,3,4,10,30,14800,80,0.58,0.35,211000000,"informational, transactional",,https://www.redfin.com/state/Florida,https://www.trulia.com/FL/Orlando/,https://www.remax.com/homes-for-sale/fl,https://www.compass.com/homes-for-sale/florida/
hampton beach hampton nh,0,26,58,46,65,14800,69,0.60,0,13000000,"informational, navigational",,https://www.redfin.com/city/33037/NH/Hampton-Beach,https://www.trulia.com/NH/Hampton_Beach/,https://www.remax.com/homes-for-sale/nh/hampton-beach/hampton-beach/neighborhood/1170902,https://www.compass.com/homes-for-sale/hampton-beach-hampton-nh/
homes for sale in tennessee,0,5,3,8,23,14800,72,0.39,0.3,56200000,"informational, transactional",,https://www.redfin.com/state/Tennessee,https://www.trulia.com/TN/,https://www.remax.com/homes-for-sale/tn,https://www.compass.com/homes-for-sale/nashville-tn/
homes to rent near me,0,35,1,7,51,14800,93,0.49,0.38,72,"informational, transactional",,https://www.redfin.com/rentals,https://www.trulia.com/rent/,https://www.remax.com/homes-for-rent,https://www.compass.com/
hyattsville md,0,18,8,26,85,14800,66,0.44,0,9830000,informational,,https://www.redfin.com/city/10503/MD/Hyattsville,https://www.trulia.com/MD/Hyattsville/,https://www.remax.com/homes-for-sale/md/hyattsville/city/2441250,https://www.compass.com/homes-for-sale/hyattsville-md/
keller tx,0,36,24,39,71,14800,67,0.61,0,49200000,informational,,https://www.redfin.com/city/9799/TX/Keller,https://www.trulia.com/TX/Keller/,https://www.remax.com/homes-for-sale/tx/keller/city/4838632,https://www.compass.com/homes-for-sale/keller-tx/
la quinta ca,0,76,14,26,97,14800,71,0.53,0.02,85800000,informational,,https://www.redfin.com/city/10297/CA/La-Quinta,https://www.trulia.com/CA/La_Quinta/,https://www.remax.com/homes-for-sale/ca/la-quinta/city/0640354,https://www.compass.com/homes-for-sale/la-quinta-ca/
lexington ma,0,11,66,68,83,14800,61,0.37,0.01,132000000,"informational, navigational",,https://www.redfin.com/city/36128/MA/Lexington,"https://www.trulia.com/for_rent/Lexington,MA/",https://www.remax.com/homes-for-sale/ma/lexington/city/2535250,https://www.compass.com/homes-for-sale/lexington-ma/
malvern pa,0,21,12,46,60,14800,52,0.34,0.01,22000000,informational,,https://www.redfin.com/city/11939/PA/Malvern,https://www.trulia.com/PA/Malvern/,https://www.remax.com/homes-for-sale/pa/malvern/city/4246792,https://www.compass.com/homes-for-sale/malvern-pa/
mn 511,0,37,22,32,64,14800,58,0.00,0,61100000,navigational,,https://www.redfin.com/MN/Minneapolis/511-Kelly-Dr-55427/home/51504652,https://www.trulia.com/p/mn/forest-lake/511-apartment-ln-sw-forest-lake-mn-55025--2101633031,https://www.remax.com/mn/lanesboro/home-details/511-new-st-lanesboro-mn-55949/17511978104886902636,https://www.compass.com/listing/511-4th-avenue-north-foley-mn-56329/1110099030312063057/
mount vernon ny,0,69,37,72,26,14800,55,0.35,0.01,54900000,informational,,https://www.redfin.com/city/12584/NY/Mount-Vernon,https://www.trulia.com/n/ny/mount-vernon/downtown/192510/,https://www.remax.com/homes-for-sale/ny/mount-vernon/city/3649121,https://www.compass.com/homes-for-sale/mount-vernon-ny/
new homes for sale near me,0,11,1,13,38,14800,75,1.39,0.49,70,"informational, transactional",,https://www.redfin.com/city/8903/TX/Houston/new-homes,"https://www.trulia.com/for_sale/Houston,TX/new_homes_lt/",https://www.remax.com/homes-for-sale,https://www.compass.com/
newton ma,0,64,4,36,51,14800,77,0.27,0.01,247000000,"informational, navigational",,https://www.redfin.com/city/11619/MA/Newton,https://www.trulia.com/MA/Newton/,https://www.remax.com/homes-for-sale/ma/newton/city/2545560,https://www.compass.com/homes-for-sale/newton-ma/
parkland fla,0,9,16,15,64,14800,64,0.00,0,10100000,informational,,https://www.redfin.com/city/14281/FL/Parkland,https://www.trulia.com/FL/Parkland/,https://www.remax.com/homes-for-sale/fl/parkland/city/1255125,https://www.compass.com/homes-for-sale/parkland-fl/
porter ranch,0,19,5,91,7,14800,65,0.46,0.01,16600000,informational,,https://www.redfin.com/neighborhood/2179/CA/Los-Angeles/Porter-Ranch,https://www.trulia.com/n/ca/los-angeles/porter-ranch/88121/,https://www.remax.com/homes-for-sale/ca/los-angeles/westcliffe-at-porter-ranch/neighborhood/1249936,https://www.compass.com/homes-for-sale/porter-ranch-ca/
rustlers roost,0,13,47,56,50,14800,50,1.34,0,94,"navigational, transactional",,https://www.redfin.com/CO/Colorado-Springs/1604-Rustlers-Roost-Dr-80921/home/49767499,https://www.trulia.com/p/az/overgaard/2707-rustlers-roost-rd-overgaard-az-85933--2075857712,https://www.remax.com/az/overgaard/home-details/2720-rustlers-roost-overgaard-az-85933/12931729502440745976/M00000048/6440373,https://www.compass.com/listing/2712-rustlers-roost-overgaard-az-85933/1094951047144198473/
satellite beach,0,71,58,68,8,14800,60,0.63,0.02,291000000,"informational, transactional",,https://www.redfin.com/city/16513/FL/Satellite-Beach,https://www.trulia.com/FL/Satellite_Beach/,https://www.remax.com/homes-for-sale/fl/satellite-beach/zip/32937,https://www.compass.com/homes-for-sale/satellite-beach-fl/
saugerties ny,0,18,12,80,91,14800,54,0.68,0.03,4930000,informational,,https://www.redfin.com/city/16742/NY/Saugerties,https://www.trulia.com/NY/Saugerties/,https://www.remax.com/homes-for-sale/ny/saugerties/city/3665288,https://www.compass.com/homes-for-sale/saugerties-ny/
singer island,0,37,9,23,7,14800,54,0.61,0.07,328000000,"informational, transactional",,https://www.redfin.com/neighborhood/549520/FL/Riviera-Beach/Singer-Island,"https://www.trulia.com/FL/Riviera_Beach,119628,Singer_Island/",https://www.remax.com/homes-for-sale/fl/riviera-beach/singer-island/neighborhood/1123931,https://www.compass.com/homes-for-sale/singer-island-fl/
somerville ma,0,77,63,79,65,14800,79,0.50,0.01,31700000,"informational, navigational",,https://www.redfin.com/city/16064/MA/Somerville,https://www.trulia.com/MA/Somerville/,https://www.remax.com/homes-for-sale/ma/somerville/city/2562535,https://www.compass.com/homes-for-sale/somerville-ma/
511 iowa,0,15,14,27,38,12100,57,0.00,0,83,informational,,https://www.redfin.com/FL/Orlando/511-Iowa-Woods-Cir-E-32824/home/46850965,https://www.trulia.com/p/tx/san-antonio/511-iowa-st-san-antonio-tx-78203--2070917900,https://www.remax.com/mt/eureka/home-details/511-iowa-flats-rd-eureka-mt-59917/13433838146390366608,https://www.compass.com/listing/511-iowa-street-san-antonio-tx-78203/994174534203347169/
alameda ca,0,83,18,94,26,12100,78,0.33,0.01,61100000,"informational, navigational",,https://www.redfin.com/city/117/CA/Alameda,https://www.trulia.com/CA/Alameda/,https://www.remax.com/homes-for-sale/ca/alameda/city/0600562,https://www.compass.com/homes-for-sale/alameda-ca/
apartments for sale near me,0,7,3,6,19,12100,67,0.63,0.39,73,transactional,,https://www.redfin.com/condos-near-me,https://www.trulia.com/condos-for-sale-near-me/,https://www.remax.com/condos-for-sale,https://www.compass.com/
atherton ca,0,9,10,62,15,12100,69,0.17,0.01,12200000,informational,,https://www.redfin.com/city/820/CA/Atherton,https://www.trulia.com/CA/Atherton/,https://www.remax.com/homes-for-sale/ca/atherton/city/0603092,https://www.compass.com/homes-for-sale/atherton-ca/
bel vista,0,15,39,56,44,12100,36,0.95,0.01,72500000,navigational,,https://www.redfin.com/MD/Oldtown/17601-Bel-Vista-Dr-SE-21555/home/14721652,https://www.trulia.com/home/5125-Bel-Vista-Dr-5145-Casper-WY-82601-2062919202,https://www.remax.com/wy/bar-nunn/home-details/4850-bel-vista-dr-bar-nunn-wy-82601/13342454829758119119,https://www.compass.com/listing/4950-bel-vista-drive-casper-wy-82601/1131815876614227369/
canarsie,0,63,2,16,30,12100,53,0.00,0,4320000,informational,,https://www.redfin.com/neighborhood/224209/NY/New-York/Canarsie,https://www.trulia.com/n/ny/new-york/canarsie/85176/,https://www.remax.com/homes-for-sale/ny/new-york/canarsie/neighborhood/7582,https://www.compass.com/homes-for-sale/canarsie-brooklyn-ny/
cardiff by the sea,0,12,10,28,24,12100,48,0.96,0.03,54800000,"informational, transactional",,https://www.redfin.com/neighborhood/14953/CA/Encinitas/Cardiff-by-the-Sea,https://www.trulia.com/CA/Cardiff_By_The_Sea/,https://www.remax.com/homes-for-sale/ca/cardiff-by-the-sea/city/9025311,https://www.compass.com/neighborhood-guides/san_diego/cardiff-by-the-sea/
condo for rent,0,15,8,24,51,12100,73,0.56,0.3,73,commercial,,https://www.redfin.com/rentals,"https://www.trulia.com/for_rent/San_Jose,CA/CONDO_type/",https://www.remax.com/condos-for-rent,https://www.compass.com/
condo for rent near me,0,40,1,12,49,12100,58,0.57,0.32,67,"informational, transactional",,https://www.redfin.com/rentals,"https://www.trulia.com/for_rent/Alexandria,VA/CONDO_type/",https://www.remax.com/condos-for-rent,https://www.compass.com/
