Keyword,homelight.com,zillow.com,realtor.com,Search Volume,Keyword Difficulty,CPC,Competition,Results,Keyword Intents,homelight.com (pages),zillow.com (pages),realtor.com (pages)
austin texas,0,7,11,165000,100,0.58,0.01,849000000,"informational, navigational",,https://www.zillow.com/austin-tx/,https://www.realtor.com/realestateandhomes-search/Austin_TX
bridgecrest,0,30,17,165000,85,4.04,0,95,navigational,,https://www.zillow.com/b/bridgecrest-estates-condominiums-bridgeton-mo-9JJp9c/,https://www.realtor.com/realestateandhomes-detail/1924-Bridgecrest-Ln_Keller_TX_76262_M70692-77943
craigslist ri,0,21,71,165000,35,0.51,0,81,navigational,,https://www.zillow.com/ri/apartments/,https://www.realtor.com/realestateandhomes-search/East-Providence_RI/type-multi-family-home
credit score,0,46,23,165000,97,5.31,0.22,1100000000,informational,,https://www.zillow.com/mortgage-learning/mortgage-credit-scores/,https://www.realtor.com/advice/finance/what-is-a-good-credit-score/
daytona beach,0,89,66,165000,87,0.70,0.06,79600000,"informational, navigational",,https://www.zillow.com/daytona-beach-fl/,https://www.realtor.com/realestateandhomes-search/Daytona-Beach_FL
emma cannon,0,38,21,165000,53,0.00,0,10700000,informational,,https://www.zillow.com/homedetails/6052-Emma-Cannon-Rd-Ayden-NC-28513/80911126_zpid/,https://www.realtor.com/realestateandhomes-detail/3740-Emma-Cannon-Rd_Ayden_NC_28513_M59082-82884
gatlinburg,0,86,88,165000,89,0.63,0.08,18200000,"informational, navigational",,https://www.zillow.com/gatlinburg-tn/,https://www.realtor.com/realestateandhomes-search/Gatlinburg_TN
homes for rent,0,3,5,165000,100,0.50,0.38,56,informational,,https://www.zillow.com/homes/for_rent/,https://www.realtor.com/rentals
house for sale,0,2,1,165000,100,0.67,0.43,68,transactional,,https://www.zillow.com/,https://www.realtor.com/
huntington beach,0,90,9,165000,76,0.75,0.02,99900000,informational,,https://www.zillow.com/huntington-beach-ca/,https://www.realtor.com/realestateandhomes-search/Huntington-Beach_CA
land for sale,0,11,12,165000,79,0.29,0.47,74,"navigational, transactional",,https://www.zillow.com/houston-tx/land/,https://www.realtor.com/realestateandhomes-search/Los-Angeles_CA/type-land
lisa emery,0,75,45,165000,47,0.00,0,6080000,"informational, transactional",,https://www.zillow.com/profile/Lisa%20K%20Emery,https://www.realtor.com/realestateagents/56d6cac48a13600100d7bb44
malibu,0,55,29,165000,92,2.34,0.36,217000000,informational,,https://www.zillow.com/malibu-ca/,https://www.realtor.com/realestateandhomes-search/Malibu_CA
movoto,0,30,13,165000,73,0.36,0.15,65,navigational,,https://www.zillow.com/las-vegas-nv-89121/,https://www.realtor.com/realestateagency/623b6ed8930c1e9b5cdf4ae0
orileys,0,32,10,165000,47,0.28,0.18,59,navigational,,https://www.zillow.com/homedetails/1702-Orileys-Run-Winder-GA-30680/97957502_zpid/,https://www.realtor.com/realestateandhomes-detail/1709-Orileys-Run_Winder_GA_30680_M56007-05079
st augustine,0,47,93,165000,96,0.56,0.06,164000000,informational,,https://www.zillow.com/saint-augustine-fl/,https://www.realtor.com/realestateandhomes-search/St.-Augustine_FL
www.aol.com,0,45,66,165000,100,0.20,0,264000000,navigational,,https://www.zillow.com/,https://www.realtor.com/
20843/24,0,3,2,135000,17,0.00,0,497,informational,,https://www.zillow.com/homedetails/20843-Waalew-Rd-SPC-24-Apple-Valley-CA-92307/2139831671_zpid/,https://www.realtor.com/realestateandhomes-detail/20843-Waalew-Rd-Spc-24_Apple-Valley_CA_92307_M11723-62233
90210,0,41,46,135000,80,2.11,0.01,33000000,"informational, transactional",,https://www.zillow.com/beverly-hills-ca-90210/,https://www.realtor.com/realestateandhomes-search/90210
beverly hills,0,19,12,135000,89,0.67,0.01,288000000,informational,,https://www.zillow.com/beverly-hills-ca/,https://www.realtor.com/realestateandhomes-search/Beverly-Hills_CA
boise idaho,0,7,85,135000,84,1.03,0.01,87200000,informational,,https://www.zillow.com/boise-id/,https://www.realtor.com/realestateandhomes-search/Boise_ID
bright mls,0,57,87,135000,64,1.83,0,95,"informational, navigational",,https://www.zillow.com/z/info/mls-disclaimers/,https://www.realtor.com/realestateandhomes-detail/Creek-Rd_Frenchtown_NJ_08825_M98692-14911
charlotte nc,0,9,6,135000,97,0.66,0.01,516000000,informational,,https://www.zillow.com/charlotte-nc/,https://www.realtor.com/realestateandhomes-search/Charlotte_NC
chat ave,0,27,14,135000,92,0.00,0,268000000,navigational,,https://www.zillow.com/homedetails/15460-Chat-Ave-Cole-Camp-MO-65325/194689911_zpid/,https://www.realtor.com/realestateandhomes-detail/15221-Chat-Ave-15228_Cole-Camp_MO_65325_M75671-01408
clearwater beach,0,79,83,135000,63,0.73,0.07,62000000,"informational, transactional",,https://www.zillow.com/clearwater-fl/,https://www.realtor.com/realestateandhomes-search/Clearwater-Beach_FL
david mclaughlin,0,79,34,135000,29,0.00,0,24600000,informational,,https://www.zillow.com/lender-profile/davidmclaughlin59/,https://www.realtor.com/realestateagents/56b2e42489a68901006c9fa9
denver colorado,0,11,15,135000,100,0.70,0.01,797000000,informational,,https://www.zillow.com/denver-co/,https://www.realtor.com/realestateandhomes-search/Denver_CO
dr horton,0,35,46,135000,86,0.83,0.03,87,navigational,,https://www.zillow.com/community/timberleaf/28972713_plid/,https://www.realtor.com/realestateandhomes-detail/5573-Zeeland-Ln_Indian-Land_SC_29707_M95391-94640
fort myers,0,24,32,135000,86,0.76,0.02,137000000,informational,,https://www.zillow.com/fort-myers-fl/,https://www.realtor.com/realestateandhomes-search/Fort-Myers_FL
fort worth,0,73,94,135000,100,0.41,0.01,710000000,informational,,https://www.zillow.com/fort-worth-tx/,https://www.realtor.com/realestateandhomes-search/Fort-Worth_TX
gatlinburg tn,0,47,44,135000,88,0.65,0.09,9760000,"informational, navigational",,https://www.zillow.com/gatlinburg-tn/,https://www.realtor.com/realestateandhomes-search/Gatlinburg_TN
house for rent,0,1,4,135000,99,0.50,0.38,62,informational,,https://www.zillow.com/homes/for_rent/,https://www.realtor.com/rentals
housing market crash,0,95,67,135000,60,1.19,0.02,639000000,informational,,https://www.zillow.com/research/zhpe-q2-2022-not-a-bubble-31093/,https://www.realtor.com/news/trends/recession-will-housing-market-survive/
houston texas,0,6,10,135000,100,0.52,0.02,1080000000,informational,,https://www.zillow.com/houston-tx/,https://www.realtor.com/realestateandhomes-search/Houston_TX
madison ivy,0,74,51,135000,56,0.00,0,66100000,informational,,https://www.zillow.com/homedetails/1426-Madison-Ivy-Cir-Apopka-FL-32712/71064443_zpid/,https://www.realtor.com/realestateandhomes-detail/1449-Madison-Ivy-Cir_Apopka_FL_32712_M67924-38066
mayfield ky,0,78,92,135000,50,0.48,0.01,5120000,informational,,https://www.zillow.com/mayfield-ky/,https://www.realtor.com/realestateandhomes-search/Mayfield_KY
miami beach,0,37,34,135000,95,0.66,0.04,670000000,informational,,https://www.zillow.com/miami-beach-fl/,https://www.realtor.com/realestateandhomes-search/Miami-Beach_FL
mortgage,0,19,26,135000,100,8.42,0.31,1110000000,informational,,https://www.zillow.com/mortgage-calculator/,https://www.realtor.com/mortgage/
naples florida,0,7,15,135000,84,0.59,0.02,115000000,informational,,https://www.zillow.com/naples-fl/,https://www.realtor.com/realestateandhomes-search/Naples_FL
oklahoma city,0,88,83,135000,100,1.02,0,827000000,informational,,https://www.zillow.com/oklahoma-city-ok/,https://www.realtor.com/realestateandhomes-search/Oklahoma-City_OK
orlando florida,0,12,21,135000,100,0.67,0.01,652000000,informational,,https://www.zillow.com/orlando-fl/,https://www.realtor.com/realestateandhomes-search/Orlando_FL
progress residential,0,12,23,135000,73,7.91,0.02,95,navigational,,https://www.zillow.com/profile/leadmia,https://www.realtor.com/realestateagency/progress-residential-prop.-mgr_alpharetta_ga_2951537
rentals near me,0,1,2,135000,100,0.57,0.37,73,transactional,,https://www.zillow.com/homes/for_rent/,https://www.realtor.com/rentals
sarasota florida,0,9,14,135000,95,0.61,0.03,94100000,informational,,https://www.zillow.com/sarasota-fl/,https://www.realtor.com/realestateandhomes-search/Sarasota_FL
savannah georgia,0,12,32,135000,88,0.48,0.06,112000000,"informational, navigational",,https://www.zillow.com/savannah-ga/,https://www.realtor.com/realestateandhomes-search/Savannah_GA
siesta key,0,69,74,135000,82,0.64,0.08,12300000,informational,,https://www.zillow.com/siesta-key-fl/,https://www.realtor.com/realestateandhomes-search/Siesta-Key_FL
staten island,0,18,16,135000,88,0.97,0.01,135000000,"informational, transactional",,https://www.zillow.com/staten-island-new-york-ny/,https://www.realtor.com/realestateandhomes-search/Staten-Island_NY
stoneberry,0,52,43,135000,70,0.59,0.18,83,navigational,,https://www.zillow.com/homedetails/3242-Stoneberry-Ln-Corona-CA-92882/69290838_zpid/,https://www.realtor.com/realestateandhomes-detail/8685-Stoneberry-Dr_West-Des-Moines_IA_50266_M88483-43613
tallahassee,0,97,64,135000,95,0.95,0,142000000,informational,,https://www.zillow.com/tallahassee-fl/,https://www.realtor.com/realestateandhomes-search/Tallahassee_FL
tybee island,0,69,36,135000,71,0.44,0.13,6280000,informational,,https://www.zillow.com/tybee-island-ga/,https://www.realtor.com/realestateandhomes-search/Tybee-Island_GA
uvalde tx,0,24,42,135000,84,1.23,0,11500000,informational,,https://www.zillow.com/uvalde-tx/,https://www.realtor.com/realestateandhomes-search/Uvalde_TX
west palm beach,0,13,24,135000,92,0.72,0.01,387000000,informational,,https://www.zillow.com/west-palm-beach-fl/,https://www.realtor.com/realestateandhomes-search/West-Palm-Beach_FL
30 year mortgage rates,0,10,42,110000,100,2.00,0.28,408000000,informational,,https://www.zillow.com/mortgage-rates/30-year-fixed/,https://www.realtor.com/mortgage/rates/30-year-fixed
apartment for rent,0,6,5,110000,100,0.60,0.4,67,navigational,,"https://www.zillow.com/homes/for_rent/condo,apartment_duplex_type/",https://www.realtor.com/rentals
asheville weather,0,41,40,110000,76,0.15,0,92400000,informational,,https://www.zillow.com/asheville-nc/,https://www.realtor.com/realestateandhomes-search/Asheville_NC
atlanta georgia,0,16,9,110000,88,0.79,0,883000000,informational,,https://www.zillow.com/atlanta-ga/,https://www.realtor.com/realestateandhomes-search/Atlanta_GA
boise,0,89,73,110000,96,1.03,0.01,232000000,informational,,https://www.zillow.com/boise-id/,https://www.realtor.com/realestateandhomes-search/Boise_ID
brookshires,0,85,58,110000,82,0.43,0.04,8390000,navigational,,https://www.zillow.com/homedetails/6250-Brookshire-Dr-Rocklin-CA-95677/61244701_zpid/,https://www.realtor.com/realestateandhomes-detail/6941-Brookshire-Dr_Dallas_TX_75230_M87698-22132
columbus ohio,0,76,79,110000,100,0.44,0.01,487000000,"informational, navigational",,https://www.zillow.com/columbus-oh/,https://www.realtor.com/realestateandhomes-search/Columbus_OH
craigslist jacksonville fl,0,56,70,110000,42,1.34,0,74,navigational,,https://www.zillow.com/homes/for_sale/,https://www.realtor.com/realestateandhomes-search/Florida
dallas texas,0,14,8,110000,100,0.65,0,1020000000,informational,,https://www.zillow.com/dallas-tx/,https://www.realtor.com/realestateandhomes-search/Dallas_TX
des moines,0,84,90,110000,97,0.86,0,180000000,informational,,https://www.zillow.com/des-moines-ia/,https://www.realtor.com/realestateandhomes-search/Des-Moines_IA
edina realty,0,15,10,110000,76,0.15,0.12,72,navigational,,https://www.zillow.com/edina-mn/,https://www.realtor.com/realestateagency/5673a0720fa417010071ae4b
greenbay,0,83,39,110000,100,0.47,0.01,172000000,informational,,https://www.zillow.com/green-bay-wi/,https://www.realtor.com/realestateandhomes-search/Green-Bay_WI
greenville sc,0,27,23,110000,82,0.68,0.05,209000000,informational,,https://www.zillow.com/greenville-sc/,https://www.realtor.com/realestateandhomes-search/Greenville_SC
house for rent near me,0,1,5,110000,79,0.43,0.35,71,"informational, transactional",,https://www.zillow.com/homes/for_rent/,https://www.realtor.com/rentals
houses,0,1,2,110000,100,0.77,0.55,13580000000,navigational,,https://www.zillow.com/,https://www.realtor.com/
jack mckinney,0,57,18,110000,58,0.00,0,8630000,"informational, transactional",,https://www.zillow.com/homedetails/194-Jack-McKinney-Rd-Hampton-TN-37658/2068078542_zpid/,https://www.realtor.com/realestateandhomes-detail/1591-Jack-McKinney-Rd_Rutherfordton_NC_28139_M51324-10178
jersey city,0,54,95,110000,80,0.74,0.02,1750000000,informational,,https://www.zillow.com/jersey-city-nj/,https://www.realtor.com/realestateandhomes-search/Jersey-City_NJ
knoxville weather,0,34,31,110000,73,0.35,0,79,informational,,https://www.zillow.com/knoxville-tn/,https://www.realtor.com/realestateandhomes-search/Knoxville_TN
loan payment calculator,0,25,48,110000,91,0.92,0.2,926000000,informational,,https://www.zillow.com/mortgage-calculator/,https://www.realtor.com/mortgage/tools/mortgage-calculator/
mortgage interest rates,0,18,52,110000,100,2.33,0.35,322000000,informational,,https://www.zillow.com/mortgage-rates/,https://www.realtor.com/mortgage/rates/
neighborhood walmart,0,74,76,110000,64,0.70,0.11,99,"navigational, transactional",,https://www.zillow.com/how-much-is-my-home-worth/,https://www.realtor.com/research/
newport beach,0,9,13,110000,82,0.76,0.02,185000000,informational,,https://www.zillow.com/newport-beach-ca/,https://www.realtor.com/realestateandhomes-search/Newport-Beach_CA
ocean city maryland,0,75,65,110000,87,0.88,0.27,279000000,informational,,https://www.zillow.com/ocean-city-md/,https://www.realtor.com/realestateandhomes-search/Ocean-City_MD
omaha nebraska,0,56,62,110000,89,1.06,0,95200000,informational,,https://www.zillow.com/omaha-ne/,https://www.realtor.com/realestateandhomes-search/Omaha_NE
payment calculator,0,13,69,110000,97,0.49,0.19,3400000000,informational,,https://www.zillow.com/mortgage-calculator/,https://www.realtor.com/mortgage/tools/mortgage-calculator/
raleigh nc,0,94,7,110000,95,0.60,0.01,329000000,informational,,https://www.zillow.com/raleigh-nc/,https://www.realtor.com/realestateandhomes-search/Raleigh_NC
real,0,84,8,110000,100,0.45,0,21170000000,informational,,https://www.zillow.com/,https://www.realtor.com/
real estate housing market,0,9,6,110000,88,1.68,0.04,327000000,"informational, transactional",,https://www.zillow.com/,https://www.realtor.com/local
reno,0,58,48,110000,97,0.75,0.02,621000000,informational,,https://www.zillow.com/reno-nv/,https://www.realtor.com/realestateandhomes-search/Reno_NV
savannah ga,0,80,27,110000,89,0.48,0.06,127000000,informational,,https://www.zillow.com/savannah-ga/,https://www.realtor.com/realestateandhomes-search/Savannah_GA
sedona arizona,0,77,81,110000,91,0.47,0.05,14300000,"informational, navigational",,https://www.zillow.com/sedona-az/,https://www.realtor.com/realestateandhomes-search/Sedona_AZ
tampa florida,0,10,7,110000,99,0.71,0.01,467000000,informational,,https://www.zillow.com/tampa-fl/,https://www.realtor.com/realestateandhomes-search/Tampa_FL
townhomes for rent,0,4,10,110000,66,0.64,0.3,47,commercial,,https://www.zillow.com/houston-tx/rent-townhomes/,https://www.realtor.com/apartments/Houston_TX/type-townhome
wilmington nc,0,12,19,110000,88,0.73,0.02,161000000,informational,,https://www.zillow.com/wilmington-nc/,https://www.realtor.com/realestateandhomes-search/Wilmington_NC
anchorage alaska,0,9,14,90500,90,0.91,0.01,83200000,informational,,https://www.zillow.com/anchorage-ak/,https://www.realtor.com/realestateandhomes-search/Anchorage_AK
apartment finder,0,19,26,90500,100,0.94,0.41,77,navigational,,"https://www.zillow.com/homes/for_rent/condo,apartment_duplex_type/",https://www.realtor.com/rentals
bend oregon,0,7,54,90500,83,0.68,0.03,131000000,informational,,https://www.zillow.com/bend-or/,https://www.realtor.com/realestateandhomes-search/Bend_OR
birmingham alabama,0,41,57,90500,89,0.57,0.01,159000000,informational,,https://www.zillow.com/birmingham-al/,https://www.realtor.com/realestateandhomes-search/Birmingham_AL
branson mo,0,50,35,90500,87,0.72,0.14,21300000,informational,,https://www.zillow.com/branson-mo/,https://www.realtor.com/realestateandhomes-search/Branson_MO
buffalo ny,0,52,46,90500,100,1.00,0.01,591000000,informational,,https://www.zillow.com/buffalo-ny/,https://www.realtor.com/realestateandhomes-search/Buffalo_NY
charlottesville va,0,10,24,90500,79,0.74,0.03,75100000,informational,,https://www.zillow.com/charlottesville-va/,https://www.realtor.com/realestateandhomes-search/Charlottesville_VA
cheap apartments near me,0,6,24,90500,81,0.54,0.37,58,"navigational, transactional",,https://www.zillow.com/houston-tx/cheap-apartments/,https://www.realtor.com/rentals
christine grady,0,66,54,90500,57,0.00,0,5480000,informational,,https://www.zillow.com/profile/CHRISTINE%20GRADY,https://www.realtor.com/realestateagents/56d596a2de071e010062b1c9
clearwater florida,0,6,17,90500,81,0.59,0.05,70200000,informational,,https://www.zillow.com/clearwater-fl/,https://www.realtor.com/realestateandhomes-search/Clearwater_FL
condo,0,16,7,90500,97,0.62,0.04,733000000,"commercial, informational",,https://www.zillow.com/los-angeles-ca/condos/,https://www.realtor.com/advice/buy/what-is-a-condo/
condos for sale near me,0,7,6,90500,75,0.47,0.44,62,"informational, transactional",,https://www.zillow.com/chicago-il/condos/,https://www.realtor.com/realestateforsale
ga gateway,0,100,35,90500,77,1.05,0,114000000,"informational, transactional",,https://www.zillow.com/homedetails/5713-Gateway-Blvd-Stone-Mountain-GA-30087/37771563_zpid/,https://www.realtor.com/realestateandhomes-detail/195-Gateway-Dr_Rocky-Face_GA_30740_M59697-13145
gulf shores alabama,0,83,60,90500,85,0.77,0.11,16300000,"informational, navigational",,https://www.zillow.com/gulf-shores-al/,https://www.realtor.com/realestateandhomes-search/Gulf-Shores_AL
helen ga,0,83,76,90500,70,0.36,0.09,57100000,"informational, transactional",,https://www.zillow.com/helen-ga/,https://www.realtor.com/realestateandhomes-search/Helen_GA
home loan calculator,0,7,36,90500,100,2.32,0.26,689000000,informational,,https://www.zillow.com/mortgage-calculator/,https://www.realtor.com/mortgage/tools/mortgage-calculator/
homes,0,3,2,90500,100,0.79,0,25270000000,navigational,,https://www.zillow.com/,https://www.realtor.com/
houston tx,0,29,34,90500,100,0.80,0,721000000,informational,,https://www.zillow.com/houston-tx/,https://www.realtor.com/realestateandhomes-search/Houston_TX
how much,0,28,70,90500,64,0.87,0,23600000000,informational,,https://www.zillow.com/how-much-is-my-home-worth/,https://www.realtor.com/mortgage/tools/affordability-calculator/
irvine,0,67,84,90500,98,1.31,0,295000000,informational,,https://www.zillow.com/irvine-ca/,https://www.realtor.com/realestateandhomes-search/Irvine_CA
jason oppenheim,0,37,15,90500,70,3.02,0,4740000,"informational, transactional",,https://www.zillow.com/profile/Jason-Oppenheim/,https://www.realtor.com/realestateagents/56ccfb32bb954c01006da752
julia ann,0,84,69,90500,62,0.00,0,182000000,informational,,https://www.zillow.com/homedetails/267-Julia-Ann-Dr-Natchitoches-LA-71457/106105180_zpid/,https://www.realtor.com/realestateandhomes-detail/56-Julia-Ann-Dr-NW_Cedar-Rapids_IA_52405_M79685-25680
knoxville tn,0,7,25,90500,91,0.78,0.01,114000000,"informational, navigational",,https://www.zillow.com/knoxville-tn/,https://www.realtor.com/realestateandhomes-search/Knoxville_TN
miami dade property search,0,43,14,90500,79,0.79,0,8450000,"informational, transactional",,https://www.zillow.com/miami-dade-county-fl/,https://www.realtor.com/propertyrecord-search/Miami-Dade-County_FL
