Keyword,homelight.com,rocketmortgage.com,rockethomes.com,forsalebyowner.com,Search Volume,Keyword Difficulty,CPC,Competition,Results,Keyword Intents,homelight.com (pages),rocketmortgage.com (pages),rockethomes.com (pages),forsalebyowner.com (pages)
housing market,0,50,0,0,246000,75,1.23,0.04,1240000000,"informational, transactional",,https://www.rocketmortgage.com/learn/state-of-the-housing-market,,
superbowl score,0,45,0,0,246000,87,0.00,0,0,informational,,https://pressroom.rocketmortgage.com/2022/02/14/fourteen-americans-score-1-6-million-in-prizes-during-super-bowl-lvi-thanks-to-rocket-mortgage-super-bowl-squares/,,
va,0,80,0,0,246000,100,1.95,0.11,97,navigational,,https://www.rocketmortgage.com/learn/va-loans,,
churchs chicken,0,0,78,0,201000,77,0.60,0.02,81,navigational,,,https://www.rockethomes.com/homes/6905-dunmanway-dundalk-md-21222,
current mortgage rates,0,3,0,0,201000,100,2.20,0.4,603000000,informational,,https://www.rocketmortgage.com/mortgage-rates,,
house for sale near me,0,0,14,10,201000,97,0.74,0.41,49,"informational, transactional",,,https://www.rockethomes.com/houses-for-sale,https://www.forsalebyowner.com/
interest rates,0,2,0,0,201000,100,0.00,0,1500000000,informational,,https://www.rocketmortgage.com/mortgage-rates,,
jason's deli,0,0,79,0,201000,53,1.16,0.02,74,navigational,,,https://www.rockethomes.com/homes/7203-eldridge-meadow-ct-houston-tx-77041,
mortgage payment calculator,0,5,0,0,201000,100,1.59,0.2,447000000,informational,,https://www.rocketmortgage.com/calculators/mortgage-calculator,,
pergola,0,0,82,0,201000,86,1.30,1,148000000,"informational, transactional",,,https://www.rockethomes.com/blog/homeowner-tips/pergolas,
the offer,0,91,0,0,201000,68,1.78,0.01,16430000000,"informational, transactional",,https://www.rocketmortgage.com/learn/how-to-make-an-offer-on-a-house,,
credit score,0,15,0,0,165000,97,5.31,0.22,1100000000,informational,,https://www.rocketmortgage.com/learn/what-credit-score-is-needed-to-buy-a-house,,
fha loan,0,2,0,0,165000,100,4.83,0.5,28100000,commercial,,https://www.rocketmortgage.com/learn/fha-loans,,
house for sale,0,0,8,0,165000,100,0.67,0.43,68,transactional,,,https://www.rockethomes.com/houses-for-sale,
loans for bad credit,0,98,0,0,165000,85,4.24,0.11,454000000,commercial,,https://www.rocketmortgage.com/learn/how-to-buy-house-with-bad-credit,,
primerica,0,88,0,0,165000,92,2.05,0.01,2000000,navigational,,https://www.rocketmortgage.com/login,,
appliance insurance choice home warranty,0,16,0,0,135000,70,13.40,0.05,6160000,transactional,,https://www.rocketmortgage.com/learn/home-warranty-cost,,
bright mls,0,0,77,0,135000,64,1.83,0,95,"informational, navigational",,,https://www.rockethomes.com/homes/0-cleveland-rd-princeton-nj-08540,
home appliance warranty choice home warranty,0,18,0,0,135000,78,13.85,0.03,25700000,"informational, transactional",,https://www.rocketmortgage.com/learn/home-warranty-cost,,
home warranty solutions choice home warranty,0,72,0,0,135000,70,12.25,0.01,33600000,"informational, transactional",,https://www.rocketmortgage.com/learn/home-warranty-cost,,
loan,0,33,0,0,135000,100,4.81,0.57,2530000000,commercial,,https://www.rocketmortgage.com/,,
mortgage,0,3,0,0,135000,100,8.42,0.31,1110000000,informational,,https://www.rocketmortgage.com/,,
rocket mortgage login,0,1,20,0,135000,91,0.35,0.18,12500000,transactional,,https://www.rocketmortgage.com/login,https://www.rockethomes.com/,
top home warranty company choice home warranty,0,16,0,0,135000,75,12.38,0.63,86,commercial,,https://www.rocketmortgage.com/learn/best-home-warranty-companies,,
30 year mortgage rates,0,7,0,0,110000,100,2.00,0.28,408000000,informational,,https://www.rocketmortgage.com/mortgage-rates,,
appliance warranty company choice home warranty,0,19,0,0,110000,78,10.26,0.45,13300000,"informational, transactional",,https://www.rocketmortgage.com/learn/home-warranty-cost,,
choice home warranty 24/7,0,9,0,0,110000,70,10.98,0.09,13500000,navigational,,https://www.rocketmortgage.com/learn/choice-home-warranty-reviews,,
gross income,0,76,0,0,110000,83,0.42,0,435000000,informational,,https://www.rocketmortgage.com/learn/adjusted-gross-income,,
home equity loan,0,5,0,0,110000,84,17.94,0.65,635000000,commercial,,https://www.rocketmortgage.com/learn/home-equity-loan,,
houses,0,56,45,28,110000,100,0.77,0.55,13580000000,navigational,,https://www.rocketmortgage.com/learn/types-of-houses,https://www.rockethomes.com/houses-for-sale,https://www.forsalebyowner.com/
hud,0,22,0,0,110000,100,0.55,0.19,85,navigational,,https://www.rocketmortgage.com/learn/what-is-hud-home,,
loan payment calculator,0,41,0,0,110000,91,0.92,0.2,926000000,informational,,https://www.rocketmortgage.com/calculators/mortgage-calculator,,
logans roadhouse,0,0,45,0,110000,73,0.63,0.04,47,navigational,,,https://www.rockethomes.com/homes/4946-vernon-st-birmingham-al-35235,
manufactured homes,0,84,0,0,110000,80,0.48,0.28,168000000,commercial,,https://www.rocketmortgage.com/learn/what-is-a-manufactured-home,,
mortgage interest rates,0,4,0,0,110000,100,2.33,0.35,322000000,informational,,https://www.rocketmortgage.com/mortgage-rates,,
nmls,0,3,0,0,110000,75,2.21,0.05,37700000,"informational, navigational",,https://www.rocketmortgage.com/learn/what-is-nmls,,
pmi,0,10,0,0,110000,100,1.10,0.14,152000000,navigational,,https://www.rocketmortgage.com/learn/what-is-pmi,,
quicken loans,0,2,0,0,110000,91,11.56,0.44,10700000,navigational,,https://www.rocketmortgage.com/,,
real estate housing market,0,46,0,0,110000,88,1.68,0.04,327000000,"informational, transactional",,https://www.rocketmortgage.com/learn/state-of-the-housing-market,,
tiny homes for sale,0,55,0,0,110000,78,0.59,1,440000000,transactional,,https://www.rocketmortgage.com/learn/how-much-does-a-tiny-house-cost,,
what happens when you die,0,50,0,0,110000,73,1.44,0.06,8800000000,informational,,https://www.rocketmortgage.com/learn/who-is-responsible-for-a-mortgage-after-the-borrower-dies,,
amortization schedule,0,13,0,0,90500,87,0.79,0.2,10700000,informational,,https://www.rocketmortgage.com/learn/mortgage-amortization,,
bungalow,0,77,0,0,90500,80,5.05,0.05,270000000,commercial,,https://www.rocketmortgage.com/learn/bungalow,,
capital gains tax,0,6,0,0,90500,100,0.80,0.07,229000000,informational,,https://www.rocketmortgage.com/learn/capital-gains-home-sale,,
caveat,0,58,0,0,90500,71,0.00,0,156000000,"informational, transactional",,https://www.rocketmortgage.com/learn/caveat-emptor,,
cheap home warranty choice home warranty,0,14,0,0,90500,55,12.85,0.03,88,commercial,,https://www.rocketmortgage.com/learn/home-warranty-cost,,
choice home warranty,0,14,0,0,90500,79,10.26,0.45,178000000,navigational,,https://www.rocketmortgage.com/learn/choice-home-warranty-reviews,,
condo,0,3,0,0,90500,97,0.62,0.04,733000000,"commercial, informational",,https://www.rocketmortgage.com/learn/what-is-a-condo,,
first american home warranty,0,34,0,0,90500,80,7.85,0.45,166000000,navigational,,https://www.rocketmortgage.com/learn/first-american-home-warranty-reviews,,
freedom mortgage login,0,66,0,0,90500,61,1.79,0.01,65300000,transactional,,https://www.rocketmortgage.com/legal/mortgage-partners,,
heloc,0,5,0,0,90500,93,13.36,0.64,23600000,commercial,,https://www.rocketmortgage.com/learn/home-equity-line-of-credit,,
home loan calculator,0,3,0,0,90500,100,2.32,0.26,689000000,informational,,https://www.rocketmortgage.com/calculators/mortgage-calculator,,
loans near me,0,98,0,0,90500,90,4.86,0.4,497000000,transactional,,https://www.rocketmortgage.com/,,
property management,0,51,0,0,90500,87,4.63,0.13,2530000000,commercial,,https://www.rocketmortgage.com/learn/what-does-a-property-manager-do,,
rocket,0,1,67,0,90500,100,1.18,0.03,1090000000,"informational, navigational",,https://www.rocketmortgage.com/,https://www.rockethomes.com/,
townhouse,0,89,0,0,90500,80,0.78,0.06,229000000,commercial,,https://www.rocketmortgage.com/learn/townhouse,,
vision board,0,19,0,0,90500,74,0.60,1,1330000000,informational,,https://www.rocketmortgage.com/learn/how-to-make-a-vision-board,,
what is a good credit score,0,13,0,0,90500,94,1.59,0.05,0,informational,,https://www.rocketmortgage.com/learn/what-credit-score-is-needed-to-buy-a-house,,
1031 exchange,0,3,0,0,74000,78,2.59,0.31,19500000,informational,,https://www.rocketmortgage.com/learn/1031-exchange,,
bad credit loans,0,89,0,0,74000,97,4.24,0.11,374000000,commercial,,https://www.rocketmortgage.com/learn/how-to-buy-house-with-bad-credit,,
choice home warranty plans,0,21,0,0,74000,68,8.06,0.53,97,commercial,,https://www.rocketmortgage.com/learn/choice-home-warranty-reviews,,
contingency,0,9,0,0,74000,79,0.00,0,196000000,commercial,,https://www.rocketmortgage.com/learn/contingent,,
contingent meaning,0,4,0,0,74000,62,0.00,0,318000000,informational,,https://www.rocketmortgage.com/learn/contingent,,
cost of living calculator,0,35,0,0,74000,93,1.17,0.01,383000000,commercial,,https://www.rocketmortgage.com/learn/cost-of-living-calculator,,
cost of living comparison,0,34,61,0,74000,97,1.17,0.01,662000000,commercial,,https://www.rocketmortgage.com/learn/cost-of-living-calculator,https://www.rockethomes.com/blog/home-buying/cost-of-living,
diy projects,0,0,33,0,74000,94,0.58,0.04,2390000000,informational,,,https://www.rockethomes.com/blog/homeowner-tips/diy-home-projects,
escrow,0,3,0,0,74000,90,4.64,0.02,94700000,informational,,https://www.rocketmortgage.com/learn/what-is-escrow,,
hoa,0,8,0,0,74000,81,1.36,0.02,786000000,informational,,https://www.rocketmortgage.com/learn/hoa,,
home equity line of credit,0,4,0,0,74000,90,15.75,0.67,369000000,commercial,,https://www.rocketmortgage.com/learn/home-equity-line-of-credit,,
nextdoor app,0,0,53,0,74000,90,0.17,0.16,159000000,navigational,,,https://www.rockethomes.com/blog/homeowner-tips/what-is-nextdoor,
nmls login,0,55,0,0,74000,79,1.87,0.01,35800000,navigational,,https://www.rocketmortgage.com/legal/mortgage-partners,,
prenup,0,29,0,0,74000,78,2.67,0.04,20600000,informational,,https://www.rocketmortgage.com/learn/prenup-mortgage,,
quicken,0,45,0,0,74000,87,6.38,0.28,24700000,"informational, navigational",,https://www.rocketmortgage.com/,,
septic tank,0,15,0,0,74000,62,3.43,1,34300000,commercial,,https://www.rocketmortgage.com/learn/buying-a-house-with-a-septic-tank,,
tatte,0,0,97,0,74000,59,1.47,0,4030000,navigational,,,https://www.rockethomes.com/homes/152-old-colony-ave-unit-24-boston-ma-02127,
tiny house,0,64,0,0,74000,85,0.37,1,1420000000,commercial,,https://www.rocketmortgage.com/learn/how-much-does-a-tiny-house-cost,,
underwater,0,94,0,0,74000,84,7.70,0.01,660000000,"informational, transactional",,https://www.rocketmortgage.com/learn/do-you-have-an-underwater-mortgage,,
alimony,0,23,0,0,60500,79,3.11,0.01,20400000,informational,,https://www.rocketmortgage.com/learn/alimony-mortgage-qualification,,
amortization,0,24,0,0,60500,94,0.74,0.03,81800000,informational,,https://www.rocketmortgage.com/learn/mortgage-amortization,,
caveat meaning,0,18,0,0,60500,53,0.00,0,144000000,commercial,,https://www.rocketmortgage.com/learn/caveat-emptor,,
compound interest,0,55,0,0,60500,100,0.40,0.16,450000000,"informational, transactional",,https://www.rocketmortgage.com/learn/compound-interest,,
coop,0,88,0,0,60500,74,3.55,0.04,1220000000,commercial,,https://www.rocketmortgage.com/learn/what-is-co-op,,
credit repair,0,68,0,0,60500,100,9.35,0.52,510000000,navigational,,https://www.rocketmortgage.com/learn/how-to-repair-credit,,
debt consolidation,0,80,0,0,60500,87,39.40,0.64,124000000,"informational, transactional",,https://www.rocketmortgage.com/learn/home-equity-loan-for-debt-consolidation,,
debt consolidation loan,0,73,0,0,60500,88,30.86,0.67,96900000,"informational, transactional",,https://www.rocketmortgage.com/learn/home-equity-loan-for-debt-consolidation,,
deductible,0,70,0,0,60500,85,2.59,0,241000000,informational,,https://www.rocketmortgage.com/learn/homeowners-insurance-deductible,,
down,0,81,0,0,60500,85,0.54,0,17300000000,"informational, transactional",,https://www.rocketmortgage.com/learn/what-is-a-down-payment,,
duplex,0,65,0,0,60500,79,0.55,0.02,237000000,transactional,,https://www.rocketmortgage.com/learn/cost-to-build-a-duplex,,
eminent domain,0,20,0,0,60500,75,2.95,0.01,19700000,informational,,https://www.rocketmortgage.com/learn/eminent-domain,,
fannie mae,0,9,0,0,60500,98,2.09,0.07,8710000,navigational,,https://www.rocketmortgage.com/learn/fannie-mae,,
fed rate hike,0,17,0,0,60500,63,0.93,0.03,68,informational,,https://www.rocketmortgage.com/learn/fed-rate-hike,,
in lieu of meaning,0,59,0,0,60500,46,0.00,0,165000000,commercial,,https://www.rocketmortgage.com/learn/deed-in-lieu,,
low income housing,0,95,0,0,60500,100,0.68,0.3,469000000,commercial,,https://www.rocketmortgage.com/learn/low-income-housing-tax-credit,,
mls listings,0,71,0,0,60500,98,0.92,0.36,1740000000,"informational, transactional",,https://www.rocketmortgage.com/learn/multiple-listing-service,,
mobile home,0,84,0,0,60500,90,0.53,0.61,13420000000,commercial,,https://www.rocketmortgage.com/learn/what-is-a-manufactured-home,,
modern house,0,89,0,0,60500,74,1.50,1,0,"informational, navigational",,https://www.rocketmortgage.com/learn/types-of-houses,,
mortgage loan calculator,0,6,0,0,60500,100,1.81,0.22,648000000,informational,,https://www.rocketmortgage.com/calculators/mortgage-calculator,,
new american funding,0,55,0,0,60500,77,30.87,0.17,1240000000,navigational,,https://www.rocketmortgage.com/,,
online loans,0,89,0,0,60500,85,5.08,0.67,905000000,commercial,,https://www.rocketmortgage.com/,,
pocket,0,45,0,0,60500,98,1.85,0.01,2530000000,"informational, navigational",,https://www.rocketmortgage.com/learn/pocket-listing,,
refinance calculator,0,3,0,0,60500,84,8.65,0.57,145000000,informational,,https://www.rocketmortgage.com/calculators/refinance-calculator,,
refinance rates,0,3,0,0,60500,96,11.44,0.59,803000000,commercial,,https://www.rocketmortgage.com/mortgage-rates,,
reverse mortgage,0,19,0,0,60500,95,15.16,0.58,46300000,"informational, transactional",,https://www.rocketmortgage.com/learn/reverse-mortgage,,
roi,0,71,0,0,60500,97,1.38,0,788000000,informational,,https://www.rocketmortgage.com/learn/roi-real-estate,,
square footage calculator,0,0,52,0,60500,82,1.14,0,131000000,informational,,,https://www.rockethomes.com/blog/homeowner-tips/square-footage-calculator,
st george news,0,0,69,0,60500,62,1.05,0,728000000,navigational,,,https://www.rockethomes.com/real-estate-trends/ut/saint-george,
what is apr,0,15,0,0,60500,78,0.79,0.13,1980000000,informational,,https://www.rocketmortgage.com/learn/apr,,
assets,0,58,0,0,49500,83,2.92,0.02,6230000000,informational,,https://www.rocketmortgage.com/learn/types-of-assets,,
cape coral fl,0,0,98,0,49500,73,0.64,0.03,32000000,informational,,,https://www.rockethomes.com/fl/cape-coral,
chase mortgage,0,68,0,0,49500,96,5.31,0.12,67,"navigational, transactional",,https://www.rocketmortgage.com/login,,
concession,0,81,0,0,49500,64,0.48,0,392000000,commercial,,https://www.rocketmortgage.com/learn/seller-concessions,,
condominium,0,6,0,0,49500,90,0.62,0.04,480000000,informational,,https://www.rocketmortgage.com/learn/what-is-a-condo,,
conventional,0,17,0,0,49500,72,0.66,0,1020000000,informational,,https://www.rocketmortgage.com/learn/conventional-mortgage,,
credit score range,0,52,0,0,49500,88,2.03,0.09,0,informational,,https://www.rocketmortgage.com/learn/what-credit-score-is-needed-to-buy-a-house,,
credit score ranges,0,43,0,0,49500,91,2.03,0.09,0,informational,,https://www.rocketmortgage.com/learn/what-credit-score-is-needed-to-buy-a-house,,
crmls,0,0,83,0,49500,76,1.17,0,6000000,navigational,,,https://www.rockethomes.com/homes/19411-old-friend-rd-canyon-country-ca-91351,
current interest rates,0,1,0,0,49500,100,1.71,0.37,1480000000,informational,,https://www.rocketmortgage.com/mortgage-rates,,
escrow meaning,0,1,0,0,49500,80,0.17,0,17300000,informational,,https://www.rocketmortgage.com/learn/what-is-escrow,,
federal reserve interest rates,0,18,0,0,49500,100,1.24,0.06,69,informational,,https://www.rocketmortgage.com/learn/federal-reserve-mortgage-interest-rates,,
fha,0,7,0,0,49500,100,4.11,0.38,48000000,"informational, transactional",,https://www.rocketmortgage.com/learn/fha-loans,,
fha loan requirements,0,2,0,0,49500,91,2.66,0.51,16400000,transactional,,https://www.rocketmortgage.com/learn/fha-loans,,
first time home buyer,0,3,0,0,49500,92,4.16,0.5,488000000,commercial,,https://www.rocketmortgage.com/learn/first-time-home-buyer,,
greatschools,0,0,31,0,49500,72,1.17,0.02,39,navigational,,,https://www.rockethomes.com/homes/0-fall-river-rd-lawrenceburg-tn-38464,
heloc rates,0,14,0,0,49500,86,8.10,0.7,25800000,commercial,,https://www.rocketmortgage.com/learn/home-equity-line-of-credit,,
home for sale,0,0,16,14,49500,100,0.66,0.37,91,transactional,,,https://www.rockethomes.com/houses-for-sale,https://www.forsalebyowner.com/
home warranty,0,11,0,0,49500,91,27.04,0.6,687000000,commercial,,https://www.rocketmortgage.com/learn/home-warranty-cost,,
house plants,0,0,93,0,49500,77,0.43,1,2600000000,commercial,,,https://www.rockethomes.com/blog/homeowner-tips/popular-indoor-house-plants,
hygge,0,0,35,0,49500,85,0.66,0.8,24700000,informational,,,https://www.rockethomes.com/blog/homeowner-tips/hygge,
interest rate,0,8,0,0,49500,100,0.00,0,2660000000,informational,,https://www.rocketmortgage.com/mortgage-rates,,
land,0,61,0,0,49500,89,0.56,0.32,6560000000,"informational, transactional",,https://www.rocketmortgage.com/learn/land-loans,,
manufactured homes for sale,0,40,0,0,49500,88,0.51,0.45,65900000,transactional,,https://www.rocketmortgage.com/learn/modular-versus-manufactured-homes,,
mortgage interest rates today,0,3,0,0,49500,100,2.25,0.35,297000000,informational,,https://www.rocketmortgage.com/mortgage-rates,,
njmls,0,0,52,0,49500,66,0.21,0.09,58,navigational,,,https://www.rockethomes.com/homes/11-yolanda-dr-little-falls-nj-07424,
north port fl,0,0,65,0,49500,49,0.56,0.02,236000000,informational,,,https://www.rockethomes.com/fl/north-port,
prefab homes,0,26,88,0,49500,58,0.64,1,45700000,transactional,,https://www.rocketmortgage.com/learn/what-is-a-prefab-home,https://www.rockethomes.com/blog/home-buying/what-is-a-prefab-home,
pud,0,71,0,0,49500,82,0.32,0.03,44300000,navigational,,https://www.rocketmortgage.com/learn/what-is-a-pud,,
rate,0,52,0,0,49500,87,1.07,0.04,11200000000,navigational,,https://www.rocketmortgage.com/mortgage-rates,,
subordinate,0,71,0,0,49500,65,0.00,0,247000000,informational,,https://www.rocketmortgage.com/learn/mortgage-subordination,,
title,0,73,0,0,49500,93,0.38,0.02,10390000000,"informational, transactional",,https://www.rocketmortgage.com/learn/title-search,,
townhomes near me,0,76,0,0,49500,74,0.90,0.23,80,transactional,,https://www.rocketmortgage.com/,,
utah real estate,0,0,80,73,49500,82,0.38,0.22,272000000,navigational,,,https://www.rockethomes.com/utah,https://www.forsalebyowner.com/search/list/utah
addition,0,89,0,0,40500,71,1.29,0.01,5160000000,informational,,https://www.rocketmortgage.com/learn/adding-an-addition-onto-your-house,,
adu,0,40,0,0,40500,79,1.84,0.41,196000000,informational,,https://www.rocketmortgage.com/learn/what-is-an-adu,,
airgas store,0,0,59,0,40500,44,0.42,0.01,77,navigational,,,https://www.rockethomes.com/homes/101-java-ct-cary-nc-27519,
apr meaning,0,19,0,0,40500,83,1.33,0.02,949000000,informational,,https://www.rocketmortgage.com/learn/comparing-mortgage-options-apr-vs-interest-rate,,
best places to live in the us,0,53,10,0,40500,87,0.37,0.11,3960000000,commercial,,https://www.rocketmortgage.com/learn/best-places-to-raise-a-family,https://www.rockethomes.com/blog/home-buying/best-places-to-live-in-the-us,
bird dogs,0,37,0,0,40500,55,0.14,0.27,328000000,"informational, navigational",,https://www.rocketmortgage.com/learn/bird-dog-in-real-estate,,
capital gains tax rate,0,15,0,0,40500,96,0.73,0.06,150000000,commercial,,https://www.rocketmortgage.com/learn/capital-gains-home-sale,,
choice home warranty sales,0,49,0,0,40500,68,5.86,0.07,57800000,"informational, transactional",,https://www.rocketmortgage.com/learn/home-warranty-cost,,
co-op,0,40,0,0,40500,79,2.05,0.02,3640000000,commercial,,https://www.rocketmortgage.com/learn/what-is-co-op,,
composite decking,0,0,42,0,40500,79,1.50,1,15500000,commercial,,,https://www.rockethomes.com/blog/homeowner-tips/composite-decking-vs-wood,
concessions,0,7,0,0,40500,72,0.48,0,408000000,informational,,https://www.rocketmortgage.com/learn/seller-concessions,,
debt to income ratio,0,7,0,0,40500,83,0.75,0.22,0,informational,,https://www.rocketmortgage.com/learn/debt-to-income-ratio,,
do it best,0,90,0,0,40500,64,0.77,0.05,25270000000,"commercial, navigational",,https://www.rocketmortgage.com/learn/pay-off-mortgage-early,,
earnest definition,0,44,0,0,40500,58,0.00,0,19800000,commercial,,https://www.rocketmortgage.com/learn/earnest-money,,
earnest money,0,3,40,0,40500,83,0.64,0.02,0,informational,,https://www.rocketmortgage.com/learn/earnest-money,https://www.rockethomes.com/blog/home-buying/earnest-money,
electric lawn mower,0,0,53,0,40500,76,0.56,1,31900000,commercial,,,https://www.rockethomes.com/blog/homeowner-tips/electric-vs-gas-lawn-mowers,
expensive,0,74,0,0,40500,76,0.38,0.01,2380000000,commercial,,https://www.rocketmortgage.com/learn/most-expensive-cities-in-the-us,,
fixer upper,0,27,0,0,40500,78,0.51,0.03,31600000,"informational, transactional",,https://www.rocketmortgage.com/learn/pros-cons-buying-fixer-upper-house,,
for sale,0,0,51,5,40500,100,0.31,0.08,8420000000,transactional,,,https://www.rockethomes.com/houses-for-sale,https://www.forsalebyowner.com/
foreclosure,0,18,0,0,40500,100,0.83,0.32,112000000,informational,,https://www.rocketmortgage.com/learn/foreclosure-definition,,
good credit score,0,8,0,0,40500,90,1.59,0.05,933000000,informational,,https://www.rocketmortgage.com/learn/what-credit-score-is-needed-to-buy-a-house,,
great schools,0,0,30,0,40500,70,1.17,0.02,36,navigational,,,https://www.rockethomes.com/homes/28-ringgold-st-unit-1-providence-ri-02909,
lien,0,6,0,0,40500,91,1.43,0.01,2040000000,informational,,https://www.rocketmortgage.com/learn/lien,,
long term capital gains tax,0,24,0,0,40500,93,1.92,0.03,131000000,informational,,https://www.rocketmortgage.com/learn/capital-gains-home-sale,,
mold removal,0,0,22,0,40500,90,12.85,0.55,68400000,commercial,,,https://www.rockethomes.com/blog/homeowner-tips/mold-removal,
monthly payment calculator,0,26,0,0,40500,100,0.82,0.31,2160000000,"informational, transactional",,https://www.rocketmortgage.com/calculators/mortgage-calculator,,
mortgage amortization calculator,0,19,0,0,40500,84,0.97,0.15,1310000000,"informational, transactional",,https://www.rocketmortgage.com/learn/mortgage-amortization,,
mortgage rate,0,3,0,0,40500,100,2.40,0.38,457000000,informational,,https://www.rocketmortgage.com/mortgage-rates,,
nar,0,61,0,0,40500,89,2.85,0,1560000000,navigational,,https://www.rocketmortgage.com/learn/clear-cooperation-policy,,
net benefits,0,35,0,0,40500,94,2.58,0,2790000000,"navigational, transactional",,https://www.rocketmortgage.com/learn/tangible-net-benefits,,
nmls consumer access,0,11,0,0,40500,40,2.11,0.01,10200000,informational,,https://www.rocketmortgage.com/learn/what-is-nmls,,
offer,0,47,0,0,40500,83,0.63,0.04,12150000000,informational,,https://www.rocketmortgage.com/learn/how-to-make-an-offer-on-a-house,,
orleans hub,0,0,28,0,40500,55,0.00,0,70,navigational,,,https://www.rockethomes.com/ny/orleans-county,
prime rate,0,24,0,0,40500,82,2.01,0.05,1170000000,informational,,https://www.rocketmortgage.com/learn/prime-rate,,
property management companies,0,62,0,0,40500,83,5.78,0.29,1720000000,commercial,,https://www.rocketmortgage.com/learn/what-does-a-property-manager-do,,
quitclaim deed,0,23,0,0,40500,77,0.98,0.28,2190000,informational,,https://www.rocketmortgage.com/learn/quitclaim-deeds,,
realtor.com florida,0,0,0,50,40500,73,0.92,0.17,77,navigational,,,,https://www.forsalebyowner.com/search/list/florida
room to go,0,65,0,0,40500,90,3.53,0.33,7460000000,navigational,,https://www.rocketmortgage.com/learn/adding-an-addition-onto-your-house,,
simple mortgage calculator,0,17,0,0,40500,94,1.12,0.21,124000000,informational,,https://www.rocketmortgage.com/calculators/mortgage-calculator,,
stellar mls,0,0,71,0,40500,64,0.00,0,90,navigational,,,https://www.rockethomes.com/homes/15146-van-dyke-ter-port-charlotte-fl-33953,
summerville sc,0,0,95,0,40500,68,0.46,0.03,15000000,informational,,,https://www.rockethomes.com/sc/summerville,
today's mortgage rates,0,4,0,0,40500,100,2.28,0.36,75,informational,,https://www.rocketmortgage.com/mortgage-rates,,
usda loans,0,6,0,0,40500,97,3.87,0.43,2200000000,informational,,https://www.rocketmortgage.com/learn/usda-loans,,
victorian house,0,0,70,0,40500,68,1.08,0.2,1880000000,commercial,,,https://www.rockethomes.com/blog/home-buying/know-your-architecture-styles-what-are-victorian-homes,
waverly tn,0,0,53,0,40500,40,0.42,0,4970000,"informational, transactional",,,https://www.rockethomes.com/tn/waverly,
whats a good credit score,0,17,0,0,40500,93,1.91,0.04,0,informational,,https://www.rocketmortgage.com/learn/what-credit-score-is-needed-to-buy-a-house,,
15 year mortgage rates,0,4,0,0,33100,80,2.69,0.38,192000000,"informational, transactional",,https://www.rocketmortgage.com/learn/15-year-mortgage-rates,,
30 year fixed mortgage rates,0,9,0,0,33100,100,2.09,0.4,86400000,informational,,https://www.rocketmortgage.com/mortgage-rates,,
