Keyword,homelight.com,homes.com,century21.com,coldwellbanker.com,sothebysrealty.com,Search Volume,Keyword Difficulty,CPC,Competition,Results,Keyword Intents,homelight.com (pages),homes.com (pages),century21.com (pages),coldwellbanker.com (pages),sothebysrealty.com (pages)
rumer willis,0,0,0,0,49,90500,77,0.00,0,7260000,informational,,,,,https://www.sothebysrealty.com/eng/rumer-willis-favorite-things-june
san miguel de allende,0,0,0,0,84,90500,74,0.68,0.03,17500000,informational,,,,,https://www.sothebysrealty.com/eng/destinations/san-miguel-de-allende-mexico
thomas doherty,0,0,0,0,81,90500,54,0.38,0,0,informational,,,,,https://www.sothebysrealty.com/eng/associate/180-a-1003-50122803-f037-4040-a14a-ada70e893048/thomas-doherty
vivian vance,0,0,40,0,0,90500,61,0.00,0,2630000,informational,,,https://www.century21.com/real-estate-agent/profile/vivian-vance-P10150477,,
andrew wilson,0,0,0,0,65,74000,61,0.79,0,284000000,informational,,,,,https://www.sothebysrealty.com/eng/associate/180-a-1187-40535/andrew-wilson
calabasas,0,0,0,0,17,74000,71,0.27,0,23700000,informational,,,,,https://www.sothebysrealty.com/eng/sales/calabasas-ca-usa
cb,0,0,0,45,0,74000,71,1.08,0.1,2370000000,informational,,,,https://www.coldwellbanker.com/,
cold stone near me,0,0,0,47,0,74000,50,1.14,0.01,75,transactional,,,,https://www.coldwellbanker.com/,
commercial property for sale,0,0,49,0,0,74000,93,1.09,0.51,1150000000,"navigational, transactional",,,https://commercial.century21.com/,,
deborah divine,0,0,0,65,0,74000,48,0.00,0,10100000,informational,,,,"https://www.coldwellbanker.com/Coldwell-Banker-Apex,-Realtors-10381c/Deborah-Diviney-396835a",
dick barker,0,0,0,5,0,74000,35,0.00,0,9000000,informational,,,,https://www.coldwellbanker.com/Coldwell-Banker-Chesapeake-Real-Estate-Company-2228c/Dick-Barker-205457a,
for rent,0,9,0,0,0,74000,100,0.43,0.38,77,navigational,,https://www.homes.com/homes-for-rent/,,,
for rent near me,0,4,0,0,0,74000,95,0.57,0.37,69,"informational, transactional",,https://www.homes.com/homes-for-rent/,,,
handyman,0,89,0,0,0,74000,79,2.85,0.17,119000000,commercial,,https://www.homes.com/blog/2018/08/the-difference-between-a-handy-man-and-a-contractor/,,,
hgtv dream home,0,30,0,0,0,74000,87,0.56,0.02,8320000,navigational,,https://www.homes.com/blog/2021/01/what-really-happens-to-hgtv-dream-home-winners/,,,
homebase login,0,0,0,18,0,74000,81,0.80,0,40100000,navigational,,,,https://transaction-manager.coldwellbanker.com/,
jason biggs,0,0,51,0,0,74000,59,0.00,0,9810000,informational,,,https://www.century21.com/real-estate-agent/profile/jason-biggs-P69589595,,
mobile homes for sale near me,0,2,0,49,0,74000,71,0.70,0.26,77,transactional,,https://www.homes.com/kent-county-mi/mobile-homes-for-sale/,,https://www.coldwellbanker.com/,
nancy wheeler,0,0,0,13,0,74000,61,0.38,0,15500000,"informational, transactional",,,,https://www.coldwellbanker.com/Coldwell-Banker-Bisceglia-Realty-and-Auction-Co.-9683c/Nancy-Wheeler-7386339a,
nick wright,0,0,0,34,0,74000,56,0.00,0,71800000,informational,,,,"https://www.coldwellbanker.com/Coldwell-Banker-Riviera-Realty,-Inc.-3009c/Nick-Wright-7505437a",
places for rent near me,0,5,0,0,0,74000,98,0.56,0.36,60,"informational, transactional",,https://www.homes.com/homes-for-rent/,,,
realestate,0,0,0,6,0,74000,100,1.15,0.15,1880000000,commercial,,,,https://www.coldwellbanker.com/,
rooms for rent,0,74,0,0,0,74000,59,0.58,0.37,404000000,informational,,https://www.homes.com/homes-for-rent/,,,
rooms for rent near me,0,35,0,0,0,74000,62,0.68,0.31,0,transactional,,https://www.homes.com/homes-for-rent/,,,
the villages florida,0,50,0,68,0,74000,88,0.38,0.08,70400000,"informational, navigational",,https://www.homes.com/the-villages-fl/,,https://www.coldwellbanker.com/for-sale-homes/The-Villages-FL-8897c,
21st mortgage,0,0,56,0,0,60500,78,0.72,0.16,19400000,navigational,,,https://www.century21.com/buyingadvice/buying101/mortgage,,
breckin meyer,0,0,0,14,0,60500,53,0.00,0,645000,informational,,,,https://www.coldwellbanker.com/Coldwell-Banker-Hedges-Realty-11765c/Breckin-Meyer-7686471a,
brett cooper,0,0,0,0,56,60500,50,0.00,0,24300000,informational,,,,,https://www.sothebysrealty.com/eng/associate/180-a-675-69711523/brett-cooper
caravan,0,0,85,0,0,60500,83,1.20,0.3,354000000,"informational, transactional",,,https://www.century21.com/glossary/definition/caravan,,
duplex,0,0,0,0,98,60500,79,0.55,0.02,237000000,transactional,,,,,https://www.sothebysrealty.com/eng/sales/ca-usa/duplex-type
folly beach,0,0,0,93,0,60500,70,0.52,0.08,11100000,informational,,,,https://www.coldwellbanker.com/for-sale-homes/Folly-Beach-SC-50555c,
gabby thomas,0,0,0,39,0,60500,56,0.00,0,11900000,informational,,,,https://www.coldwellbanker.com/Coldwell-Banker-Realty-12615c/Gabby-Thomas-7625181a,
garrett wilson,0,0,0,55,0,60500,67,0.00,0,33700000,"informational, transactional",,,,https://www.coldwellbanker.com/Coldwell-Banker-Integrity-Real-Estate-6059c/Garrett-Wilson-7563533a,
gool,0,0,0,31,0,60500,47,0.99,0,37200000,informational,,,,https://www.coldwellbanker.com/Coldwell-Banker-Advantage-11983c/HEATHER-GOOL-7586857a,
home for sale near me,0,12,0,10,0,60500,95,0.81,0.37,59,transactional,,https://www.homes.com/,,https://www.coldwellbanker.com/,
jim cummings,0,0,52,0,0,60500,60,1.45,0,14200000,informational,,,https://www.century21.com/real-estate-agent/profile/jim-cummings-P25386116,,
jimmy stewart,0,0,0,31,0,60500,75,0.15,0,84700000,"informational, transactional",,,,https://www.coldwellbanker.com/Coldwell-Banker-NOW-1027c/Jimmy-Stewart-196103a,
joe johnson,0,0,85,0,0,60500,68,0.53,0,412000000,informational,,,https://www.century21.com/real-estate-agent/profile/joe-johnson-P412976905,,
julia jones,0,0,52,0,0,60500,53,0.00,0,171000000,informational,,,https://www.century21.com/real-estate-agent/profile/julia-jones-P80072358,,
kevin o'leary,0,0,0,75,0,60500,70,0.00,0,6160000,informational,,,,https://www.coldwellbanker.com/Coldwell-Banker-The-Realty-Group-8375c/Kevin-O%27Leary-347137a,
kissimmee,0,0,0,90,0,60500,87,0.69,0.01,56600000,informational,,,,https://www.coldwellbanker.com/for-sale-homes/Kissimmee-FL-4659c,
luke thompson,0,0,81,31,0,60500,52,0.00,0,59800000,informational,,,https://www.century21.com/real-estate-agent/profile/luke-thompson-P80097253,https://www.coldwellbanker.com/Coldwell-Banker-American-Home-3048c/Luke-Thompson-212896a,
mike vogel,0,0,61,0,27,60500,61,0.00,0,10900000,informational,,,https://www.century21.com/real-estate-agent/profile/michael-vogel-P25389272,,https://www.sothebysrealty.com/eng/associate/180-a-df18061410521044542/mike-vogel
minato,0,0,0,0,64,60500,58,0.76,0.02,64300000,"informational, transactional",,,,,https://www.sothebysrealty.com/eng/sales/minato-ku-to-jpn
mls listings,0,0,0,14,0,60500,98,0.92,0.36,1740000000,"informational, transactional",,,,https://www.coldwellbanker.com/,
mobile home,0,10,0,0,0,60500,90,0.53,0.61,13420000000,commercial,,https://www.homes.com/los-angeles-county-ca/mobile-homes-for-sale/,,,
mobile homes,0,8,0,0,0,60500,79,0.54,0.38,928000000,commercial,,https://www.homes.com/los-angeles-county-ca/mobile-homes-for-sale/,,,
mobile homes for rent near me,0,14,0,0,0,60500,63,0.77,0.18,79,transactional,,https://www.homes.com/sumter-county-sc/homes-for-rent/,,,
monterrey,0,0,0,0,87,60500,72,1.30,0,378000000,"informational, transactional",,,,,https://www.sothebysrealty.com/eng/destinations/monterrey-mexico
nicole young,0,0,0,72,0,60500,39,0.00,0,682000000,informational,,,,https://www.coldwellbanker.com/Coldwell-Banker-Platinum-Properties-3227c/Nicole-Young-213651a,
rachel miner,0,0,73,0,0,60500,43,0.00,0,5580000,informational,,,https://www.century21.com/real-estate-agent/profile/rachel-miner-P80108441,,
realtors near me,0,55,13,6,0,60500,100,10.54,0.9,364000000,transactional,,https://www.homes.com/,https://www.century21.com/,https://www.coldwellbanker.com/,
shannon lee,0,0,0,0,79,60500,58,0.00,0,101000000,"informational, transactional",,,,,https://www.sothebysrealty.com/eng/associate/180-a-773-4027837/shannon-lee
st jude,0,0,0,50,0,60500,84,4.77,0.18,115000000,navigational,,,,https://www.coldwellbanker.com/stjude,
the villages,0,86,0,45,0,60500,88,0.38,0.08,606000000,"informational, navigational",,https://www.homes.com/the-villages-fl/,,https://www.coldwellbanker.com/for-sale-homes/The-Villages-FL-8897c,
townhomes for rent near me,0,5,0,0,0,60500,55,0.73,0.35,46,"informational, transactional",,https://www.homes.com/houston-tx/townhouses-for-rent/,,,
vivian kent,0,29,0,0,0,60500,50,0.00,0,8190000,informational,,https://www.homes.com/real-estate-agents/vivian-kent/jnvk915/,,,
american homes 4 rent,0,96,0,0,0,49500,70,0.48,0.14,141000000,navigational,,https://www.homes.com/,,,
anthony johnson,0,0,0,87,0,49500,73,0.43,0,259000000,"informational, transactional",,,,https://www.coldwellbanker.com/Coldwell-Banker-Realty-_-Pittsburgh-12661c/Anthony-Johnson-591657a,
apartment for rent near me,0,14,0,0,0,49500,100,0.65,0.4,64,transactional,,https://www.homes.com/homes-for-rent/,,,
apartment near me,0,18,0,0,0,49500,100,0.86,0.28,58,transactional,,https://www.homes.com/apartments-for-rent/,,,
at home near me,0,68,0,0,0,49500,65,2.62,0.08,10980000000,"navigational, transactional",,https://www.homes.com/homes-for-sale/,,,
betty davis,0,0,75,0,0,49500,86,0.36,0.21,45800000,"informational, transactional",,,https://www.century21.com/real-estate-agent/profile/betty-davis-P10207390,,
bowling green ky,0,0,0,97,0,49500,74,0.74,0.01,53000000,informational,,,,https://www.coldwellbanker.com/for-sale-homes/Bowling-Green-KY-11080c,
cape coral fl,0,24,0,0,0,49500,73,0.64,0.03,32000000,informational,,https://www.homes.com/cape-coral-fl/,,,
colin egglesfield,0,0,12,0,0,49500,53,0.00,0,329000,informational,,,https://www.century21.com/real-estate-agent/profile/colin-egglesfield-P80084711,,
condos for sale,0,6,13,0,0,49500,60,0.54,0.39,59,"informational, transactional",,https://www.homes.com/indianapolis-in/condos-for-sale/,https://www.century21.com/real-estate/myrtle-beach-sc/LCSCMYRTLEBEACH/?pt=2,,
craigslist dayton,0,59,0,0,0,49500,35,0.00,0,84,navigational,,https://www.homes.com/greene-county-oh/homes-for-rent/,,,
craigslist memphis,0,69,0,0,0,49500,32,0.68,0,96,navigational,,https://www.homes.com/memphis-tn/38105/homes-for-rent/,,,
dana point,0,0,0,95,0,49500,68,0.61,0.02,258000000,informational,,,,https://www.coldwellbanker.com/for-sale-homes/Dana-Point-CA-2429c,
donna murphy,0,0,0,0,28,49500,52,0.00,0,26000000,informational,,,,,https://www.sothebysrealty.com/eng/associate/180-a-913-4026370/donna-murphy
emerald isle,0,0,0,0,94,49500,65,0.57,0.08,18800000,informational,,,,,https://www.sothebysrealty.com/eng/sales/emerald-isle-nc-usa
epperson lagoon,0,0,73,0,0,49500,60,0.66,0.01,73600,"informational, transactional",,,https://homesforsale.century21.com/CENTURY-21-Executive-Team-1447c/Travis-Ten-Brink-5108953a/blog/cities-neighborhoods-3/crystal-lagoon-honest-review-18626,,
franchise,0,0,0,61,0,49500,95,1.83,0.25,1530000000,informational,,,,https://www.coldwellbanker.com/franchising,
gary owen,0,0,0,60,0,49500,64,0.45,0.01,35300000,informational,,,,https://www.coldwellbanker.com/Coldwell-Banker-Trusted-Advisors-1207c/Gary-Owen-198199a,
george burns,0,0,0,0,69,49500,54,0.00,0,132000000,"informational, transactional",,,,,https://www.sothebysrealty.com/eng/associate/180-a-982-4041873/george-burns
greenville ca,0,26,49,29,0,49500,51,0.00,0,154000000,"informational, transactional",,https://www.homes.com/greenville-ca/,https://www.century21.com/real-estate/greenville-ca/LCCAGREENVILLE/,https://www.coldwellbanker.com/for-sale-homes/Greenville-CA-14109c,
greenwich village,0,0,0,0,83,49500,75,0.66,0,53600000,"informational, transactional",,,,,https://www.sothebysrealty.com/eng/sales/greenwich-village-new-york-ny-usa
hallmark store near me,0,0,0,52,0,49500,56,0.46,0.03,81,"navigational, transactional",,,,https://www.coldwellbanker.com/,
hgtv sweepstakes,0,32,0,0,0,49500,68,0.80,0.01,8700000,navigational,,https://marketing.homes.com/hgtv-and-homes-com-present-20000-inspiring-moments-sweepstakes/,,,
home for sale,0,6,0,10,0,49500,100,0.66,0.37,91,transactional,,https://www.homes.com/,,https://www.coldwellbanker.com/,
jane russell,0,0,0,0,64,49500,65,0.00,0,104000000,"informational, transactional",,,,,https://www.sothebysrealty.com/eng/associate/180-a-982-4038299/jane-russell
jenna ellis,0,0,41,0,0,49500,60,0.41,0,10900000,informational,,,https://www.century21.com/real-estate-agent/profile/jenna-ellis-P400565935,,
jennifer taylor,0,0,52,0,0,49500,52,1.03,0,300000000,"informational, transactional",,,https://www.century21.com/real-estate-agent/profile/jennifer-taylor-P25396142,,
jessica lowe,0,0,0,16,0,49500,44,0.00,0,15900000,informational,,,,https://www.coldwellbanker.com/Coldwell-Banker-Realty-12673c/Jessica-Lowe-607675a,
joe francis,0,0,64,0,0,49500,61,0.00,0,127000000,"informational, transactional",,,https://www.century21.com/real-estate-agent/profile/joe-francis-P25416289,,
john ross,0,0,0,96,0,49500,64,0.81,0.01,437000000,"informational, transactional",,,,https://www.coldwellbanker.com/Coldwell-Banker-Realty-12681c/John-Ross-7369309a,
jordyn jones,0,0,0,0,16,49500,68,0.00,0,81,informational,,,,,https://www.sothebysrealty.com/eng/associate/180-a-df21072919181048412/jordyn-jones
kate jackson,0,0,0,0,40,49500,51,0.00,0,167000000,informational,,,,,https://www.sothebysrealty.com/eng/associate/180-a-910-4010553/kate-jackson
kb homes,0,59,0,0,0,49500,76,2.33,0.12,82,navigational,,https://www.homes.com/,,,
manufactured homes for sale,0,17,26,0,0,49500,88,0.51,0.45,65900000,transactional,,https://www.homes.com/los-angeles-county-ca/mobile-homes-for-sale/,https://www.century21.com/real-estate/illinois/LSIL/?pt=8,,
mary holland,0,0,71,0,0,49500,54,0.00,0,93100000,informational,,,https://www.century21.com/real-estate-agent/profile/mary-holland-holly-sheeser-P80106846,,
matthew fox,0,0,0,0,29,49500,64,0.00,0,142000000,informational,,,,,https://www.sothebysrealty.com/eng/associate/180-a-df18062609591011825/matthew-fox
michael stone,0,0,0,86,0,49500,63,0.46,0.01,608000000,informational,,,,https://www.coldwellbanker.com/Coldwell-Banker-Realty-12669c/Michael-Stone-600803a,
michelle white,0,0,63,64,0,49500,34,0.43,0,654000000,informational,,,https://www.century21.com/real-estate-agent/profile/michelle-white-P80097583,https://www.coldwellbanker.com/Coldwell-Banker-Realty-12619c/Michelle-White-504127a,
miramar beach,0,90,0,0,0,49500,60,0.75,0.07,29200000,"informational, transactional",,https://www.homes.com/miramar-beach-fl/,,,
mobile homes for rent,0,11,0,0,0,49500,74,0.65,0.19,95,commercial,,https://www.homes.com/gaston-county-nc/houses-for-rent/,,,
monterrey mexico,0,0,0,0,24,49500,66,1.40,0,249000000,"informational, transactional",,,,,https://www.sothebysrealty.com/eng/destinations/monterrey-mexico
moomoo,0,0,0,42,0,49500,64,25.86,0.27,11100000,"informational, transactional",,,,https://www.coldwellbanker.com/Coldwell-Banker-Advantage-11983c/MooMoo-Councill-213790a,
north port fl,0,95,0,0,0,49500,49,0.56,0.02,236000000,informational,,https://www.homes.com/north-port-fl/,,,
oscar nunez,0,0,86,0,0,49500,44,0.00,0,4920000,"informational, transactional",,,https://www.century21.com/real-estate-agent/profile/oscar-nunez-P80125491,,
places to rent near me,0,5,0,0,0,49500,98,0.56,0.36,79,"informational, transactional",,https://www.homes.com/homes-for-rent/,,,
realtors,0,0,0,8,0,49500,100,1.12,0.16,278000000,commercial,,,,https://www.coldwellbanker.com/,
sandra smith,0,0,86,44,0,49500,66,0.27,0,112000000,informational,,,https://www.century21.com/real-estate-agent/profile/sandra-smith-P10171367,https://www.coldwellbanker.com/Coldwell-Banker-Stewart-Realty-7829c/Sandra-Smith-336405a,
sarah sherman,0,0,0,0,69,49500,66,1.90,0.01,22400000,informational,,,,,https://www.sothebysrealty.com/eng/associate/180-a-df2206281348108341/sarah-sherman
sotheby's,0,0,0,0,2,49500,90,0.52,0.12,56500000,navigational,,,,,https://www.sothebysrealty.com/eng
sothebys,0,0,0,0,2,49500,100,0.52,0.12,54400000,navigational,,,,,https://www.sothebysrealty.com/eng
the hamptons,0,0,0,0,11,49500,65,0.73,0.02,446000000,informational,,,,,https://www.sothebysrealty.com/eng/sales/the-hamptons-ny-area
topanga,0,0,0,0,37,49500,68,0.53,0,14000000,informational,,,,,https://www.sothebysrealty.com/eng/sales/topanga-ca-usa
townhomes near me,0,6,0,35,0,49500,74,0.90,0.23,80,transactional,,https://www.homes.com/houston-tx/townhouses-for-rent/,,https://www.coldwellbanker.com/,
trec,0,0,0,0,74,49500,83,2.30,0,60900000,navigational,,,,,https://www.sothebysrealty.com/resources/siteresources/my%20folder/footer-resources/cpn.pdf
utah real estate,0,49,21,0,42,49500,82,0.38,0.22,272000000,navigational,,https://www.homes.com/sitemap/utah/,https://www.century21.com/real-estate/utah/LSUT/,,https://www.sothebysrealty.com/eng/sales/ut-usa
whidbey island,0,0,0,32,0,49500,68,0.91,0.02,7250000,"informational, transactional",,,,https://www.coldwellbanker.com/for-sale-homes/Whidbey-Island-WA-436c,
wildwood nj,0,88,0,0,0,49500,78,0.69,0.12,13500000,"informational, navigational",,https://www.homes.com/wildwood-nj/,,,
amanda peterson,0,0,0,75,0,40500,57,0.00,0,31100000,"informational, transactional",,,,https://www.coldwellbanker.com/Coldwell-Banker-Realty-_-Gundaker-12675c/Amanda-Peterson-7579805a,
american homes for rent,0,55,0,0,0,40500,70,0.75,0.2,180000000,navigational,,https://www.homes.com/murfreesboro-tn/37128/houses-for-rent/,,,
amy carlson,0,0,48,0,0,40500,54,0.00,0,13800000,informational,,,https://www.century21.com/real-estate-agent/profile/amy-carlson-P417007470,,
bend craigslist,0,30,0,0,0,40500,31,1.98,0,75,navigational,,https://www.homes.com/south-bend-in/homes-for-rent/,,,
blake anderson,0,0,0,59,0,40500,61,0.00,0,69300000,informational,,,,https://www.coldwellbanker.com/Coldwell-Banker-Realty-12673c/Blake-Anderson-609521a,
bloomington ca,0,91,0,0,0,40500,52,0.51,0,90900000,informational,,https://www.homes.com/bloomington-ca/,,,
