Keyword,homelight.com,homes.com,century21.com,coldwellbanker.com,sothebysrealty.com,Search Volume,Keyword Difficulty,CPC,Competition,Results,Keyword Intents,homelight.com (pages),homes.com (pages),century21.com (pages),coldwellbanker.com (pages),sothebysrealty.com (pages)
homes for sale san antonio,0,7,8,11,15,12100,70,1.06,0.4,87,"informational, transactional",,https://www.homes.com/san-antonio-tx/,https://www.century21.com/real-estate/san-antonio-tx/LCTXSANANTONIO/,https://www.coldwellbanker.com/for-sale-homes/San-Antonio-TX-7921c,https://www.sothebysrealty.com/eng/sales/san-antonio-tx-usa
houses for sale in ct,0,5,7,19,11,12100,71,0.42,0.3,79,"informational, transactional",,https://www.homes.com/connecticut/,https://www.century21.com/real-estate/connecticut/LSCT/?pt=1,https://www.coldwellbanker.com/for-sale-homes/Hartford-CT-14375c,https://www.sothebysrealty.com/eng/sales/ct-usa
houses for sale in las vegas,0,7,9,10,14,12100,80,0.82,0.43,34900000,"informational, transactional",,https://www.homes.com/las-vegas-nv/,https://www.century21.com/real-estate/las-vegas-nv/LCNVLASVEGAS/,https://www.coldwellbanker.com/for-sale-homes/Las-Vegas-NV-221c,https://www.sothebysrealty.com/eng/sales/las-vegas-nv-usa
houses for sale in tennessee,0,4,5,84,12,12100,78,0.46,0.35,50500000,"informational, transactional",,https://www.homes.com/tennessee/,https://www.century21.com/real-estate/tennessee/LSTN/,https://www.coldwellbanker.com/,https://www.sothebysrealty.com/eng/sales/tn-usa
isle of palms sc,0,91,62,58,68,12100,64,0.63,0.08,5610000,informational,,https://www.homes.com/isle-of-palms-sc/,https://www.century21.com/real-estate/isle-of-palms-sc/LCSCISLEOFPALMS/,https://www.coldwellbanker.com/for-sale-homes/Isle-Of-Palms-SC-50568c,https://www.sothebysrealty.com/eng/sales/isle-of-palms-sc-usa
land for sale in georgia,0,35,16,84,36,12100,62,0.25,0.37,95,transactional,,https://www.homes.com/georgia/land-for-sale/,https://www.century21.com/real-estate/georgia/LSGA/?pt=4,https://www.coldwellbanker.com/,https://www.sothebysrealty.com/eng/sales/ga-usa
las vegas homes for sale,0,6,9,12,14,12100,74,0.85,0.42,51000000,"informational, transactional",,https://www.homes.com/las-vegas-nv/,https://www.century21.com/real-estate/las-vegas-nv/LCNVLASVEGAS/,https://www.coldwellbanker.com/for-sale-homes/Las-Vegas-NV-221c,https://www.sothebysrealty.com/eng/sales/las-vegas-nv-usa
montana real estate,0,9,4,24,8,12100,71,0.25,0.31,298000000,informational,,https://www.homes.com/montana/,https://www.century21.com/real-estate/montana/LSMT/,https://www.coldwellbanker.com/montana-real-estate-brokers?src=hp,https://www.sothebysrealty.com/eng/sales/mt-usa
tennessee homes for sale,0,4,5,59,13,12100,72,0.39,0.3,90,"informational, transactional",,https://www.homes.com/tennessee/,https://www.century21.com/real-estate/tennessee/LSTN/,https://www.coldwellbanker.com/,https://www.sothebysrealty.com/eng/sales/tn-usa
arizona homes for sale,0,8,5,75,14,9900,80,0.59,0.35,87,"informational, transactional",,https://www.homes.com/arizona/,https://www.century21.com/real-estate/arizona/LSAZ/,https://www.coldwellbanker.com/,https://www.sothebysrealty.com/eng/sales/az-usa
chatsworth ca,0,86,79,45,95,9900,53,0.70,0,12200000,"informational, transactional",,https://www.homes.com/chatsworth-ca/,https://www.century21.com/real-estate/chatsworth-ca/LCCACHATSWORTH/,https://www.coldwellbanker.com/for-sale-homes/Chatsworth-CA-1896c,https://www.sothebysrealty.com/eng/sales/chatsworth-ca-usa
homes for sale charleston sc,0,7,10,23,11,9900,68,1.06,0.36,0,"informational, transactional",,https://www.homes.com/charleston-sc/,https://www.century21.com/real-estate/charleston-sc/LCSCCHARLESTON/,https://www.coldwellbanker.com/for-sale-homes/Charleston-SC-11769c,https://www.sothebysrealty.com/eng/sales/charleston-sc-usa
homes for sale charlotte nc,0,6,11,24,23,9900,73,0.75,0.36,18400000,"informational, transactional",,https://www.homes.com/charlotte-nc/,https://www.century21.com/real-estate/charlotte-nc/LCNCCHARLOTTE/,https://www.coldwellbanker.com/for-sale-homes/Charlotte-NC-199c,https://www.sothebysrealty.com/eng/sales/charlotte-nc-usa
homes for sale in georgia,0,5,6,39,16,9900,69,0.54,0.29,111000000,"informational, transactional",,https://www.homes.com/georgia/,https://www.century21.com/real-estate/georgia/LSGA/,https://www.coldwellbanker.com/georgia-real-estate-brokers?src=hp,https://www.sothebysrealty.com/eng/sales/ga-usa
homes for sale in jacksonville fl,0,7,9,13,16,9900,71,0.76,0.4,13300000,"informational, transactional",,https://www.homes.com/jacksonville-fl/,https://www.century21.com/real-estate/jacksonville-fl/LCFLJACKSONVILLE/,https://www.coldwellbanker.com/for-sale-homes/Jacksonville-FL-373c,https://www.sothebysrealty.com/eng/sales/jacksonville-fl-usa
homes for sale in las vegas,0,7,8,10,14,9900,74,0.85,0.42,66200000,"informational, transactional",,https://www.homes.com/las-vegas-nv/,https://www.century21.com/real-estate/las-vegas-nv/LCNVLASVEGAS/,https://www.coldwellbanker.com/for-sale-homes/Las-Vegas-NV-221c,https://www.sothebysrealty.com/eng/sales/las-vegas-nv-usa
homes for sale las vegas,0,6,9,10,15,9900,74,0.85,0.42,139000000,"informational, transactional",,https://www.homes.com/las-vegas-nv/,https://www.century21.com/real-estate/las-vegas-nv/LCNVLASVEGAS/,https://www.coldwellbanker.com/for-sale-homes/Las-Vegas-NV-221c,https://www.sothebysrealty.com/eng/sales/las-vegas-nv-usa
houses for sale in georgia,0,5,6,44,13,9900,75,0.59,0.34,92500000,"informational, transactional",,https://www.homes.com/georgia/,https://www.century21.com/real-estate/georgia/LSGA/,https://www.coldwellbanker.com/georgia-real-estate-brokers?src=hp,https://www.sothebysrealty.com/eng/sales/ga-usa
houses for sale in maine,0,13,5,65,15,9900,73,0.32,0.23,46600000,"informational, transactional",,https://www.homes.com/maine/,https://www.century21.com/real-estate/maine/LSME/,https://www.coldwellbanker.com/maine-real-estate-brokers?src=hp,https://www.sothebysrealty.com/eng/sales/me-usa
houses for sale in south carolina,0,5,6,89,13,9900,69,0.60,0.35,77300000,"informational, transactional",,https://www.homes.com/south-carolina/,https://www.century21.com/real-estate/south-carolina/LSSC/,https://www.coldwellbanker.com/,https://www.sothebysrealty.com/eng/sales/sc-usa
houses for sale san antonio,0,7,8,11,15,9900,69,0.98,0.44,99,"informational, transactional",,https://www.homes.com/san-antonio-tx/,https://www.century21.com/real-estate/san-antonio-tx/LCTXSANANTONIO/,https://www.coldwellbanker.com/for-sale-homes/San-Antonio-TX-7921c,https://www.sothebysrealty.com/eng/sales/san-antonio-tx-usa
land for sale in ohio,0,30,9,72,28,9900,63,0.17,0.36,98,transactional,,https://www.homes.com/ohio/land-for-sale/,https://www.century21.com/real-estate/ohio/LSOH/?pt=4,https://www.coldwellbanker.com/,https://www.sothebysrealty.com/eng/sales/oh-usa
lewiston ny,0,91,64,13,83,9900,52,0.43,0.02,63400000,informational,,https://www.homes.com/lewiston-ny/,https://www.century21.com/real-estate/lewiston-ny/LCNYLEWISTON/,https://www.coldwellbanker.com/for-sale-homes/Lewiston-NY-5014c,https://www.sothebysrealty.com/eng/sales/lewiston-ny-usa
maine homes for sale,0,11,7,63,16,9900,76,0.25,0.21,46900000,"informational, transactional",,https://www.homes.com/maine/,https://www.century21.com/real-estate/maine/LSME/,https://www.coldwellbanker.com/for-sale-homes/Portland-ME-18122c,https://www.sothebysrealty.com/eng/sales/me-usa
montana homes for sale,0,7,4,73,9,9900,70,0.24,0.3,31500000,"informational, transactional",,https://www.homes.com/montana/,https://www.century21.com/real-estate/montana/LSMT/,https://www.coldwellbanker.com/,https://www.sothebysrealty.com/eng/sales/mt-usa
naples florida homes for sale,0,8,10,15,14,9900,72,0.71,0.41,9300000,"informational, transactional",,https://www.homes.com/naples-fl/,https://www.century21.com/real-estate/naples-fl/LCFLNAPLES/,https://www.coldwellbanker.com/for-sale-homes/Naples-FL-6025c,https://www.sothebysrealty.com/eng/sales/naples-fl-usa
real estate for sale,0,10,31,9,30,9900,100,1.10,0.36,69,transactional,,https://www.homes.com/,https://www.century21.com/real-estate/texas/LSTX/,https://www.coldwellbanker.com/,https://www.sothebysrealty.com/eng/sales/los-angeles-ca-usa
tucson homes for sale,0,8,9,18,17,9900,75,0.87,0.37,12800000,"informational, transactional",,https://www.homes.com/tucson-az/,https://www.century21.com/real-estate/tucson-az/LCAZTUCSON/,https://www.coldwellbanker.com/for-sale-homes/Tucson-AZ-87c,https://www.sothebysrealty.com/eng/sales/tucson-az-usa
windermere fl,0,73,66,19,16,9900,59,0.27,0.02,7550000,informational,,https://www.homes.com/windermere-fl/,https://www.century21.com/real-estate/windermere-fl/LCFLWINDERMERE/,https://www.coldwellbanker.com/for-sale-homes/Windermere-FL-9799c,https://www.sothebysrealty.com/eng/sales/windermere-fl-usa
colorado homes for sale,0,10,9,34,11,8100,78,0.78,0.35,99,"informational, transactional",,https://www.homes.com/colorado/,https://www.century21.com/real-estate/colorado/LSCO/,https://www.coldwellbanker.com/for-sale-homes/Colorado-Springs-CO-2160c,https://www.sothebysrealty.com/eng/sales/co-usa
dallas homes for sale,0,6,7,18,14,8100,72,0.68,0.32,59600000,"informational, transactional",,https://www.homes.com/dallas-tx/,https://www.century21.com/real-estate/dallas-tx/LCTXDALLAS/,https://www.coldwellbanker.com/for-sale-homes/Dallas-TX-2419c,https://www.sothebysrealty.com/eng/sales/dallas-tx-usa
hawaii real estate,0,73,36,55,16,8100,76,0.70,0.38,247000000,informational,,https://www.homes.com/sitemap/hawaii/,https://www.century21.com/property-search-map-Hawaii-SHI,https://www.coldwellbanker.com/coldwell-banker-realty-_-hawaii-12679c,https://www.sothebysrealty.com/eng/sales/hi-usa
homes for sale albuquerque,0,7,9,8,13,8100,68,0.64,0.29,9380000,"informational, transactional",,https://www.homes.com/albuquerque-nm/,https://www.century21.com/real-estate/albuquerque-nm/LCNMALBUQUERQUE/,https://www.coldwellbanker.com/for-sale-homes/Albuquerque-NM-312c,https://www.sothebysrealty.com/eng/sales/albuquerque-nm-usa
homes for sale colorado springs,0,8,9,10,14,8100,70,1.59,0.4,25900000,"informational, transactional",,https://www.homes.com/colorado-springs-co/,https://www.century21.com/real-estate/colorado-springs-co/LCCOCOLORADOSPRINGS/,https://www.coldwellbanker.com/for-sale-homes/Colorado-Springs-CO-2160c,https://www.sothebysrealty.com/eng/sales/colorado-springs-co-usa
homes for sale in arkansas,0,5,6,16,14,8100,67,0.35,0.3,29800000,"informational, transactional",,https://www.homes.com/arkansas/,https://www.century21.com/property-search-map-Arkansas-SAR,https://www.coldwellbanker.com/arkansas-real-estate-brokers?src=hp,https://www.sothebysrealty.com/eng/sales/ar-usa
homes for sale in colorado,0,11,10,34,15,8100,78,0.78,0.35,96000000,"informational, transactional",,https://www.homes.com/colorado/,https://www.century21.com/real-estate/colorado/LSCO/,https://www.coldwellbanker.com/for-sale-homes/Colorado-Springs-CO-2160c,https://www.sothebysrealty.com/eng/sales/co-usa
homes for sale in gilbert az,0,7,8,13,17,8100,61,0.73,0.38,97,"informational, transactional",,https://www.homes.com/gilbert-az/,https://www.century21.com/real-estate/gilbert-az/LCAZGILBERT/,https://www.coldwellbanker.com/for-sale-homes/Gilbert-AZ-3520c,https://www.sothebysrealty.com/eng/sales/gilbert-az-usa
homes for sale in greenville sc,0,7,9,8,12,8100,65,0.60,0.42,10500000,"informational, transactional",,https://www.homes.com/greenville-sc/,https://www.century21.com/real-estate/greenville-sc/LCSCGREENVILLE/,https://www.coldwellbanker.com/for-sale-homes/Greenville-SC-14123c,https://www.sothebysrealty.com/eng/sales/greenville-sc-usa
homes for sale in kentucky,0,6,4,30,10,8100,73,0.35,0.24,36900000,"informational, transactional",,https://www.homes.com/kentucky/,https://www.century21.com/real-estate/kentucky/LSKY/,https://www.coldwellbanker.com/kentucky-real-estate-brokers?src=hp,https://www.sothebysrealty.com/eng/sales/ky-usa
homes for sale in knoxville tn,0,7,9,10,12,8100,68,0.40,0.34,7880000,"informational, transactional",,https://www.homes.com/knoxville-tn/,https://www.century21.com/real-estate/knoxville-tn/LCTNKNOXVILLE/,https://www.coldwellbanker.com/for-sale-homes/Knoxville-TN-15350c,https://www.sothebysrealty.com/eng/sales/knoxville-tn-usa
homes for sale in naples florida,0,8,10,14,11,8100,72,0.71,0.41,8660000,"informational, transactional",,https://www.homes.com/naples-fl/,https://www.century21.com/real-estate/naples-fl/LCFLNAPLES/,https://www.coldwellbanker.com/for-sale-homes/Naples-FL-6025c,https://www.sothebysrealty.com/eng/sales/naples-fl-usa
homes for sale in nh,0,10,5,24,15,8100,72,0.29,0.21,31800000,"informational, transactional",,https://www.homes.com/new-hampshire/,https://www.century21.com/real-estate/new-hampshire/LSNH/,https://www.coldwellbanker.com/for-sale-homes/Lebanon-NH-15611c,https://www.sothebysrealty.com/eng/sales/nh-usa
homes for sale in prescott az,0,7,9,11,15,8100,67,0.43,0.4,4240000,"informational, transactional",,https://www.homes.com/prescott-az/,https://www.century21.com/real-estate/prescott-az/LCAZPRESCOTT/,https://www.coldwellbanker.com/for-sale-homes/Prescott-AZ-7244c,https://www.sothebysrealty.com/eng/sales/prescott-az-usa
homes for sale in virginia,0,4,5,47,9,8100,69,0.90,0.3,89000000,"informational, transactional",,https://www.homes.com/virginia/,https://www.century21.com/real-estate/virginia/LSVA/,https://www.coldwellbanker.com/virginia-real-estate-brokers?src=hp,https://www.sothebysrealty.com/eng/sales/va-usa
homes for sale in wyoming,0,9,4,17,8,8100,68,0.27,0.26,19500000,"informational, transactional",,https://www.homes.com/wyoming/,https://www.century21.com/real-estate/wyoming/LSWY/,https://www.coldwellbanker.com/for-sale-homes/Wyoming-OH-9929c,https://www.sothebysrealty.com/eng/sales/wy-usa
homes for sale indianapolis,0,6,9,17,14,8100,71,0.68,0.29,100,"informational, transactional",,https://www.homes.com/indianapolis-in/,https://www.century21.com/real-estate/indianapolis-in/LCININDIANAPOLIS/,https://www.coldwellbanker.com/for-sale-homes/Indianapolis-IN-22463c,https://www.sothebysrealty.com/eng/sales/indianapolis-in-usa
homes for sale jacksonville fl,0,7,9,12,13,8100,71,0.76,0.4,13700000,"informational, transactional",,https://www.homes.com/jacksonville-fl/,https://www.century21.com/real-estate/jacksonville-fl/LCFLJACKSONVILLE/,https://www.coldwellbanker.com/for-sale-homes/Jacksonville-FL-373c,https://www.sothebysrealty.com/eng/sales/jacksonville-fl-usa
homes for sale montana,0,7,4,92,8,8100,70,0.24,0.3,32900000,"informational, transactional",,https://www.homes.com/montana/,https://www.century21.com/real-estate/montana/LSMT/,https://www.coldwellbanker.com/,https://www.sothebysrealty.com/eng/sales/mt-usa
homes for sale raleigh nc,0,8,9,20,12,8100,72,0.75,0.36,11700000,"informational, transactional",,https://www.homes.com/raleigh-nc/,https://www.century21.com/real-estate/raleigh-nc/LCNCRALEIGH/,https://www.coldwellbanker.com/for-sale-homes/Raleigh-NC-128c,https://www.sothebysrealty.com/eng/sales/raleigh-nc-usa
homes for sale san diego,0,6,7,15,16,8100,66,0.79,0.35,44400000,"informational, transactional",,https://www.homes.com/san-diego-ca/,https://www.century21.com/real-estate/san-diego-ca/LCCASANDIEGO/,https://www.coldwellbanker.com/for-sale-homes/San-Diego-CA-246c,https://www.sothebysrealty.com/eng/sales/san-diego-ca-usa
homes for sale tennessee,0,5,4,64,13,8100,71,0.39,0.3,95,"informational, transactional",,https://www.homes.com/tennessee/,https://www.century21.com/real-estate/tennessee/LSTN/,https://www.coldwellbanker.com/,https://www.sothebysrealty.com/eng/sales/tn-usa
homes for sale texas,0,7,5,30,16,8100,70,0.51,0.34,193000000,"informational, transactional",,https://www.homes.com/texas/,https://www.century21.com/real-estate/texas/LSTX/,https://www.coldwellbanker.com/for-sale-homes/Texas-City-TX-8889c,https://www.sothebysrealty.com/eng/sales/tx-usa
homes for sale wilmington nc,0,7,9,11,16,8100,66,0.39,0.34,9650000,"informational, transactional",,https://www.homes.com/wilmington-nc/,https://www.century21.com/real-estate/wilmington-nc/LCNCWILMINGTON/,https://www.coldwellbanker.com/for-sale-homes/Wilmington-NC-20795c,https://www.sothebysrealty.com/eng/sales/wilmington-nc-usa
houses for sale florida,0,6,5,66,12,8100,77,0.60,0.38,172000000,"informational, transactional",,https://www.homes.com/florida/,https://www.century21.com/real-estate/florida/LSFL/,https://www.coldwellbanker.com/,https://www.sothebysrealty.com/eng/sales/fl-usa
houses for sale houston,0,7,9,27,14,8100,87,0.69,0.41,84,"informational, transactional",,https://www.homes.com/houston-tx/,https://www.century21.com/real-estate/houston-tx/LCTXHOUSTON/,https://www.coldwellbanker.com/for-sale-homes/Houston-TX-4206c,https://www.sothebysrealty.com/eng/sales/houston-tx-usa
houses for sale in bakersfield,0,7,8,9,17,8100,74,0.33,0.35,7860000,"informational, transactional",,https://www.homes.com/bakersfield-ca/,https://www.century21.com/real-estate/bakersfield-ca/LCCABAKERSFIELD/,https://www.coldwellbanker.com/for-sale-homes/Bakersfield-CA-868c,https://www.sothebysrealty.com/eng/sales/bakersfield-ca-usa
houses for sale in colorado,0,9,8,18,12,8100,75,0.91,0.38,67300000,"informational, transactional",,https://www.homes.com/colorado/,https://www.century21.com/real-estate/colorado/LSCO/,https://www.coldwellbanker.com/for-sale-homes/Colorado-Springs-CO-2160c,https://www.sothebysrealty.com/eng/sales/co-usa
houses for sale in colorado springs,0,8,9,10,19,8100,70,1.72,0.42,23400000,"informational, transactional",,https://www.homes.com/colorado-springs-co/,https://www.century21.com/real-estate/colorado-springs-co/LCCOCOLORADOSPRINGS/,https://www.coldwellbanker.com/for-sale-homes/Colorado-Springs-CO-2160c,https://www.sothebysrealty.com/eng/sales/colorado-springs-co-usa
houses for sale in delaware,0,6,5,34,13,8100,70,0.42,0.38,29500000,"informational, transactional",,https://www.homes.com/delaware/,https://www.century21.com/real-estate/delaware/LSDE/,https://www.coldwellbanker.com/delaware-real-estate-brokers?src=hp,https://www.sothebysrealty.com/eng/sales/de-usa
houses for sale in montana,0,7,4,22,8,8100,68,0.30,0.33,24500000,"informational, transactional",,https://www.homes.com/montana/,https://www.century21.com/real-estate/montana/LSMT/,https://www.coldwellbanker.com/for-sale-homes/Montana-Great-Falls-MT-869114s,https://www.sothebysrealty.com/eng/sales/mt-usa
houses for sale lexington ky,0,6,8,9,13,8100,68,0.46,0.28,7630000,"informational, transactional",,https://www.homes.com/lexington-ky/,https://www.century21.com/real-estate/lexington-ky/LCKYLEXINGTON/,https://www.coldwellbanker.com/for-sale-homes/Lexington-KY-22727c,https://www.sothebysrealty.com/eng/sales/lexington-ky-usa
land for sale florida,0,36,9,94,30,8100,64,0.32,0.42,305000000,"informational, transactional",,https://www.homes.com/florida/land-for-sale/,https://www.century21.com/real-estate/florida/LSFL/?pt=4,https://www.coldwellbanker.com/,https://www.sothebysrealty.com/eng/sales/fl-usa
land for sale in wyoming,0,24,20,56,25,8100,69,0.15,0.34,27400000,"informational, transactional",,https://www.homes.com/gillette-wy/land-for-sale/,https://www.century21.com/real-estate/wyoming/LSWY/?pt=4,https://www.coldwellbanker.com/wyoming-real-estate-brokers?src=hp,https://www.sothebysrealty.com/eng/sales/wy-usa
odessa florida,0,91,98,37,28,8100,54,0.43,0.01,34200000,informational,,https://www.homes.com/odessa-fl/,https://www.century21.com/real-estate/odessa-fl/LCFLODESSA/,https://www.coldwellbanker.com/for-sale-homes/Odessa-FL-6497c,https://www.sothebysrealty.com/eng/sales/odessa-fl-usa
real state,0,58,6,5,48,8100,100,1.15,0.15,2920000000,commercial,,https://www.homes.com/,https://www.century21.com/,https://www.coldwellbanker.com/,https://www.sothebysrealty.com/eng
realty companies near me,0,64,12,3,85,8100,94,4.14,0.46,1660000000,transactional,,https://www.homes.com/,https://www.century21.com/,https://www.coldwellbanker.com/,https://www.sothebysrealty.com/eng
san antonio homes for sale,0,7,8,13,15,8100,69,1.06,0.4,93,"informational, transactional",,https://www.homes.com/san-antonio-tx/,https://www.century21.com/real-estate/san-antonio-tx/LCTXSANANTONIO/,https://www.coldwellbanker.com/for-sale-homes/San-Antonio-TX-7921c,https://www.sothebysrealty.com/eng/sales/san-antonio-tx-usa
tennessee real estate,0,7,4,53,19,8100,75,0.40,0.29,404000000,informational,,https://www.homes.com/tennessee/,https://www.century21.com/real-estate/tennessee/LSTN/,https://www.coldwellbanker.com/tennessee-real-estate-brokers,https://www.sothebysrealty.com/eng/sales/tn-usa
utah homes for sale,0,9,8,38,10,8100,72,1.07,0.38,52500000,"informational, transactional",,https://www.homes.com/utah/houses-for-sale/,https://www.century21.com/real-estate/utah/LSUT/,https://www.coldwellbanker.com/for-sale-homes/Hatch-UT-45665c,https://www.sothebysrealty.com/eng/sales/ut-usa
vermont real estate,0,71,5,36,12,8100,66,0.28,0.24,95600000,informational,,https://www.homes.com/sitemap/vermont/,https://www.century21.com/real-estate/vermont/LSVT/,https://www.coldwellbanker.com/vermont-real-estate-brokers?src=hp,https://www.sothebysrealty.com/eng/sales/vt-usa
zillow south carolina,0,12,11,21,13,8100,83,0.30,0.17,54,navigational,,https://www.homes.com/south-carolina/,https://www.century21.com/real-estate/south-carolina/LSSC/,https://www.coldwellbanker.com/,https://www.sothebysrealty.com/eng/sales/sc-usa
alaska real estate,0,14,4,33,20,6600,72,0.39,0.21,215000000,informational,,https://www.homes.com/alaska/,https://www.century21.com/real-estate/alaska/LSAK/,https://www.coldwellbanker.com/for-sale-homes/Anchorage-AK-10251c,https://www.sothebysrealty.com/eng/sales/ak-usa
asheville nc homes for sale,0,10,16,20,13,6600,69,0.29,0.37,90,"informational, transactional",,https://www.homes.com/asheville-nc/,https://www.century21.com/real-estate/asheville-nc/LCNCASHEVILLE/,https://www.coldwellbanker.com/for-sale-homes/Asheville-NC-10393c,https://www.sothebysrealty.com/eng/sales/asheville-nc-usa
atlanta homes for sale,0,6,8,61,13,6600,76,0.70,0.37,89,"informational, transactional",,https://www.homes.com/atlanta-ga/,https://www.century21.com/real-estate/atlanta-ga/LCGAATLANTA/,https://www.coldwellbanker.com/for-sale-homes/Atlanta-GA-776c,https://www.sothebysrealty.com/eng/sales/atlanta-ga-usa
austin homes for sale,0,6,9,42,12,6600,71,0.94,0.39,57800000,"informational, transactional",,https://www.homes.com/austin-tx/,https://www.century21.com/real-estate/austin-tx/LCTXAUSTIN/,https://www.coldwellbanker.com/for-sale-homes/Austin-TX-35c,https://www.sothebysrealty.com/eng/sales/austin-tx-usa
beach houses for sale,0,22,42,70,4,6600,73,0.54,0.39,261000000,"informational, transactional",,https://www.homes.com/delray-beach-fl/,https://www.century21.com/real-estate/beverley-beach-md/LCMDBEVERLEYBEACH/?pt=1&s=20,https://www.coldwellbanker.com/,https://www.sothebysrealty.com/eng/sales/int/ocean-beach-lstyle
cape coral homes for sale,0,7,8,17,14,6600,68,0.48,0.43,7130000,"informational, transactional",,https://www.homes.com/cape-coral-fl/,https://www.century21.com/real-estate/cape-coral-fl/LCFLCAPECORAL/,https://www.coldwellbanker.com/for-sale-homes/Cape-Coral-FL-1690c,https://www.sothebysrealty.com/monument/eng/sales/cape-coral-fl-usa
colorado real estate,0,31,8,99,13,6600,74,0.76,0.31,254000000,informational,,https://www.homes.com/colorado/,https://www.century21.com/real-estate/colorado/LSCO/,https://www.coldwellbanker.com/for-sale-homes/Colorado-Springs-CO-2160c,https://www.sothebysrealty.com/eng/sales/co-usa
condos for sale in naples florida,0,8,35,12,34,6600,67,0.80,0.48,87,"informational, transactional",,https://www.homes.com/naples-fl/34102/condos-for-sale/,https://www.century21.com/real-estate/naples-fl-34109/LZ34109/?pt=2,https://www.coldwellbanker.com/for-sale-homes/Naples-FL-6025c/propertytype_CONDO,https://www.sothebysrealty.com/eng/sales/naples-fl-usa
