Keyword,homelight.com,themortgagereports.com,quickenloans.com,bhhs.com,upnest.com,Search Volume,Keyword Difficulty,CPC,Competition,Results,Keyword Intents,homelight.com (pages),themortgagereports.com (pages),quickenloans.com (pages),bhhs.com (pages),upnest.com (pages)
home depot carpet,30,0,0,0,0,27100,68,3.16,1,82,"informational, transactional",https://www.homelight.com/blog/how-much-does-it-cost-to-carpet-a-10x12-room/,,,,
house flipper,79,0,0,0,0,27100,66,1.73,0.34,10700000,"informational, transactional",https://www.homelight.com/blog/sell-house-to-flipper/,,,,
how to clean dishwasher,88,0,0,0,0,27100,76,0.52,0.68,0,informational,https://www.homelight.com/blog/how-to-deep-clean-dishwasher/,,,,
new construction homes,16,0,0,0,0,27100,95,1.49,0.32,82,navigational,https://www.homelight.com/blog/buyer-new-construction-home-buying-process/,,,,
nextdoor neighbor,29,0,0,0,0,27100,87,0.07,0.1,52,"informational, navigational",https://www.homelight.com/blog/selling-a-house-on-nextdoor/,,,,
paint colors,75,0,0,0,0,27100,85,0.49,1,542000000,"commercial, informational",https://www.homelight.com/blog/best-paint-colors-for-selling-a-house/,,,,
realitor,26,0,0,0,0,27100,100,1.12,0.16,266000000,navigational,https://www.homelight.com/blog/find-a-realtor/,,,,
shelley ross,43,0,0,0,0,27100,54,0.00,0,14500000,"informational, transactional",https://www.homelight.com/agents/shelley-ross-la,,,,
small bathroom remodel,49,0,0,0,0,27100,79,4.38,1,46400000,informational,https://www.homelight.com/blog/5x7-bathroom-remodel-cost/,,,,
closing time,97,0,0,0,0,22200,66,0.00,0,18230000000,"informational, transactional",https://www.homelight.com/blog/how-long-does-closing-take/,,,,
fireplace ideas,93,0,0,0,0,22200,71,0.45,1,469000000,informational,https://www.homelight.com/blog/fireplace-ideas/,,,,
gray color,81,0,0,0,0,22200,71,0.16,0.15,9740000000,commercial,https://www.homelight.com/blog/is-gray-paint-going-out-of-style/,,,,
housewarming gift ideas,95,0,0,0,0,22200,71,0.37,1,16900000,informational,https://www.homelight.com/blog/buyer-housewarming-party-gifts/,,,,
kitchen home improvement,68,0,0,0,0,22200,86,3.43,0.67,300000000,informational,https://www.homelight.com/blog/how-much-to-remodel-a-kitchen/,,,,
kitchenette,66,0,0,0,0,22200,59,0.51,1,70200000,informational,https://www.homelight.com/blog/kitchenette/,,,,
loft apartments,72,0,0,0,0,22200,77,0.69,0.09,126000000,"navigational, transactional",https://www.homelight.com/blog/buyer-what-is-a-loft-apartment/,,,,
time in nashville,67,0,0,0,0,22200,45,0.00,0,676000000,informational,https://www.homelight.com/best-time-to-sell-house/nashville-tn,,,,
to the window to the wall,58,0,0,0,0,22200,39,5.28,0,1420000000,"informational, transactional",https://www.homelight.com/blog/cost-to-add-a-window/,,,,
backyard patio ideas,80,0,0,0,0,18100,72,1.48,1,84400000,informational,https://www.homelight.com/blog/backyard-patio-ideas/,,,,
bed in a bag,76,0,0,0,0,18100,72,1.15,1,861000000,transactional,https://www.homelight.com/blog/how-to-stage-a-bed/,,,,
bed skirt,17,0,0,0,0,18100,69,0.86,1,239000000,"informational, transactional",https://www.homelight.com/blog/are-bed-skirts-out-of-style/,,,,
brittany mcgraw,35,0,0,0,0,18100,21,0.00,0,2010000,informational,https://www.homelight.com/agents/brittany-mcgraw-ga-395989,,,,
houses for rent by owner,24,0,0,0,0,18100,75,0.73,0.26,85,informational,https://www.homelight.com/blog/buyer-how-to-rent-your-house/,,,,
how to clean a dishwasher,86,0,0,0,0,18100,69,0.52,0.68,80100000,informational,https://www.homelight.com/blog/how-to-deep-clean-dishwasher/,,,,
laurie murray,43,0,0,0,0,18100,39,0.00,0,10800000,informational,https://www.homelight.com/agents/laurie-murray-ct-res0769103,,,,
lis pendens,41,0,0,0,0,18100,58,0.39,0.05,866000,informational,https://www.homelight.com/blog/can-you-sell-a-house-with-a-lis-pendens/,,,,
master bedroom,3,0,0,0,0,18100,70,2.16,1,420000000,informational,https://www.homelight.com/blog/buyer-master-bedroom/,,,,
mls real estate,65,0,0,0,0,18100,95,0.79,0.24,55800000,"informational, navigational",https://www.homelight.com/blog/buyer-what-is-the-mls-multiple-listing-service/,,,,
open house near me,15,0,0,0,0,18100,53,0.69,0.34,75,"informational, transactional",https://www.homelight.com/blog/buyer-how-to-find-open-houses/,,,,
ranch style house,46,0,0,0,0,18100,60,0.60,1,543000000,"commercial, informational",https://www.homelight.com/blog/buyer-what-is-a-ranch-house/,,,,
screened in porch,9,0,0,0,0,18100,68,2.20,1,113000000,commercial,https://www.homelight.com/blog/cost-to-add-a-screened-in-porch/,,,,
screened in porch ideas,66,0,0,0,0,18100,59,2.03,1,186000000,informational,https://www.homelight.com/blog/cost-to-add-a-screened-in-porch/,,,,
seller,86,0,0,0,0,18100,100,1.52,0.04,2050000000,navigational,https://www.homelight.com/blog/,,,,
shiplap walls,83,0,0,0,0,18100,70,0.50,1,15300000,informational,https://www.homelight.com/blog/shiplap/,,,,
subway tile backsplash,95,0,0,0,0,18100,44,0.84,1,12100000,"commercial, informational",https://www.homelight.com/blog/are-subway-tiles-out-of-style/,,,,
what percentage,51,0,0,0,0,18100,87,0.00,0,7980000000,informational,https://www.homelight.com/blog/what-percentage-do-realtors-make/,,,,
basement ideas,52,0,0,0,0,14800,62,1.70,0.85,282000000,informational,https://www.homelight.com/blog/basement-design-ideas/,,,,
calculate square footage,49,0,0,0,0,14800,78,1.14,0,178000000,informational,https://www.homelight.com/blog/buyer-how-to-calculate-price-per-square-foot/,,,,
cross country movers,39,0,0,0,0,14800,74,31.67,0.71,1570000000,commercial,https://www.homelight.com/blog/buyer-how-to-move-across-the-country/,,,,
disparate impact,86,0,0,0,0,14800,68,1.34,0.01,87000000,informational,https://www.homelight.com/blog/buyer-what-is-disparate-impact/,,,,
gated community,3,0,0,0,0,14800,57,1.06,0.02,102000000,commercial,https://www.homelight.com/blog/buyer-what-is-a-gated-community/,,,,
how to measure square feet,57,0,0,0,0,14800,76,0.25,0.05,161000000,informational,https://www.homelight.com/blog/how-to-measure-square-footage-of-a-house/,,,,
karen friedman hill,93,0,0,0,0,14800,44,0.00,0,4570000,informational,https://www.homelight.com/agents/karen-friedman-md-3015916,,,,
kim.mollicone,65,0,0,0,0,14800,18,0.00,0.01,68300,informational,https://www.homelight.com/states/mi/warren-mi,,,,
kitchen renovation,95,0,0,0,0,14800,80,5.98,0.37,153000000,commercial,https://www.homelight.com/blog/how-much-to-remodel-a-kitchen/,,,,
laurie mcgregor,27,0,0,0,0,14800,44,0.00,0,4180000,informational,https://www.homelight.com/agents/laurie-mcgregor-mo-2001026891,,,,
loft apartment,14,0,0,0,0,14800,60,0.69,0.09,153000000,"commercial, informational",https://www.homelight.com/blog/buyer-what-is-a-loft-apartment/,,,,
moving on quotes,85,0,0,0,0,14800,57,5.36,0.12,2040000000,informational,https://www.homelight.com/blog/moving-quotes/,,,,
out back,87,0,0,0,0,14800,79,0.66,0.1,17700000000,navigational,https://www.homelight.com/blog/can-seller-back-out-real-estate-contract/,,,,
probate attorney,26,0,0,0,0,14800,59,9.61,0.25,133000000,commercial,https://www.homelight.com/blog/what-is-a-probate-attorney/,,,,
pupel,37,0,0,0,0,14800,19,2.72,0,337000,informational,https://www.homelight.com/agents/kitt-pupel-tn-273238,,,,
redfin real estate,15,0,0,0,0,14800,75,1.06,0.28,75,navigational,https://www.homelight.com/blog/redfin-reviews/,,,,
selling,73,0,0,0,0,14800,81,1.52,0.04,11330000000,informational,https://www.homelight.com/blog/guide-how-to-sell-a-house/,,,,
shed house,76,0,0,0,0,14800,63,0.89,1,1330000000,"informational, transactional",https://www.homelight.com/blog/does-a-shed-increase-home-value/,,,,
sherwin williams agreeable gray,77,0,0,0,0,14800,63,0.48,1,348000,"commercial, informational",https://www.homelight.com/blog/is-gray-paint-going-out-of-style/,,,,
ship lap,82,0,0,0,0,14800,66,0.51,1,19000000,informational,https://www.homelight.com/blog/shiplap/,,,,
skylights,89,0,0,0,0,14800,76,1.94,1,0,commercial,https://www.homelight.com/blog/do-skylights-increase-home-value/,,,,
time atlanta ga,77,0,0,0,0,14800,52,0.00,0,567000000,informational,https://www.homelight.com/best-time-to-sell-house/atlanta-ga,,,,
time in austin tx,71,0,0,0,0,14800,49,0.00,0,595000000,informational,https://www.homelight.com/best-time-to-sell-house/austin-tx,,,,
what time is it in austin texas,82,0,0,0,0,14800,54,0.00,0,675000000,informational,https://www.homelight.com/best-time-to-sell-house/austin-tx,,,,
2 story house,57,0,0,0,0,12100,53,1.29,1,9670000000,"commercial, informational",https://www.homelight.com/blog/cost-to-add-a-second-story/,,,,
appraisal definition,7,0,0,0,0,12100,64,1.15,0.01,689000000,informational,https://www.homelight.com/blog/appraisal-definition/,,,,
appraisers near me,8,0,0,0,0,12100,74,3.40,0.29,305000000,transactional,https://www.homelight.com/blog/appraisers-near-me/,,,,
bathroom remodels,91,0,0,0,0,12100,89,8.60,0.97,6830000,commercial,https://www.homelight.com/blog/does-a-bathroom-remodel-increase-home-value/,,,,
built in bookshelves,55,0,0,0,0,12100,62,2.11,1,275000000,informational,https://www.homelight.com/blog/do-built-in-bookshelves-add-value/,,,,
certificate of occupancy,9,0,0,0,0,12100,74,3.64,0.01,33000000,informational,https://www.homelight.com/blog/certificate-of-occupancy/,,,,
cheap houses for sale,14,0,0,0,0,12100,79,0.65,0.48,68,transactional,https://www.homelight.com/blog/buyer-how-to-find-cheap-houses-to-buy/,,,,
closing costs calculator,47,0,0,0,0,12100,69,1.48,0.34,160000000,informational,https://www.homelight.com/closing-costs-calculator,,,,
deck stain,80,0,0,0,0,12100,70,1.20,1,74900000,commercial,https://www.homelight.com/blog/how-to-stain-a-deck/,,,,
double sink vanity,63,0,0,0,0,12100,68,1.13,1,30600000,"informational, transactional",https://www.homelight.com/blog/add-double-sink-vanity/,,,,
finished basement ideas,46,0,0,0,0,12100,69,2.49,0.29,141000000,informational,https://www.homelight.com/blog/basement-design-ideas/,,,,
fire damage,20,0,0,0,0,12100,56,14.86,0.05,669000000,commercial,https://www.homelight.com/blog/selling-a-house-with-fire-damage/,,,,
gated communities,6,0,0,0,0,12100,63,1.06,0.02,34800000,"commercial, informational",https://www.homelight.com/blog/buyer-what-is-a-gated-community/,,,,
homes for sale in north carolina,49,0,0,0,0,12100,71,0.50,0.32,101000000,"informational, transactional",https://www.homelight.com/states/nc/homes-for-sale,,,,
how much does it cost,7,0,0,0,0,12100,85,2.61,0,10730000000,informational,https://www.homelight.com/blog/buyer-how-much-does-it-cost-to-build-a-house/,,,,
karen mccollum,61,0,0,0,0,12100,35,0.00,0,3060000,informational,https://www.homelight.com/agents/karen-mccollum-fl-3351767,,,,
kim delany,40,0,0,0,0,12100,45,0.00,0,2100000,informational,https://www.homelight.com/agents/kim-delany-wa-37592,,,,
kitchen remodel cost,9,0,0,0,0,12100,75,3.18,0.52,39100000,informational,https://www.homelight.com/blog/how-much-to-remodel-a-kitchen/,,,,
money pit,45,0,0,0,0,12100,68,0.00,0,340000000,"informational, transactional",https://www.homelight.com/blog/buyer-money-pit-how-much-it-cost/,,,,
new construction,19,0,0,0,0,12100,94,1.60,0.16,2630000000,commercial,https://www.homelight.com/blog/buyer-new-construction-home-buying-process/,,,,
new home construction,44,0,0,0,0,12100,100,1.49,0.32,13140000000,commercial,https://www.homelight.com/blog/buyer-new-construction-home-buying-process/,,,,
north carolina homes for sale,43,0,0,0,0,12100,71,0.50,0.32,96,"informational, transactional",https://www.homelight.com/states/nc/homes-for-sale,,,,
painter near me,71,0,0,0,0,12100,75,7.68,0.45,3200000000,transactional,https://www.homelight.com/blog/find-house-painters/,,,,
powder room ideas,48,0,0,0,0,12100,63,1.21,1,347000000,informational,https://www.homelight.com/blog/powder-room-ideas/,,,,
refinishing hardwood floors,35,0,0,0,0,12100,74,3.78,0.41,5210000,commercial,https://www.homelight.com/blog/cost-to-refinish-hardwood-floors/,,,,
remodel bathroom,30,0,0,0,0,12100,89,8.60,0.97,223000000,informational,https://www.homelight.com/blog/does-a-bathroom-remodel-increase-home-value/,,,,
rent a house near me,20,0,0,0,0,12100,99,0.43,0.35,70,"informational, transactional",https://www.homelight.com/blog/buyer-how-to-find-rental-homes/,,,,
roof inspection,27,0,0,0,0,12100,59,11.66,0.39,85000000,"commercial, informational",https://www.homelight.com/blog/roof-inspection/,,,,
roof replacement cost,16,0,0,0,0,12100,82,7.83,0.52,0,informational,https://www.homelight.com/blog/how-much-does-it-cost-to-replace-a-roof/,,,,
screen porch,35,0,0,0,0,12100,75,2.20,1,104000000,"commercial, informational",https://www.homelight.com/blog/cost-to-add-a-screened-in-porch/,,,,
security systems homes,96,0,0,0,0,12100,91,20.32,1,3610000000,commercial,https://www.homelight.com/blog/does-adding-a-security-system-increase-home-value/,,,,
stigmatized,59,0,0,0,0,12100,51,0.00,0,63300000,informational,https://www.homelight.com/blog/what-is-a-stigmatized-property/,,,,
termites in house,67,0,0,0,0,12100,70,5.90,0.05,0,informational,https://www.homelight.com/blog/selling-a-house-with-termite-damage/,,,,
the money pit,45,0,0,0,0,12100,72,0.69,0,341000000,"informational, transactional",https://www.homelight.com/blog/buyer-money-pit-how-much-it-cost/,,,,
tucson az time,64,0,0,0,0,12100,44,0.00,0,182000000,informational,https://www.homelight.com/best-time-to-sell-house/tucson-az,,,,
valance curtains,51,0,0,0,0,12100,74,0.87,1,951000000,"informational, transactional",https://www.homelight.com/blog/are-valences-out-of-style/,,,,
wainscot,63,0,0,0,0,12100,62,0.54,1,15500000,informational,https://www.homelight.com/blog/what-is-wainscoting/,,,,
water closet,11,0,0,0,0,12100,52,2.62,0.11,222000000,informational,https://www.homelight.com/blog/buyer-what-is-a-water-closet/,,,,
window valances,47,0,0,0,0,12100,78,0.97,1,11100000,commercial,https://www.homelight.com/blog/are-valences-out-of-style/,,,,
auction houses near me,63,0,0,0,0,9900,98,0.83,0.34,127000000,transactional,https://www.homelight.com/blog/buyer-how-to-buy-a-house-at-auction-without-cash/,,,,
basement remodel,10,0,0,0,0,9900,72,5.74,0.11,18800000,commercial,https://www.homelight.com/blog/average-cost-of-basement-remodel/,,,,
basement remodeling,9,0,0,0,0,9900,71,5.74,0.11,22100000,commercial,https://www.homelight.com/blog/average-cost-of-basement-remodel/,,,,
bedroom colors,57,0,0,0,0,9900,75,0.53,1,929000000,"commercial, informational",https://www.homelight.com/blog/best-bedroom-colors-to-sell-a-house/,,,,
bedroom paint colors,69,0,0,0,0,9900,73,0.54,1,301000000,"commercial, informational",https://www.homelight.com/blog/best-bedroom-colors-to-sell-a-house/,,,,
best way to invest money,65,0,0,0,0,9900,81,3.57,0.39,745000000,commercial,https://www.homelight.com/blog/buyer-investments-to-save-for-a-house/,,,,
brenda bakke,64,0,0,0,0,9900,43,0.00,0,523000,informational,https://www.homelight.com/agents/brenda-bakke-ca-01347766,,,,
build a house,61,0,0,0,0,9900,86,1.33,0.55,13180000000,informational,https://www.homelight.com/blog/buyer-how-much-does-it-cost-to-build-a-house/,,,,
colonial style house,25,0,0,0,0,9900,61,0.79,0.84,698000000,informational,https://www.homelight.com/blog/buyer-colonial-home/,,,,
deborah mays,56,0,0,0,0,9900,37,0.00,0,3380000,informational,https://www.homelight.com/agents/deborah-mays-tn-210876,,,,
earthship homes,50,0,0,0,0,9900,62,1.81,0.01,1920000,"informational, transactional",https://www.homelight.com/blog/buyer-earthship-home/,,,,
egress windows,17,0,0,0,0,9900,59,3.35,1,9130000,commercial,https://www.homelight.com/blog/how-much-value-does-an-egress-window-add/,,,,
flyhomes,22,0,0,0,0,9900,69,3.88,0.24,2910000,navigational,https://www.homelight.com/blog/flyhomes-review/,,,,
home inspector near me,57,0,0,0,0,9900,71,5.15,0.3,511000000,transactional,https://www.homelight.com/blog/free-home-inspection/,,,,
home staging,90,0,0,0,0,9900,82,2.15,0.18,336000000,informational,https://www.homelight.com/blog/home-staging-tips-first-timers/,,,,
home values,54,0,0,0,0,9900,92,2.27,0.51,99,navigational,https://www.homelight.com/blog/compare-house-prices/,,,,
homes for sale in n. carolina,62,0,0,0,0,9900,71,0.50,0.32,32200000,"informational, transactional",https://www.homelight.com/blog/selling-a-house-as-is-in-nc/,,,,
house painters,15,0,0,0,0,9900,75,4.28,0.66,1380000000,commercial,https://www.homelight.com/blog/find-house-painters/,,,,
houses for sale in north carolina,69,0,0,0,0,9900,71,0.54,0.35,72500000,"informational, transactional",https://www.homelight.com/states/nc/homes-for-sale,,,,
how long does it take to build a house,84,0,0,0,0,9900,54,1.87,0.03,0,informational,https://www.homelight.com/blog/buyer-how-much-does-it-cost-to-build-a-house/,,,,
how to clean hardwood floors,95,0,0,0,0,9900,74,1.05,1,23500000,informational,https://www.homelight.com/blog/how-to-deep-clean-hardwood-floors/,,,,
how to fix,52,0,0,0,0,9900,57,0.78,0,12690000000,informational,https://www.homelight.com/blog/what-to-fix-before-selling-a-house/,,,,
kitchen island table,18,0,0,0,0,9900,73,0.90,1,275000000,"informational, transactional",https://www.homelight.com/blog/kitchen-island-with-built-in-table/,,,,
kitchen remodels,92,0,0,0,0,9900,87,5.89,0.4,9220000,commercial,https://www.homelight.com/blog/how-much-to-remodel-a-kitchen/,,,,
mitch myers,44,0,0,0,0,9900,40,0.00,0,5090000,informational,https://www.homelight.com/agents/mitch-myers-co-er101848,,,,
modern interior design,81,0,0,0,0,9900,67,2.01,1,833000000,commercial,https://www.homelight.com/blog/modern-interior-design/,,,,
philadelphia time,58,0,0,0,0,9900,49,0.81,0,1110000000,informational,https://www.homelight.com/best-time-to-sell-house/philadelphia-pa,,,,
realtor mn,31,0,0,0,0,9900,78,1.41,0.27,77,"navigational, transactional",https://www.homelight.com/minneapolis-mn/top-real-estate-agents,,,,
reltor,28,0,0,0,0,9900,94,1.12,0.16,242000000,navigational,https://www.homelight.com/blog/find-a-realtor/,,,,
remodel a small bathroom,37,0,0,0,0,9900,71,4.38,1,32100000,informational,https://www.homelight.com/blog/5x7-bathroom-remodel-cost/,,,,
remodel small bathroom,57,0,0,0,0,9900,77,4.38,1,33900000,informational,https://www.homelight.com/blog/5x7-bathroom-remodel-cost/,,,,
remodeling a small bathroom,37,0,0,0,0,9900,77,4.38,1,26900000,informational,https://www.homelight.com/blog/5x7-bathroom-remodel-cost/,,,,
rental places near me,60,0,0,0,0,9900,100,0.56,0.36,82,transactional,https://www.homelight.com/blog/buyer-how-to-find-rental-homes/,,,,
rental realtors near me,24,0,0,0,0,9900,100,1.83,0.33,69,transactional,https://www.homelight.com/blog/buyer-how-to-find-rental-homes/,,,,
sarah lin real estate,14,0,0,0,0,9900,34,0.00,0,84,"informational, transactional",https://www.homelight.com/agents/sarah-lin-ca-01485177,,,,
septic tank pumped,8,0,0,0,0,9900,65,5.07,0.49,0,"commercial, informational",https://www.homelight.com/blog/how-much-does-it-cost-to-pump-a-septic-tank/,,,,
solar panels for homes,90,0,0,0,0,9900,89,6.69,1,270000000,informational,https://www.homelight.com/blog/selling-a-house-with-solar-panels/,,,,
subway tiles,66,0,0,0,0,9900,62,0.76,1,26400000,informational,https://www.homelight.com/blog/are-subway-tiles-out-of-style/,,,,
suzi espinoza realtor,21,0,0,0,0,9900,19,0.00,0,61,informational,https://www.homelight.com/phoenix-az/agents,,,,
tankless electric water heaters,98,0,0,0,0,9900,74,1.20,1,5490000,commercial,https://www.homelight.com/blog/tankless-water-heater-pros-and-cons/,,,,
the color gray,94,0,0,0,0,9900,71,0.03,0.03,8200000000,"commercial, informational",https://www.homelight.com/blog/is-gray-paint-going-out-of-style/,,,,
trade in,85,0,0,0,0,9900,80,1.30,0.12,4910000000,commercial,https://www.homelight.com/trade-in,,,,
truilia,70,0,0,0,0,9900,89,1.10,0.02,75,navigational,https://www.homelight.com/blog/best-real-estate-websites/,,,,
tucson time,70,0,0,0,0,9900,51,0.00,0,390000000,informational,https://www.homelight.com/best-time-to-sell-house/tucson-az,,,,
undeveloped land for sale,29,0,0,0,0,9900,39,0.42,0.17,75,transactional,https://www.homelight.com/blog/land-appraisals/,,,,
valances,70,0,0,0,0,9900,79,1.55,1,51000000,commercial,https://www.homelight.com/blog/are-valences-out-of-style/,,,,
wainscotting,47,0,0,0,0,9900,67,0.70,1,5610000,informational,https://www.homelight.com/blog/what-is-wainscoting/,,,,
what i sold,52,0,0,0,0,9900,47,5.40,0,3040000000,informational,https://www.homelight.com/blog/how-to-sell-a-house-as-is/,,,,
32789,52,0,0,0,0,8100,52,0.29,0,3260000,informational,https://www.homelight.com/32789-fl/sold,,,,
back yard patio ideas,91,0,0,0,0,8100,73,1.48,1,110000000,informational,https://www.homelight.com/blog/backyard-patio-ideas/,,,,
backyard lighting ideas,55,0,0,0,0,8100,67,1.30,1,49100000,informational,https://www.homelight.com/blog/backyard-lighting-ideas/,,,,
basement renovation,16,0,0,0,0,8100,68,4.79,0.12,40100000,"commercial, informational",https://www.homelight.com/blog/average-cost-of-basement-remodel/,,,,
bathroom shiplap,83,0,0,0,0,8100,42,0.97,1,13700000,informational,https://www.homelight.com/blog/shiplap/,,,,
bathtub remodel,60,0,0,0,0,8100,73,8.54,0.74,16200000,commercial,https://www.homelight.com/blog/how-much-to-remodel-a-bathroom/,,,,
bedroom ceiling fans,90,0,0,0,0,8100,50,0.90,1,129000000,commercial,https://www.homelight.com/blog/are-ceiling-fans-out-of-style/,,,,
chase home value estimator,16,0,0,0,0,8100,65,2.26,0.11,56,"navigational, transactional",https://www.homelight.com/blog/free-online-home-value-estimators-compared/,,,,
cindy dunbar,20,0,0,0,0,8100,32,0.00,0,1790000,informational,https://www.homelight.com/agents/cindy-dunbar-ca-01892391,,,,
clean house,76,0,0,0,0,8100,68,3.62,0.1,3650000000,"informational, transactional",https://www.homelight.com/blog/house-cleaning-checklist/,,,,
cleaning hardwood floors,77,0,0,0,0,8100,77,1.05,1,36100000,informational,https://www.homelight.com/blog/how-to-deep-clean-hardwood-floors/,,,,
cost of bathroom remodeling,2,0,0,0,0,8100,76,4.98,1,20400000,informational,https://www.homelight.com/blog/how-much-to-remodel-a-bathroom/,,,,
dead tree,70,0,0,0,0,8100,51,4.19,0.01,1550000000,informational,https://www.homelight.com/blog/selling-a-house-with-a-dead-tree/,,,,
disclosures,27,0,0,0,0,8100,82,0.43,0.02,2540000000,informational,https://www.homelight.com/blog/mandated-disclosures-real-estate/,,,,
driveway ideas,63,0,0,0,0,8100,63,2.03,1,185000000,informational,https://www.homelight.com/blog/diy-driveway/,,,,
electrical inspection,35,0,0,0,0,8100,55,3.68,0.25,156000000,transactional,https://www.homelight.com/blog/electrical-home-inspection/,,,,
finished basement,40,0,0,0,0,8100,69,5.05,0.34,49400000,informational,https://www.homelight.com/blog/how-much-value-does-a-finished-basement-add/,,,,
garage house,55,0,0,0,0,8100,54,1.27,1,773000000,informational,https://www.homelight.com/blog/how-much-does-an-attached-garage-add-to-home-value/,,,,
garage remodel,24,0,0,0,0,8100,46,3.49,0.19,25600000,informational,https://www.homelight.com/blog/garage-remodel/,,,,
gina huynh,55,0,0,0,0,8100,36,0.00,0,1910000,informational,https://www.homelight.com/agents/gina-huynh-nc-0259112,,,,
giselle ramirez,57,0,0,0,0,8100,23,0.00,0,97,informational,https://www.homelight.com/agents/giselle-ramirez-fl-03026713,,,,
grey paint,14,0,0,0,0,8100,59,0.49,1,1450000000,"commercial, informational",https://www.homelight.com/blog/is-gray-paint-going-out-of-style/,,,,
homes for sale el paso tx,47,0,0,0,0,8100,67,0.35,0.4,97,"informational, transactional",https://www.homelight.com/el-paso-tx/top-real-estate-agents,,,,
homes for sale in arizona,90,0,0,0,0,8100,79,0.59,0.35,84500000,"informational, transactional",https://www.homelight.com/arizona-village-az/real-estate-agent-commissions,,,,
homes for sale in franklin tn,46,0,0,0,0,8100,66,0.59,0.35,11500000,"informational, transactional",https://www.homelight.com/best-time-to-sell-house/franklin-tn,,,,
homes for sale in nc,49,0,0,0,0,8100,71,0.50,0.32,81,"informational, transactional",https://www.homelight.com/states/nc/homes-for-sale,,,,
homes for sale louisville ky,53,0,0,0,0,8100,69,0.52,0.3,9460000,"informational, transactional",https://www.homelight.com/best-time-to-sell-house/louisville-ky,,,,
